"","storm.num","TOTAL.TIME","site.ID","year","response","HI","precip","precip.week","precip.month","ThreeMonth","Intensity","doy","burn","pf"
"1","storm1",41.9666666666667,"CARI",2021,"NO3",0.346938775510204,8.636,0,0,0,0.205782366957903,135.531944444444,"burned","medium"
"2","storm10",60.9833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.072916666667,"burned","medium"
"3","storm2",34.9666666666667,"CARI",2021,"NO3",0.500000000000001,12.7,8.636,8.636,8.636,0.363203050524309,238.073611111111,"burned","medium"
"4","storm3",2130.96666666667,"CARI",2021,"NO3",0.0399999999999998,2.159,21.336,21.336,21.336,0.00101315521907116,239.53125,"burned","medium"
"5","storm4",426.983333333333,"CARI",2021,"NO3",0.258333333333334,8.763,23.495,23.495,23.495,0.0205230492993481,152.40625,"burned","medium"
"6","storm5",938,"CARI",2021,"NO3",-0.641509433962264,29.972,32.258,32.258,32.258,0.031953091684435,170.197916666667,"burned","medium"
"7","storm6",287.983333333333,"CARI",2021,"NO3",-0.359649122807017,21.59,40.894,62.23,62.23,0.0749696162972394,209.281944444444,"burned","medium"
"8","storm7",170.983333333333,"CARI",2021,"NO3",-0.534188034188035,62.738,44.704,83.82,83.82,0.36692465152549,221.281944444444,"burned","medium"
"9","storm8",84.9833333333333,"CARI",2021,"NO3",-0.0434782608695654,17.78,84.328,146.558,146.558,0.209217493626201,228.406944444444,"burned","medium"
"10","storm9",26.9666666666667,"CARI",2021,"NO3",0.470588235294117,2.667,74.422,164.338,164.338,0.0988998763906057,231.948611111111,"burned","medium"
"11","storm1",41.9666666666667,"CARI",2021,"fDOM",-0.119244630773757,8.636,0,0,0,0.205782366957903,135.531944444444,"burned","medium"
"12","storm2",34.9666666666667,"CARI",2021,"fDOM",-0.118121619100914,12.7,8.636,8.636,8.636,0.363203050524309,238.073611111111,"burned","medium"
"13","storm3",2130.96666666667,"CARI",2021,"fDOM",-0.5625,2.159,21.336,21.336,21.336,0.00101315521907116,239.53125,"burned","medium"
"14","storm4",426.983333333333,"CARI",2021,"fDOM",-0.654694061187763,8.763,23.495,23.495,23.495,0.0205230492993481,152.40625,"burned","medium"
"15","storm5",938,"CARI",2021,"fDOM",-0.574483959214126,29.972,32.258,32.258,32.258,0.031953091684435,170.197916666667,"burned","medium"
"16","storm6",287.983333333333,"CARI",2021,"fDOM",-0.572999445573831,21.59,40.894,62.23,62.23,0.0749696162972394,209.281944444444,"burned","medium"
"17","storm7",170.983333333333,"CARI",2021,"fDOM",-0.369767288549015,62.738,44.704,83.82,83.82,0.36692465152549,221.281944444444,"burned","medium"
"18","storm8",84.9833333333333,"CARI",2021,"fDOM",-0.0300931270684214,17.78,84.328,146.558,146.558,0.209217493626201,228.406944444444,"burned","medium"
"19","storm9",26.9666666666667,"CARI",2021,"fDOM",-0.00547173820654484,2.667,74.422,164.338,164.338,0.0988998763906057,231.948611111111,"burned","medium"
"20","storm1",41.9666666666667,"CARI",2021,"SPC",0.0717101273499091,8.636,0,0,0,0.205782366957903,135.531944444444,"burned","medium"
"21","storm2",34.9666666666667,"CARI",2021,"SPC",0.62701252236136,12.7,8.636,8.636,8.636,0.363203050524309,238.073611111111,"burned","medium"
"22","storm3",2130.96666666667,"CARI",2021,"SPC",0.762699203187251,2.159,21.336,21.336,21.336,0.00101315521907116,239.53125,"burned","medium"
"23","storm4",426.983333333333,"CARI",2021,"SPC",0.772788656313302,8.763,23.495,23.495,23.495,0.0205230492993481,152.40625,"burned","medium"
"24","storm5",938,"CARI",2021,"SPC",0.742105263157894,29.972,32.258,32.258,32.258,0.031953091684435,170.197916666667,"burned","medium"
"25","storm6",287.983333333333,"CARI",2021,"SPC",0.747066666666667,21.59,40.894,62.23,62.23,0.0749696162972394,209.281944444444,"burned","medium"
"26","storm7",170.983333333333,"CARI",2021,"SPC",0.460646479211728,62.738,44.704,83.82,83.82,0.36692465152549,221.281944444444,"burned","medium"
"27","storm8",84.9833333333333,"CARI",2021,"SPC",0.423245614035087,17.78,84.328,146.558,146.558,0.209217493626201,228.406944444444,"burned","medium"
"28","storm9",26.9666666666667,"CARI",2021,"SPC",-0.0867346938775509,2.667,74.422,164.338,164.338,0.0988998763906057,231.948611111111,"burned","medium"
"29","storm1",41.9666666666667,"CARI",2021,"turb",-0.246643213223586,8.636,0,0,0,0.205782366957903,135.531944444444,"burned","medium"
"30","storm2",34.9666666666667,"CARI",2021,"turb",0.195500927643784,12.7,8.636,8.636,8.636,0.363203050524309,238.073611111111,"burned","medium"
"31","storm3",2130.96666666667,"CARI",2021,"turb",0.161317567567567,2.159,21.336,21.336,21.336,0.00101315521907116,239.53125,"burned","medium"
"32","storm4",426.983333333333,"CARI",2021,"turb",0.187341772151899,8.763,23.495,23.495,23.495,0.0205230492993481,152.40625,"burned","medium"
"33","storm5",938,"CARI",2021,"turb",-0.0642361111111111,29.972,32.258,32.258,32.258,0.031953091684435,170.197916666667,"burned","medium"
"34","storm6",287.983333333333,"CARI",2021,"turb",-0.0352434077079107,21.59,40.894,62.23,62.23,0.0749696162972394,209.281944444444,"burned","medium"
"35","storm7",170.983333333333,"CARI",2021,"turb",0.0373459295888996,62.738,44.704,83.82,83.82,0.36692465152549,221.281944444444,"burned","medium"
"36","storm8",84.9833333333333,"CARI",2021,"turb",0.0636842105263158,17.78,84.328,146.558,146.558,0.209217493626201,228.406944444444,"burned","medium"
"37","storm9",26.9666666666667,"CARI",2021,"turb",-0.0027654867256637,2.667,74.422,164.338,164.338,0.0988998763906057,231.948611111111,"burned","medium"
