"","column_label","HI","Q_interval","storm.ID","site.ID","storm.num","month","day","response"
"Interpolated HI for 2% discharge...1","1",0.376994680851043,2,"MOOS_storm1_06_21_NO3","MOOS","storm1","06","21","NO3"
"Interpolated HI for 4% discharge...2","1",0.376994680851043,4,"MOOS_storm1_06_21_NO3","MOOS","storm1","06","21","NO3"
"Interpolated HI for 6% discharge...3","1",0.376994680851043,6,"MOOS_storm1_06_21_NO3","MOOS","storm1","06","21","NO3"
"Interpolated HI for 8% discharge...4","1",0.376994680851043,8,"MOOS_storm1_06_21_NO3","MOOS","storm1","06","21","NO3"
"Interpolated HI for 10% discharge...5","1",0.474734042553206,10,"MOOS_storm1_06_21_NO3","MOOS","storm1","06","21","NO3"
"Interpolated HI for 12% discharge...6","1",0.28058510638291,12,"MOOS_storm1_06_21_NO3","MOOS","storm1","06","21","NO3"
"Interpolated HI for 14% discharge...7","1",0.755319148936115,14,"MOOS_storm1_06_21_NO3","MOOS","storm1","06","21","NO3"
"Interpolated HI for 16% discharge...8","1",0.742686170212721,16,"MOOS_storm1_06_21_NO3","MOOS","storm1","06","21","NO3"
"Interpolated HI for 18% discharge...9","1",0.6422872340425,18,"MOOS_storm1_06_21_NO3","MOOS","storm1","06","21","NO3"
"Interpolated HI for 20% discharge...10","1",0.625000000000002,20,"MOOS_storm1_06_21_NO3","MOOS","storm1","06","21","NO3"
"Interpolated HI for 22% discharge...11","1",0.595744680851059,22,"MOOS_storm1_06_21_NO3","MOOS","storm1","06","21","NO3"
"Interpolated HI for 24% discharge...12","1",0.574468085106352,24,"MOOS_storm1_06_21_NO3","MOOS","storm1","06","21","NO3"
"Interpolated HI for 26% discharge...13","1",0.574468085106352,26,"MOOS_storm1_06_21_NO3","MOOS","storm1","06","21","NO3"
"Interpolated HI for 28% discharge...14","1",0.573138297872322,28,"MOOS_storm1_06_21_NO3","MOOS","storm1","06","21","NO3"
"Interpolated HI for 30% discharge...15","1",0.502659574468058,30,"MOOS_storm1_06_21_NO3","MOOS","storm1","06","21","NO3"
"Interpolated HI for 32% discharge...16","1",0.476728723404249,32,"MOOS_storm1_06_21_NO3","MOOS","storm1","06","21","NO3"
"Interpolated HI for 34% discharge...17","1",0.508643617021248,34,"MOOS_storm1_06_21_NO3","MOOS","storm1","06","21","NO3"
"Interpolated HI for 36% discharge...18","1",0.461436170212734,36,"MOOS_storm1_06_21_NO3","MOOS","storm1","06","21","NO3"
