"","column_label","HI","Q_interval","storm.ID","site.ID","storm.num","month","day","response"
"Interpolated HI for 2% discharge...1","1",-0.390047042381848,2,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 4% discharge...2","1",-0.390296433985094,4,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 6% discharge...3","1",-0.379868302232223,6,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 8% discharge...4","1",-0.381140199408777,8,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 10% discharge...5","1",-0.381140199408777,10,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 12% discharge...6","1",-0.379608222417409,12,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 14% discharge...7","1",-0.380520283137851,14,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 16% discharge...8","1",-0.382119952135815,16,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 18% discharge...9","1",-0.382119952135815,18,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 20% discharge...10","1",-0.382119952135815,20,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 22% discharge...11","1",-0.383099704862853,22,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 24% discharge...12","1",-0.383099704862853,24,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 26% discharge...13","1",-0.383840754198212,26,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 28% discharge...14","1",-0.384061643903944,28,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 30% discharge...15","1",-0.384781316816169,30,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 32% discharge...16","1",-0.384781316816169,32,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 34% discharge...17","1",-0.37840045451026,34,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 36% discharge...18","1",-0.381254206998832,36,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 38% discharge...19","1",-0.384524799738544,38,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 40% discharge...20","1",-0.384524799738544,40,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 42% discharge...21","1",-0.384524799738544,42,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 44% discharge...22","1",-0.385643499215962,44,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 46% discharge...23","1",-0.386651753840513,46,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 48% discharge...24","1",-0.386651753840513,48,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 50% discharge...25","1",-0.386056776729912,50,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 52% discharge...26","1",-0.386056776729912,52,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 54% discharge...27","1",-0.386056776729912,54,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 56% discharge...28","1",-0.38708284504041,56,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 58% discharge...29","1",-0.404691554840267,58,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 60% discharge...30","1",-0.525270732399012,60,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 62% discharge...31","1",-0.23866776430641,62,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 64% discharge...32","1",-0.471238040941808,64,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 66% discharge...33","1",-0.192940032482663,66,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 68% discharge...34","1",-0.182939429192499,68,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 70% discharge...35","1",-0.138754362571689,70,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 72% discharge...36","1",-0.128532869575792,72,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 74% discharge...37","1",-0.0844653732822265,74,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 76% discharge...38","1",-0.0704388769682344,76,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 78% discharge...39","1",-0.0606413496978563,78,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 80% discharge...40","1",-0.073880481093029,80,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 82% discharge...41","1",-0.0661315277064573,82,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 84% discharge...42","1",-0.099307736412552,84,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 86% discharge...43","1",-0.130941279915711,86,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 88% discharge...44","1",-0.150742973213442,88,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 90% discharge...45","1",-0.130125413099377,90,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 92% discharge...46","1",-0.068646820162053,92,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 94% discharge...47","1",0.0330835775391747,94,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 96% discharge...48","1",0.0126797816564638,96,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 98% discharge...49","1",0.00854344377976964,98,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 100% discharge...50","1",0.0101288618289763,100,"VAUL_storm1_07_13_NO3","VAUL","storm1","07","13","NO3"
"Interpolated HI for 2% discharge...51","2",-0.181097796355479,2,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 4% discharge...52","2",-0.17896638617872,4,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 6% discharge...53","2",0.117297971639736,6,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 8% discharge...54","2",0.128488496349349,8,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 10% discharge...55","2",0.128488496349349,10,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 12% discharge...56","2",0.122056988921306,12,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 14% discharge...57","2",0.128775114274401,14,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 16% discharge...58","2",0.125822783971265,16,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 18% discharge...59","2",0.125822783971265,18,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 20% discharge...60","2",0.125822783971265,20,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 22% discharge...61","2",0.120935368486276,22,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 24% discharge...62","2",0.120935368486276,24,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 26% discharge...63","2",0.116025586862627,26,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 28% discharge...64","2",-0.012568941551481,28,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 30% discharge...65","2",-0.470713612363339,30,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 32% discharge...66","2",-0.493064840264351,32,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 34% discharge...67","2",-0.460743284773961,34,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 36% discharge...68","2",-0.564101353399902,36,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 38% discharge...69","2",-0.535220869761146,38,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 40% discharge...70","2",-0.537826939102803,40,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 42% discharge...71","2",-0.536033506132464,42,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 44% discharge...72","2",-0.475329320682383,44,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 46% discharge...73","2",-0.449069817144391,46,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 48% discharge...74","2",-0.448994434973351,48,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 50% discharge...75","2",-0.439905498922284,50,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 52% discharge...76","2",-0.437570308371066,52,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 54% discharge...77","2",-0.244717035210929,54,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 56% discharge...78","2",-0.238714626294958,56,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 58% discharge...79","2",-0.125739946420672,58,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 60% discharge...80","2",-0.0254990548235475,60,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 62% discharge...81","2",0.0628737009001129,62,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 64% discharge...82","2",-0.0257028351980066,64,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 66% discharge...83","2",0.0877696983553436,66,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
"Interpolated HI for 68% discharge...84","2",0.0959855266231605,68,"VAUL_storm1_07_13_fDOM","VAUL","storm1","07","13","fDOM"
