"","DateTime","Site","Discharge","fDOM","NO3","SpCond","Turb","day"
"1",2018-08-26 12:01:00,"CARI",517.77,76.79,NA,72.27,-1.24,2018-08-26
"2",2018-08-26 12:02:00,"CARI",489.98,76.83,NA,72.27,-1.25,2018-08-26
"3",2018-08-26 12:03:00,"CARI",487.98,78.04,NA,72.25,-1.23,2018-08-26
"4",2018-08-26 12:04:00,"CARI",498.49,78.04,NA,72.25,-1.21,2018-08-26
"5",2018-08-26 12:05:00,"CARI",474.99,77.97,NA,72.25,-1.22,2018-08-26
"6",2018-08-26 12:06:00,"CARI",497.9,76.74,NA,72.23,-1.25,2018-08-26
"7",2018-08-26 12:07:00,"CARI",502.53,76.71,NA,72.28,-1.21,2018-08-26
"8",2018-08-26 12:08:00,"CARI",482.98,75.98,NA,72.28,-1.22,2018-08-26
"9",2018-08-26 12:09:00,"CARI",515.35,75.37,NA,72.24,-1.23,2018-08-26
"10",2018-08-26 12:10:00,"CARI",503.31,75.43,NA,72.24,-1.19,2018-08-26
"11",2018-08-26 12:11:00,"CARI",534.79,77,NA,72.24,-1.19,2018-08-26
"12",2018-08-26 12:12:00,"CARI",501.07,77.54,NA,72.25,-1.24,2018-08-26
"13",2018-08-26 12:13:00,"CARI",499.94,77.57,NA,72.27,-1.25,2018-08-26
"14",2018-08-26 12:14:00,"CARI",498.35,77.18,NA,72.27,-1.25,2018-08-26
"15",2018-08-26 12:15:00,"CARI",515.14,77.71,27.4,72.27,-1.27,2018-08-26
"16",2018-08-26 12:16:00,"CARI",493.01,77.68,NA,72.26,-1.21,2018-08-26
"17",2018-08-26 12:17:00,"CARI",481.37,77.79,NA,72.26,-1.22,2018-08-26
"18",2018-08-26 12:18:00,"CARI",498.86,77.13,NA,72.26,-1.3,2018-08-26
"19",2018-08-26 12:19:00,"CARI",486.94,77.13,NA,72.26,-1.21,2018-08-26
"20",2018-08-26 12:20:00,"CARI",494.02,77.09,NA,72.26,-1.21,2018-08-26
"21",2018-08-26 12:21:00,"CARI",490.78,77.28,NA,72.24,-1.25,2018-08-26
"22",2018-08-26 12:22:00,"CARI",505.19,77.38,NA,72.25,-1.24,2018-08-26
"23",2018-08-26 12:23:00,"CARI",486.97,76.77,NA,72.25,-1.25,2018-08-26
"24",2018-08-26 12:24:00,"CARI",495.27,76.74,NA,72.22,-1.25,2018-08-26
"25",2018-08-26 12:25:00,"CARI",487.32,76.74,NA,72.24,-1.24,2018-08-26
"26",2018-08-26 12:26:00,"CARI",494.97,78.01,NA,72.24,-1.25,2018-08-26
"27",2018-08-26 12:27:00,"CARI",503.68,77.45,NA,72.23,-1.28,2018-08-26
"28",2018-08-26 12:28:00,"CARI",483.72,77.5,NA,72.24,-1.13,2018-08-26
"29",2018-08-26 12:29:00,"CARI",495.73,75.7,NA,72.24,-1.14,2018-08-26
"30",2018-08-26 12:30:00,"CARI",520.53,76.55,27.4,72.22,-1.2,2018-08-26
"31",2018-08-26 12:31:00,"CARI",482.02,76.58,NA,72.21,-1.25,2018-08-26
"32",2018-08-26 12:32:00,"CARI",518.75,75.94,NA,72.21,-1.24,2018-08-26
"33",2018-08-26 12:33:00,"CARI",496.67,76.53,NA,72.22,-1.22,2018-08-26
"34",2018-08-26 12:34:00,"CARI",506.88,77.67,NA,72.21,-1.26,2018-08-26
