"","valuedatetime","datavalue"
"1",2018-08-06 15:01:00,0.62
"2",2018-08-06 15:02:00,0.52
"3",2018-08-06 15:03:00,0.49
"4",2018-08-06 15:04:00,0.46
"5",2018-08-06 15:05:00,0.48
"6",2018-08-06 15:06:00,0.32
"7",2018-08-06 15:07:00,0.28
"8",2018-08-06 15:08:00,0.29
"9",2018-08-06 15:09:00,0.58
"10",2018-08-06 15:10:00,0.52
"11",2018-08-06 15:11:00,0.51
"12",2018-08-06 15:12:00,0.44
"13",2018-08-06 15:13:00,0.4
"14",2018-08-06 15:14:00,0.41
"15",2018-08-06 15:15:00,0.43
"16",2018-08-06 15:16:00,0.39
"17",2018-08-06 15:17:00,0.38
"18",2018-08-06 15:18:00,0.33
"19",2018-08-06 15:19:00,0.36
"20",2018-08-06 15:20:00,0.37
"21",2018-08-06 15:21:00,0.43
"22",2018-08-06 15:22:00,0.31
"23",2018-08-06 15:23:00,0.31
"24",2018-08-06 15:24:00,0.36
"25",2018-08-06 15:25:00,0.42
"26",2018-08-06 15:26:00,0.42
"27",2018-08-06 15:27:00,0.34
"28",2018-08-06 15:28:00,0.68
"29",2018-08-06 15:29:00,0.67
"30",2018-08-06 15:30:00,0.39
"31",2018-08-06 15:31:00,0.39
"32",2018-08-06 15:32:00,0.39
"33",2018-08-06 15:33:00,0.52
"34",2018-08-06 15:34:00,0.44
"35",2018-08-06 15:35:00,0.43
"36",2018-08-06 15:36:00,0.49
"37",2018-08-06 15:37:00,0.35
"38",2018-08-06 15:38:00,0.32
"39",2018-08-06 15:39:00,0.4
"40",2018-08-06 15:40:00,0.42
"41",2018-08-06 15:41:00,0.4
"42",2018-08-06 15:42:00,0.5
"43",2018-08-06 15:43:00,0.26
"44",2018-08-06 15:44:00,0.26
"45",2018-08-06 15:45:00,0.38
"46",2018-08-06 15:46:00,0.5
"47",2018-08-06 15:47:00,0.5
"48",2018-08-06 15:48:00,0.25
"49",2018-08-06 15:49:00,0.55
"50",2018-08-06 15:50:00,0.53
"51",2018-08-06 15:51:00,0.43
"52",2018-08-06 15:52:00,0.3
"53",2018-08-06 15:53:00,0.33
"54",2018-08-06 15:54:00,0.36
"55",2018-08-06 15:55:00,0.34
"56",2018-08-06 15:56:00,0.34
"57",2018-08-06 15:57:00,0.5
"58",2018-08-06 15:58:00,0.42
"59",2018-08-06 15:59:00,0.41
"60",2018-08-06 16:00:00,0.29
"61",2018-08-06 16:01:00,0.34
"62",2018-08-06 16:02:00,0.36
"63",2018-08-06 16:03:00,0.41
"64",2018-08-06 16:04:00,0.34
"65",2018-08-06 16:05:00,0.31
"66",2018-08-06 16:06:00,0.41
"67",2018-08-06 16:07:00,0.61
"68",2018-08-06 16:08:00,0.63
"69",2018-08-06 16:09:00,0.5
"70",2018-08-06 16:10:00,0.63
"71",2018-08-06 16:11:00,0.55
"72",2018-08-06 16:12:00,0.51
"73",2018-08-06 16:13:00,0.58
"74",2018-08-06 16:14:00,0.59
"75",2018-08-06 16:15:00,0.61
"76",2018-08-06 16:16:00,0.52
"77",2018-08-06 16:17:00,0.55
"78",2018-08-06 16:18:00,0.82
"79",2018-08-06 16:19:00,0.8
"80",2018-08-06 16:20:00,0.77
"81",2018-08-06 16:21:00,0.87
"82",2018-08-06 16:22:00,0.74
"83",2018-08-06 16:23:00,0.77
"84",2018-08-06 16:24:00,0.72
"85",2018-08-06 16:25:00,0.78
"86",2018-08-06 16:26:00,0.78
"87",2018-08-06 16:27:00,0.74
"88",2018-08-06 16:28:00,0.94
"89",2018-08-06 16:29:00,0.91
"90",2018-08-06 16:30:00,0.74
"91",2018-08-06 16:31:00,0.73
"92",2018-08-06 16:32:00,0.73
"93",2018-08-06 16:33:00,0.79
"94",2018-08-06 16:34:00,0.8
"95",2018-08-06 16:35:00,0.78
"96",2018-08-06 16:36:00,0.84
"97",2018-08-06 16:37:00,0.9
"98",2018-08-06 16:38:00,0.88
"99",2018-08-06 16:39:00,0.81
"100",2018-08-06 16:40:00,0.77
"101",2018-08-06 16:41:00,0.77
"102",2018-08-06 16:42:00,0.96
"103",2018-08-06 16:43:00,0.91
"104",2018-08-06 16:44:00,0.89
"105",2018-08-06 16:45:00,0.83
"106",2018-08-06 16:46:00,0.86
"107",2018-08-06 16:47:00,0.9
"108",2018-08-06 16:48:00,0.84
"109",2018-08-06 16:49:00,0.93
"110",2018-08-06 16:50:00,0.91
"111",2018-08-06 16:51:00,0.74
"112",2018-08-06 16:52:00,0.83
"113",2018-08-06 16:53:00,0.83
"114",2018-08-06 16:54:00,0.75
"115",2018-08-06 16:55:00,0.75
"116",2018-08-06 16:56:00,0.74
"117",2018-08-06 16:57:00,0.72
"118",2018-08-06 16:58:00,0.69
"119",2018-08-06 16:59:00,0.71
"120",2018-08-06 17:00:00,0.69
"121",2018-08-06 17:01:00,0.71
"122",2018-08-06 17:02:00,0.69
"123",2018-08-06 17:03:00,0.51
"124",2018-08-06 17:04:00,0.71
"125",2018-08-06 17:05:00,0.72
"126",2018-08-06 17:06:00,0.75
"127",2018-08-06 17:07:00,0.64
"128",2018-08-06 17:08:00,0.67
"129",2018-08-06 17:09:00,0.76
"130",2018-08-06 17:10:00,0.54
"131",2018-08-06 17:11:00,0.56
"132",2018-08-06 17:12:00,0.54
"133",2018-08-06 17:13:00,0.74
"134",2018-08-06 17:14:00,0.75
"135",2018-08-06 17:15:00,0.91
"136",2018-08-06 17:16:00,0.82
"137",2018-08-06 17:17:00,0.85
"138",2018-08-06 17:18:00,0.65
"139",2018-08-06 17:19:00,0.63
"140",2018-08-06 17:20:00,0.64
"141",2018-08-06 17:21:00,0.49
"142",2018-08-06 17:22:00,0.63
"143",2018-08-06 17:23:00,0.65
