"","valuedatetime","datavalue"
"1",2018-08-26 12:01:00,72.27
"2",2018-08-26 12:02:00,72.27
"3",2018-08-26 12:03:00,72.25
"4",2018-08-26 12:04:00,72.25
"5",2018-08-26 12:05:00,72.25
"6",2018-08-26 12:06:00,72.23
"7",2018-08-26 12:07:00,72.28
"8",2018-08-26 12:08:00,72.28
"9",2018-08-26 12:09:00,72.24
"10",2018-08-26 12:10:00,72.24
"11",2018-08-26 12:11:00,72.24
"12",2018-08-26 12:12:00,72.25
"13",2018-08-26 12:13:00,72.27
"14",2018-08-26 12:14:00,72.27
"15",2018-08-26 12:15:00,72.27
"16",2018-08-26 12:16:00,72.26
"17",2018-08-26 12:17:00,72.26
"18",2018-08-26 12:18:00,72.26
"19",2018-08-26 12:19:00,72.26
"20",2018-08-26 12:20:00,72.26
"21",2018-08-26 12:21:00,72.24
"22",2018-08-26 12:22:00,72.25
"23",2018-08-26 12:23:00,72.25
"24",2018-08-26 12:24:00,72.22
"25",2018-08-26 12:25:00,72.24
"26",2018-08-26 12:26:00,72.24
"27",2018-08-26 12:27:00,72.23
"28",2018-08-26 12:28:00,72.24
"29",2018-08-26 12:29:00,72.24
"30",2018-08-26 12:30:00,72.22
"31",2018-08-26 12:31:00,72.21
"32",2018-08-26 12:32:00,72.21
"33",2018-08-26 12:33:00,72.22
"34",2018-08-26 12:34:00,72.21
"35",2018-08-26 12:35:00,72.2
"36",2018-08-26 12:36:00,72.21
"37",2018-08-26 12:37:00,72.22
"38",2018-08-26 12:38:00,72.22
"39",2018-08-26 12:39:00,72.21
"40",2018-08-26 12:40:00,72.22
"41",2018-08-26 12:41:00,72.22
"42",2018-08-26 12:42:00,72.23
"43",2018-08-26 12:43:00,72.22
"44",2018-08-26 12:44:00,72.22
"45",2018-08-26 12:45:00,72.19
"46",2018-08-26 12:46:00,72.21
"47",2018-08-26 12:47:00,72.21
"48",2018-08-26 12:48:00,72.19
"49",2018-08-26 12:49:00,72.21
"50",2018-08-26 12:50:00,72.21
"51",2018-08-26 12:51:00,72.21
"52",2018-08-26 12:52:00,72.21
"53",2018-08-26 12:53:00,72.21
"54",2018-08-26 12:54:00,72.2
"55",2018-08-26 12:55:00,72.21
"56",2018-08-26 12:56:00,72.21
"57",2018-08-26 12:57:00,72.21
"58",2018-08-26 12:58:00,72.22
"59",2018-08-26 12:59:00,72.22
"60",2018-08-26 13:00:00,72.21
"61",2018-08-26 13:01:00,72.22
"62",2018-08-26 13:02:00,72.22
"63",2018-08-26 13:03:00,72.18
"64",2018-08-26 13:04:00,72.19
"65",2018-08-26 13:05:00,72.19
"66",2018-08-26 13:06:00,72.18
"67",2018-08-26 13:07:00,72.19
"68",2018-08-26 13:08:00,72.19
"69",2018-08-26 13:09:00,72.18
"70",2018-08-26 13:10:00,72.19
"71",2018-08-26 13:11:00,72.19
"72",2018-08-26 13:12:00,72.21
"73",2018-08-26 13:13:00,72.21
"74",2018-08-26 13:14:00,72.2
"75",2018-08-26 13:15:00,72.21
"76",2018-08-26 13:16:00,72.22
"77",2018-08-26 13:17:00,72.22
"78",2018-08-26 13:18:00,72.18
"79",2018-08-26 13:19:00,72.19
"80",2018-08-26 13:20:00,72.19
"81",2018-08-26 13:21:00,72.2
"82",2018-08-26 13:22:00,72.2
"83",2018-08-26 13:23:00,72.2
"84",2018-08-26 13:24:00,72.2
"85",2018-08-26 13:25:00,72.19
"86",2018-08-26 13:26:00,72.19
"87",2018-08-26 13:27:00,72.2
"88",2018-08-26 13:28:00,72.19
"89",2018-08-26 13:29:00,72.19
"90",2018-08-26 13:30:00,72.18
