"","valuedatetime","datavalue"
"1",2018-07-16 15:30:00,NA
"2",2018-07-16 16:00:00,NA
"3",2018-07-16 16:30:00,NA
"4",2018-07-16 17:00:00,NA
"5",2018-07-16 17:30:00,NA
"6",2018-07-16 18:00:00,NA
"7",2018-07-16 18:30:00,NA
"8",2018-07-16 19:00:00,NA
"9",2018-07-16 19:30:00,NA
"10",2018-07-16 20:00:00,NA
"11",2018-07-16 20:30:00,NA
"12",2018-07-16 21:00:00,NA
"13",2018-07-16 21:30:00,NA
"14",2018-07-16 22:00:00,NA
"15",2018-07-16 22:30:00,NA
"16",2018-07-16 23:00:00,NA
"17",2018-07-16 23:30:00,NA
"18",2018-07-17 00:00:00,NA
"19",2018-07-17 00:30:00,NA
"20",2018-07-17 01:00:00,NA
"21",2018-07-17 01:30:00,NA
"22",2018-07-17 02:00:00,NA
"23",2018-07-17 02:30:00,NA
"24",2018-07-17 03:00:00,NA
"25",2018-07-17 03:30:00,NA
"26",2018-07-17 04:00:00,NA
"27",2018-07-17 04:30:00,NA
"28",2018-07-17 05:00:00,NA
"29",2018-07-17 05:30:00,NA
"30",2018-07-17 06:00:00,NA
"31",2018-07-17 06:30:00,NA
"32",2018-07-17 07:00:00,NA
"33",2018-07-17 07:30:00,NA
"34",2018-07-17 08:00:00,NA
"35",2018-07-17 08:30:00,NA
"36",2018-07-17 09:00:00,NA
"37",2018-07-17 09:30:00,NA
"38",2018-07-17 10:00:00,NA
"39",2018-07-17 10:30:00,NA
"40",2018-07-17 11:00:00,NA
"41",2018-07-17 11:30:00,NA
"42",2018-07-17 12:00:00,NA
"43",2018-07-17 12:30:00,NA
"44",2018-07-17 13:00:00,NA
"45",2018-07-17 13:30:00,NA
"46",2018-07-17 14:00:00,NA
"47",2018-07-17 14:30:00,NA
"48",2018-07-17 15:00:00,NA
"49",2018-07-17 15:30:00,NA
"50",2018-07-17 16:00:00,NA
"51",2018-07-17 16:30:00,NA
"52",2018-07-17 17:00:00,NA
"53",2018-07-17 17:30:00,NA
"54",2018-07-17 18:00:00,NA
"55",2018-07-17 18:30:00,NA
