"","Site","DateTime","MeanDischarge","day","fDOM.QSU.mn","nitrateuM","SpCond.uScm.mn","Turbidity.FNU.mn"
"1","POKE",2019-08-10 06:30:00,506.264769789697,2019-08-10,57.08364,41.56,111.6455,4.792727
"2","POKE",2019-08-10 06:45:00,506.686660403584,2019-08-10,57.10818,41.5,111.6636,4.442727
"3","POKE",2019-08-10 07:00:00,505.936519021915,2019-08-10,57.10091,41.47,111.6545,4.150909
"4","POKE",2019-08-10 07:15:00,507.077337735436,2019-08-10,57.22727,41.45,111.6545,3.912727
"5","POKE",2019-08-10 07:30:00,510.859257925815,2019-08-10,57.10909,41.04,111.6636,4.356364
"6","POKE",2019-08-10 07:45:00,515.391319497863,2019-08-10,57.08273,41.11,111.6364,4.16
"7","POKE",2019-08-10 08:00:00,514.641178116194,2019-08-10,57.04818,41,111.6636,4.327273
"8","POKE",2019-08-10 08:15:00,517.282279593053,2019-08-10,57.01727,40.88,111.6636,4.39
"9","POKE",2019-08-10 08:30:00,516.532138211384,2019-08-10,56.85273,40.93,111.6727,4.144545
"10","POKE",2019-08-10 08:45:00,522.173805214919,2019-08-10,56.74364,41.08,111.6818,4.021818
"11","POKE",2019-08-10 09:00:00,527.096544118819,2019-08-10,56.68727,41.12,111.7273,4.14
"12","POKE",2019-08-10 09:15:00,525.236797305664,2019-08-10,56.60182,41.09,111.7364,4.105455
"13","POKE",2019-08-10 09:30:00,527.127757400854,2019-08-10,56.52273,41,111.7091,3.931818
"14","POKE",2019-08-10 09:45:00,527.518434732705,2019-08-10,56.45545,40.92,111.6545,4.001818
"15","POKE",2019-08-10 10:00:00,527.127757400854,2019-08-10,56.29364,40.75,111.6273,4.019091
"16","POKE",2019-08-10 10:15:00,527.487221450671,2019-08-10,56.06091,40.68,111.5364,3.962727
"17","POKE",2019-08-10 10:30:00,527.127757400854,2019-08-10,55.93909,40.63,111.4727,4.108182
"18","POKE",2019-08-10 10:45:00,524.127191874178,2019-08-10,55.86182,40.48,111.4364,4.148182
"19","POKE",2019-08-10 11:00:00,521.486090397319,2019-08-10,55.75455,40.45,111.4,3.925455
"20","POKE",2019-08-10 11:15:00,521.876767729171,2019-08-10,55.50273,40.38,111.3909,3.903636
"21","POKE",2019-08-10 11:30:00,522.62690911084,2019-08-10,55.35,40.33,111.3909,3.886364
"22","POKE",2019-08-10 11:45:00,522.62690911084,2019-08-10,55.18909,40.31,111.3455,3.91
"23","POKE",2019-08-10 12:00:00,522.595695828805,2019-08-10,54.97273,40.26,111.2909,3.971818
"24","POKE",2019-08-10 12:15:00,520.704735733616,2019-08-10,54.79182,40.29,111.3,3.920909
"25","POKE",2019-08-10 12:30:00,522.595695828805,2019-08-10,54.57091,40.36,111.2273,3.946364
"26","POKE",2019-08-10 12:45:00,519.954594351947,2019-08-10,54.42909,40.31,111.1545,3.790909
"27","POKE",2019-08-10 13:00:00,522.986373160657,2019-08-10,54.21091,40.33,111.1545,4.144545
"28","POKE",2019-08-10 13:15:00,524.158405156213,2019-08-10,53.93727,40.34,NA,3.87
"29","POKE",2019-08-10 13:30:00,523.408263774544,2019-08-10,53.83455,40.27,NA,3.879091
"30","POKE",2019-08-10 13:45:00,524.549082488064,2019-08-10,53.65909,40.23,111.0273,3.704545
"31","POKE",2019-08-10 14:00:00,523.798941106395,2019-08-10,53.58182,40.17,111,3.859091
"32","POKE",2019-08-10 14:15:00,524.549082488064,2019-08-10,53.56364,40.11,NA,3.878182
"33","POKE",2019-08-10 14:30:00,523.408263774544,2019-08-10,53.72545,40.16,NA,4.028182
"34","POKE",2019-08-10 14:45:00,524.970973101951,2019-08-10,53.71909,40.12,110.8091,4.173636
"35","POKE",2019-08-10 15:00:00,522.689335674909,2019-08-10,53.70818,40.16,110.9,4.077273
"36","POKE",2019-08-10 15:15:00,521.579730243423,2019-08-10,53.72091,40.12,110.7455,4.243636
"37","POKE",2019-08-10 15:30:00,520.860802143789,2019-08-10,53.11182,40.11,109.8818,4.165455
"38","POKE",2019-08-10 15:45:00,520.829588861754,2019-08-10,53.36545,40.07,109.9727,4.032727
"39","POKE",2019-08-10 16:00:00,522.361084907127,2019-08-11,52.63909,40.1,109.6636,6.419091
"40","POKE",2019-08-10 16:15:00,520.860802143789,2019-08-11,52.40091,40.12,109.6727,8.152727
"41","POKE",2019-08-10 16:30:00,522.00162085731,2019-08-11,52.09091,40.12,109.9,9.256364
"42","POKE",2019-08-10 16:45:00,520.501338093972,2019-08-11,52.31545,40.12,110,6.811818
"43","POKE",2019-08-10 17:00:00,518.21970066693,2019-08-11,52.30818,40.1,109.9091,6.233636
"44","POKE",2019-08-10 17:15:00,521.220266193606,2019-08-11,52.23545,40.1,109.6818,5.903636
"45","POKE",2019-08-10 17:30:00,521.610943525458,2019-08-11,52.02364,40.13,109.4182,6.567273
"46","POKE",2019-08-10 17:45:00,520.860802143789,2019-08-11,51.91364,40.16,109,6.556364
"47","POKE",2019-08-10 18:00:00,522.720548956944,2019-08-11,51.74273,40.09,108.6273,7.204545
"48","POKE",2019-08-10 18:15:00,519.719983430268,2019-08-11,51.75182,40.13,108.6818,7.167273
"49","POKE",2019-08-10 18:30:00,520.470124811937,2019-08-11,52.04182,40.03,108.6,6.720909
"50","POKE",2019-08-10 18:45:00,519.391732662486,2019-08-11,52.27818,40.11,108.5909,7.220909
"51","POKE",2019-08-10 19:00:00,520.173087326189,2019-08-11,52.09182,40.14,108.4727,7.879091
"52","POKE",2019-08-10 19:15:00,520.594977940076,2019-08-11,52.21455,40.02,108.4,7.314545
"53","POKE",2019-08-10 19:30:00,519.125908458773,2019-08-11,52.49545,40.06,108.2,7.666364
"54","POKE",2019-08-10 19:45:00,519.876049840442,2019-08-11,52.42091,40.07,108.0636,8.146364
"55","POKE",2019-08-10 20:00:00,518.735231126921,2019-08-11,52.80273,40.06,108,7.716364
"56","POKE",2019-08-10 20:15:00,521.407545885814,2019-08-11,52.85636,40.06,108.0727,7.865455
"57","POKE",2019-08-10 20:30:00,519.938476404511,2019-08-11,53.25727,40,108.1,7.042727
"58","POKE",2019-08-10 20:45:00,518.047516309322,2019-08-11,53.05091,40.03,108.1545,8.134545
"59","POKE",2019-08-10 21:00:00,516.906697595801,2019-08-11,53.67545,39.99,108.1636,6.598182
"60","POKE",2019-08-10 21:15:00,515.76587888228,2019-08-11,53.70727,39.96,108.0545,7.035455
"61","POKE",2019-08-10 21:30:00,515.76587888228,2019-08-11,53.65727,40.06,108.0182,7.979091
"62","POKE",2019-08-10 21:45:00,513.812492223021,2019-08-11,53.87273,40.07,108.0545,7.236364
"63","POKE",2019-08-10 22:00:00,517.234948363583,2019-08-11,54.04091,40.14,108.1727,7.568182
"64","POKE",2019-08-10 22:15:00,517.266161645618,2019-08-11,54.12182,40.08,108.2,8.193636
"65","POKE",2019-08-10 22:30:00,516.516020263949,2019-08-11,54.11636,40.14,108.2636,8.234545
"66","POKE",2019-08-10 22:45:00,515.015737500611,2019-08-11,54.11182,40.09,108.3545,8.436364
"67","POKE",2019-08-10 23:00:00,516.547233545984,2019-08-11,54.19455,40.12,108.4,8.863636
"68","POKE",2019-08-10 23:15:00,516.937910877836,2019-08-11,54.48727,40.17,108.4727,8.190909
"69","POKE",2019-08-10 23:30:00,517.297374927653,2019-08-11,54.53909,40.22,108.4727,8.044545
"70","POKE",2019-08-10 23:45:00,513.906132069125,2019-08-11,54.78636,40.22,108.4818,7.479091
"71","POKE",2019-08-11 00:00:00,515.406414832463,2019-08-11,54.9,40.28,108.5,7.336364
"72","POKE",2019-08-11 00:15:00,516.547233545984,2019-08-11,55.24364,40.27,108.5,7.23
