"","Site","DateTime","MeanDischarge","day","fDOM.QSU.mn","nitrateuM","SpCond.uScm.mn","Turbidity.FNU.mn"
"1","STRT",2019-08-05 15:30:00,4107.57274489805,2019-08-05,95.57364,NA,108.5364,14.53818
"2","STRT",2019-08-05 15:45:00,4117.38310333524,2019-08-05,95.41636,NA,108.6636,13.96182
"3","STRT",2019-08-05 16:00:00,4121.74719630247,2019-08-06,95.33455,NA,108.7545,14.23818
"4","STRT",2019-08-05 16:15:00,4120.37677919589,2019-08-06,95.08727,NA,108.8636,14.45
"5","STRT",2019-08-05 16:30:00,4136.75097856212,2019-08-06,94.88545,NA,109.0545,NA
"6","STRT",2019-08-05 16:45:00,4143.02657488729,2019-08-06,94.85727,NA,109.1545,13.43455
"7","STRT",2019-08-05 17:00:00,4143.02657488729,2019-08-06,94.73273,NA,109.2727,13.13818
"8","STRT",2019-08-05 17:15:00,4149.84325746382,2019-08-06,94.51636,NA,109.3727,13.68091
"9","STRT",2019-08-05 17:30:00,4157.20102629171,2019-08-06,94.34909,NA,109.4727,14.17727
"10","STRT",2019-08-05 17:45:00,4160.48294675623,2019-08-06,94.23818,NA,109.5727,13.43545
"11","STRT",2019-08-05 18:00:00,4180.93299448583,2019-08-06,93.89455,NA,109.6636,13.64727
"12","STRT",2019-08-05 18:15:00,4194.02527338753,2019-08-06,93.79091,NA,109.7545,13.74091
"13","STRT",2019-08-05 18:30:00,4203.83563182472,2019-08-06,93.58727,NA,109.8636,13.90818
"14","STRT",2019-08-05 18:45:00,4214.47532111713,2019-08-06,93.31909,NA,109.9636,12.95
"15","STRT",2019-08-05 19:00:00,4230.84952048335,2019-08-06,93.29455,NA,109.9727,13.20455
"16","STRT",2019-08-05 19:15:00,4222.12133454888,2019-08-06,93.15455,NA,110.0545,13.55818
"17","STRT",2019-08-05 19:30:00,4255.95190578405,2019-08-06,92.87818,NA,110.0545,13.16
"18","STRT",2019-08-05 19:45:00,4269.04418468575,2019-08-06,92.57545,NA,110.1182,13.20909
"19","STRT",2019-08-05 20:00:00,4289.49423241535,2019-08-06,92.40091,NA,110.1636,14.59909
"20","STRT",2019-08-05 20:15:00,4309.94428014494,2019-08-06,92.39727,NA,110.2091,13.23364
"21","STRT",2019-08-05 20:30:00,4321.66614194007,2019-08-06,92.22727,NA,110.2636,13.68364
"22","STRT",2019-08-05 20:45:00,4350.84437560413,2019-08-06,91.92727,NA,110.2818,13.31636
"23","STRT",2019-08-05 21:00:00,4378.94043676548,2019-08-06,91.84727,NA,110.2727,13.21818
"24","STRT",2019-08-05 21:15:00,4396.39680863442,2019-08-06,91.71091,NA,110.2727,13.10091
"25","STRT",2019-08-05 21:30:00,4415.22359760994,2019-08-06,91.46182,NA,110.3455,13.42727
"26","STRT",2019-08-05 21:45:00,4452.04784470576,2019-08-06,91.43727,NA,110.3727,13.70818
"27","STRT",2019-08-05 22:00:00,4471.41571993264,2019-08-06,91.33727,NA,110.3818,12.77727
"28","STRT",2019-08-05 22:15:00,4491.86576766223,2019-08-06,90.98818,NA,110.4727,13.87273
"29","STRT",2019-08-05 22:30:00,4515.30949125248,2019-08-06,90.97364,NA,110.5636,13.49909
"30","STRT",2019-08-05 22:45:00,4554.87457256146,2019-08-06,91.10909,NA,110.6182,13.67545
"31","STRT",2019-08-05 23:00:00,4567.96685146317,2019-08-06,91.16636,NA,110.6636,13.68364
"32","STRT",2019-08-05 23:15:00,4585.96430958347,2019-08-06,91.20909,NA,110.6545,13.67818
"33","STRT",2019-08-05 23:30:00,4607.78477441964,2019-08-06,91.15818,NA,110.6727,13.70091
"34","STRT",2019-08-05 23:45:00,4639.95668394436,2019-08-06,90.88909,NA,110.6727,13.48273
"35","STRT",2019-08-06 00:00:00,4661.77714878054,2019-08-06,91.01818,NA,110.6636,15.19727
"36","STRT",2019-08-06 00:15:00,4697.23097876978,2019-08-06,90.79364,NA,110.6545,15.52182
"37","STRT",2019-08-06 00:30:00,4698.85423752385,2019-08-06,90.46364,NA,110.5818,16.63182
"38","STRT",2019-08-06 00:45:00,4757.49894945585,2019-08-06,90.61818,NA,110.5727,14.83455
"39","STRT",2019-08-06 01:00:00,4769.22081125097,2019-08-06,90.51091,NA,110.5545,15.93727
"40","STRT",2019-08-06 01:15:00,4797.31687241232,2019-08-06,90.16455,NA,110.4636,16.62909
"41","STRT",2019-08-06 01:30:00,4836.8819537213,2019-08-06,90.71455,NA,110.3727,17.05636
"42","STRT",2019-08-06 01:45:00,4854.59116723774,2019-08-06,90.34818,NA,110.2818,16.35364
"43","STRT",2019-08-06 02:00:00,4886.76307676246,2019-08-06,90.50182,NA,110.1636,16.62182
"44","STRT",2019-08-06 02:15:00,4889.75675262311,2019-08-06,90.02636,NA,110.0455,NA
"45","STRT",2019-08-06 02:30:00,4935.0563440059,2019-08-06,90.03545,NA,109.8727,19.13909
"46","STRT",2019-08-06 02:45:00,4942.41411283379,2019-08-06,90.00455,NA,109.7636,17.83182
"47","STRT",2019-08-06 03:00:00,4957.41789509344,2019-08-06,89.94909,NA,109.5636,20.40455
