"","Site","DateTime","Discharge","fDOM","NO3","SpCond","Turb","day"
"1","CARI",2019-07-26 07:16:00,151.34,NA,NA,108.93,0.44,2019-07-26
"2","CARI",2019-07-26 07:17:00,153.27,NA,NA,108.94,0.45,2019-07-26
"3","CARI",2019-07-26 07:18:00,158.89,NA,NA,108.94,0.48,2019-07-26
"4","CARI",2019-07-26 07:19:00,161.33,NA,NA,108.95,0.47,2019-07-26
"5","CARI",2019-07-26 07:20:00,156.97,NA,NA,108.91,1.93,2019-07-26
"6","CARI",2019-07-26 07:21:00,161.02,NA,NA,108.93,0.44,2019-07-26
"7","CARI",2019-07-26 07:22:00,158.08,NA,NA,108.93,0.44,2019-07-26
"8","CARI",2019-07-26 07:23:00,163.17,NA,NA,108.95,0.48,2019-07-26
"9","CARI",2019-07-26 07:24:00,155.4,NA,NA,108.95,0.49,2019-07-26
"10","CARI",2019-07-26 07:25:00,152.55,NA,NA,108.92,1.84,2019-07-26
"11","CARI",2019-07-26 07:26:00,158.2,NA,NA,108.95,0.45,2019-07-26
"12","CARI",2019-07-26 07:27:00,164.61,NA,NA,108.95,0.45,2019-07-26
"13","CARI",2019-07-26 07:28:00,155.17,NA,NA,108.99,0.43,2019-07-26
"14","CARI",2019-07-26 07:29:00,156.51,NA,NA,108.98,0.45,2019-07-26
"15","CARI",2019-07-26 07:30:00,158.89,NA,NA,108.95,1.84,2019-07-26
"16","CARI",2019-07-26 07:31:00,160.48,NA,NA,108.95,0.46,2019-07-26
"17","CARI",2019-07-26 07:32:00,157.05,NA,NA,108.95,0.46,2019-07-26
"18","CARI",2019-07-26 07:33:00,148.23,NA,NA,108.97,0.47,2019-07-26
"19","CARI",2019-07-26 07:34:00,153.76,NA,NA,108.97,0.5,2019-07-26
"20","CARI",2019-07-26 07:35:00,159.63,NA,NA,108.92,1.86,2019-07-26
"21","CARI",2019-07-26 07:36:00,156.51,NA,NA,108.97,0.48,2019-07-26
"22","CARI",2019-07-26 07:37:00,164.18,NA,NA,108.97,0.47,2019-07-26
"23","CARI",2019-07-26 07:38:00,150.66,NA,NA,108.95,0.48,2019-07-26
"24","CARI",2019-07-26 07:39:00,157.97,NA,NA,108.96,0.45,2019-07-26
"25","CARI",2019-07-26 07:40:00,160.4,NA,NA,108.92,1.95,2019-07-26
"26","CARI",2019-07-26 07:41:00,161.45,NA,NA,108.93,0.45,2019-07-26
"27","CARI",2019-07-26 07:42:00,152.59,NA,NA,108.93,0.46,2019-07-26
"28","CARI",2019-07-26 07:43:00,156.24,NA,NA,108.98,0.49,2019-07-26
"29","CARI",2019-07-26 07:44:00,159.7,NA,NA,108.97,0.48,2019-07-26
"30","CARI",2019-07-26 07:45:00,158.39,NA,NA,108.98,0.48,2019-07-26
"31","CARI",2019-07-26 07:46:00,155.66,NA,NA,108.93,0.46,2019-07-26
"32","CARI",2019-07-26 07:47:00,153.91,NA,NA,108.94,0.46,2019-07-26
"33","CARI",2019-07-26 07:48:00,159.35,NA,NA,108.95,0.54,2019-07-26
"34","CARI",2019-07-26 07:49:00,156.43,NA,NA,108.96,0.48,2019-07-26
"35","CARI",2019-07-26 07:50:00,162.31,NA,NA,108.96,0.49,2019-07-26
"36","CARI",2019-07-26 07:51:00,160.59,NA,NA,108.94,0.54,2019-07-26
"37","CARI",2019-07-26 07:52:00,153.8,NA,NA,108.94,0.54,2019-07-26
"38","CARI",2019-07-26 07:53:00,157.93,NA,NA,108.93,0.49,2019-07-26
"39","CARI",2019-07-26 07:54:00,153.19,NA,NA,108.96,0.55,2019-07-26
"40","CARI",2019-07-26 07:55:00,159.16,NA,NA,108.93,2.02,2019-07-26
"41","CARI",2019-07-26 07:56:00,158.66,NA,NA,108.97,0.52,2019-07-26
"42","CARI",2019-07-26 07:57:00,154.49,NA,NA,108.97,0.52,2019-07-26
"43","CARI",2019-07-26 07:58:00,162.43,NA,NA,108.97,0.55,2019-07-26
"44","CARI",2019-07-26 07:59:00,161.14,NA,NA,108.96,0.54,2019-07-26
"45","CARI",2019-07-26 08:00:00,155.13,NA,NA,108.95,2.11,2019-07-26
"46","CARI",2019-07-26 08:01:00,159.28,NA,NA,108.94,0.6,2019-07-26
"47","CARI",2019-07-26 08:02:00,151.19,NA,NA,108.93,0.6,2019-07-26
"48","CARI",2019-07-26 08:03:00,157.05,NA,NA,108.91,0.55,2019-07-26
"49","CARI",2019-07-26 08:04:00,152.1,NA,NA,108.93,0.61,2019-07-26
"50","CARI",2019-07-26 08:05:00,159.24,NA,NA,108.87,2.06,2019-07-26
"51","CARI",2019-07-26 08:06:00,157.93,NA,NA,108.85,0.59,2019-07-26
"52","CARI",2019-07-26 08:07:00,163.79,NA,NA,108.85,0.59,2019-07-26
"53","CARI",2019-07-26 08:08:00,164.29,NA,NA,108.83,0.62,2019-07-26
"54","CARI",2019-07-26 08:09:00,164.26,NA,NA,108.8,0.64,2019-07-26
"55","CARI",2019-07-26 08:10:00,157.81,NA,NA,108.7,2.06,2019-07-26
"56","CARI",2019-07-26 08:11:00,163.04,NA,NA,108.71,0.69,2019-07-26
"57","CARI",2019-07-26 08:12:00,157.39,NA,NA,108.72,0.7,2019-07-26
"58","CARI",2019-07-26 08:13:00,159.7,NA,NA,108.67,0.64,2019-07-26
"59","CARI",2019-07-26 08:14:00,161.68,NA,NA,108.6,0.65,2019-07-26
"60","CARI",2019-07-26 08:15:00,159.67,NA,NA,108.53,2.2,2019-07-26
"61","CARI",2019-07-26 08:16:00,161.96,NA,NA,108.46,0.74,2019-07-26
