"","valuedatetime","datavalue"
"1",2019-07-31 23:16:00,0.82
"2",2019-07-31 23:17:00,0.82
"3",2019-07-31 23:18:00,0.8
"4",2019-07-31 23:19:00,0.83
"5",2019-07-31 23:20:00,2.34
"6",2019-07-31 23:21:00,0.76
"7",2019-07-31 23:22:00,0.76
"8",2019-07-31 23:23:00,0.82
"9",2019-07-31 23:24:00,0.8
"10",2019-07-31 23:25:00,2.39
"11",2019-07-31 23:26:00,0.79
"12",2019-07-31 23:27:00,0.79
"13",2019-07-31 23:28:00,0.78
"14",2019-07-31 23:29:00,0.81
"15",2019-07-31 23:30:00,2.41
"16",2019-07-31 23:31:00,0.85
"17",2019-07-31 23:32:00,0.83
"18",2019-07-31 23:33:00,0.76
"19",2019-07-31 23:34:00,0.76
"20",2019-07-31 23:35:00,2.3
"21",2019-07-31 23:36:00,0.78
"22",2019-07-31 23:37:00,0.79
"23",2019-07-31 23:38:00,0.74
"24",2019-07-31 23:39:00,0.8
"25",2019-07-31 23:40:00,2.34
"26",2019-07-31 23:41:00,0.77
"27",2019-07-31 23:42:00,0.77
"28",2019-07-31 23:43:00,0.76
"29",2019-07-31 23:44:00,0.77
"30",2019-07-31 23:45:00,2.31
"31",2019-07-31 23:46:00,0.74
"32",2019-07-31 23:47:00,0.74
"33",2019-07-31 23:48:00,0.76
"34",2019-07-31 23:49:00,0.7
"35",2019-07-31 23:50:00,2.26
"36",2019-07-31 23:51:00,0.78
"37",2019-07-31 23:52:00,0.78
"38",2019-07-31 23:53:00,0.75
"39",2019-07-31 23:54:00,0.76
"40",2019-07-31 23:55:00,2.28
"41",2019-07-31 23:56:00,0.73
"42",2019-07-31 23:57:00,0.73
"43",2019-07-31 23:58:00,0.73
"44",2019-07-31 23:59:00,0.71
"45",2019-08-01 00:00:00,2.31
"46",2019-08-01 00:01:00,0.76
"47",2019-08-01 00:02:00,0.76
"48",2019-08-01 00:03:00,0.71
"49",2019-08-01 00:04:00,0.7
"50",2019-08-01 00:05:00,2.3
"51",2019-08-01 00:06:00,0.71
"52",2019-08-01 00:07:00,0.71
"53",2019-08-01 00:08:00,0.69
"54",2019-08-01 00:09:00,0.72
"55",2019-08-01 00:10:00,2.38
"56",2019-08-01 00:11:00,0.74
"57",2019-08-01 00:12:00,0.73
"58",2019-08-01 00:13:00,0.71
"59",2019-08-01 00:14:00,0.71
"60",2019-08-01 00:15:00,2.27
"61",2019-08-01 00:16:00,0.69
"62",2019-08-01 00:17:00,0.69
"63",2019-08-01 00:18:00,0.71
"64",2019-08-01 00:19:00,0.68
"65",2019-08-01 00:20:00,2.26
"66",2019-08-01 00:21:00,0.74
"67",2019-08-01 00:22:00,0.74
"68",2019-08-01 00:23:00,0.71
"69",2019-08-01 00:24:00,0.68
"70",2019-08-01 00:25:00,2.25
"71",2019-08-01 00:26:00,0.72
"72",2019-08-01 00:27:00,0.72
"73",2019-08-01 00:28:00,0.71
"74",2019-08-01 00:29:00,0.73
"75",2019-08-01 00:30:00,2.34
"76",2019-08-01 00:31:00,0.67
"77",2019-08-01 00:32:00,0.68
"78",2019-08-01 00:33:00,0.71
"79",2019-08-01 00:34:00,0.72
"80",2019-08-01 00:35:00,2.45
"81",2019-08-01 00:36:00,0.73
"82",2019-08-01 00:37:00,0.73
"83",2019-08-01 00:38:00,0.7
"84",2019-08-01 00:39:00,0.66
"85",2019-08-01 00:40:00,2.32
"86",2019-08-01 00:41:00,0.72
"87",2019-08-01 00:42:00,0.73
"88",2019-08-01 00:43:00,0.7
"89",2019-08-01 00:44:00,0.71
"90",2019-08-01 00:45:00,2.37
"91",2019-08-01 00:46:00,0.68
"92",2019-08-01 00:47:00,0.68
"93",2019-08-01 00:48:00,0.7
"94",2019-08-01 00:49:00,0.73
"95",2019-08-01 00:50:00,2.34
"96",2019-08-01 00:51:00,0.71
"97",2019-08-01 00:52:00,0.71
"98",2019-08-01 00:53:00,0.71
