"","valuedatetime","datavalue"
"1",2019-08-10 10:16:00,66.68
"2",2019-08-10 10:17:00,66.67
"3",2019-08-10 10:18:00,66.67
"4",2019-08-10 10:19:00,66.69
"5",2019-08-10 10:20:00,66.7
"6",2019-08-10 10:21:00,66.67
"7",2019-08-10 10:22:00,66.67
"8",2019-08-10 10:23:00,66.67
"9",2019-08-10 10:24:00,66.68
"10",2019-08-10 10:25:00,66.69
"11",2019-08-10 10:26:00,66.65
"12",2019-08-10 10:27:00,66.69
"13",2019-08-10 10:28:00,66.69
"14",2019-08-10 10:29:00,66.64
"15",2019-08-10 10:30:00,66.65
"16",2019-08-10 10:31:00,66.67
"17",2019-08-10 10:32:00,66.66
"18",2019-08-10 10:33:00,66.66
"19",2019-08-10 10:34:00,66.67
"20",2019-08-10 10:35:00,66.65
"21",2019-08-10 10:36:00,66.64
"22",2019-08-10 10:37:00,66.64
"23",2019-08-10 10:38:00,66.64
"24",2019-08-10 10:39:00,66.67
"25",2019-08-10 10:40:00,66.66
"26",2019-08-10 10:41:00,66.65
"27",2019-08-10 10:42:00,66.66
"28",2019-08-10 10:43:00,66.66
"29",2019-08-10 10:44:00,66.66
"30",2019-08-10 10:45:00,66.65
"31",2019-08-10 10:46:00,66.65
"32",2019-08-10 10:47:00,66.65
"33",2019-08-10 10:48:00,66.64
"34",2019-08-10 10:49:00,66.66
"35",2019-08-10 10:50:00,66.68
"36",2019-08-10 10:51:00,66.66
"37",2019-08-10 10:52:00,66.65
"38",2019-08-10 10:53:00,66.65
"39",2019-08-10 10:54:00,66.66
"40",2019-08-10 10:55:00,66.65
"41",2019-08-10 10:56:00,66.67
"42",2019-08-10 10:57:00,66.67
"43",2019-08-10 10:58:00,66.66
"44",2019-08-10 10:59:00,66.66
"45",2019-08-10 11:00:00,66.69
"46",2019-08-10 11:01:00,66.67
"47",2019-08-10 11:02:00,66.66
"48",2019-08-10 11:03:00,66.66
"49",2019-08-10 11:04:00,66.67
"50",2019-08-10 11:05:00,66.69
"51",2019-08-10 11:06:00,66.64
"52",2019-08-10 11:07:00,66.67
"53",2019-08-10 11:08:00,66.66
"54",2019-08-10 11:09:00,66.64
"55",2019-08-10 11:10:00,66.65
"56",2019-08-10 11:11:00,66.61
"57",2019-08-10 11:12:00,66.63
"58",2019-08-10 11:13:00,66.63
"59",2019-08-10 11:14:00,66.65
"60",2019-08-10 11:15:00,66.66
"61",2019-08-10 11:16:00,66.61
"62",2019-08-10 11:17:00,66.66
"63",2019-08-10 11:18:00,66.65
"64",2019-08-10 11:19:00,66.65
"65",2019-08-10 11:20:00,66.65
"66",2019-08-10 11:21:00,66.58
"67",2019-08-10 11:22:00,66.59
"68",2019-08-10 11:23:00,66.59
"69",2019-08-10 11:24:00,66.64
"70",2019-08-10 11:25:00,66.64
"71",2019-08-10 11:26:00,66.6
"72",2019-08-10 11:27:00,66.62
"73",2019-08-10 11:28:00,66.63
"74",2019-08-10 11:29:00,66.61
"75",2019-08-10 11:30:00,66.62
"76",2019-08-10 11:31:00,66.6
"77",2019-08-10 11:32:00,66.61
"78",2019-08-10 11:33:00,66.61
