"","valuedatetime","datavalue"
"1",2019-08-13 04:30:00,25.3488888888889
"2",2019-08-13 04:45:00,25.1788888888889
"3",2019-08-13 05:00:00,25.3188888888889
"4",2019-08-13 05:15:00,25.5766666666667
"5",2019-08-13 05:30:00,25.0022222222222
"6",2019-08-13 05:45:00,25.2255555555556
"7",2019-08-13 06:00:00,25.5122222222222
"8",2019-08-13 06:15:00,25.4944444444444
"9",2019-08-13 06:30:00,25.6177777777778
"10",2019-08-13 06:45:00,25.7633333333333
"11",2019-08-13 07:00:00,26.5344444444444
"12",2019-08-13 07:15:00,26.5033333333333
"13",2019-08-13 07:30:00,26.5255555555556
"14",2019-08-13 07:45:00,NA
"15",2019-08-13 08:00:00,NA
"16",2019-08-13 08:15:00,NA
"17",2019-08-13 08:30:00,NA
"18",2019-08-13 08:45:00,NA
"19",2019-08-13 09:00:00,NA
"20",2019-08-13 09:15:00,NA
"21",2019-08-13 09:30:00,NA
"22",2019-08-13 09:45:00,NA
"23",2019-08-13 10:00:00,NA
"24",2019-08-13 10:15:00,NA
"25",2019-08-13 10:30:00,NA
"26",2019-08-13 10:45:00,NA
"27",2019-08-13 11:00:00,NA
"28",2019-08-13 11:15:00,NA
"29",2019-08-13 11:30:00,NA
"30",2019-08-13 11:45:00,NA
"31",2019-08-13 12:00:00,NA
"32",2019-08-13 12:15:00,NA
"33",2019-08-13 12:30:00,NA
"34",2019-08-13 12:45:00,NA
"35",2019-08-13 13:00:00,NA
"36",2019-08-13 13:15:00,NA
"37",2019-08-13 13:30:00,22.63
"38",2019-08-13 13:45:00,22.57
"39",2019-08-13 14:00:00,22.35
"40",2019-08-13 14:15:00,22.4
"41",2019-08-13 14:30:00,22.13
"42",2019-08-13 14:45:00,22.03
"43",2019-08-13 15:00:00,21.885
"44",2019-08-13 15:15:00,21.74
"45",2019-08-13 15:30:00,21.82
"46",2019-08-13 15:45:00,21.66
"47",2019-08-13 16:00:00,21.605
"48",2019-08-13 16:15:00,21.42
"49",2019-08-13 16:30:00,21.345
"50",2019-08-13 16:45:00,21.145
"51",2019-08-13 17:00:00,21.085
"52",2019-08-13 17:15:00,21.065
"53",2019-08-13 17:30:00,20.355
"54",2019-08-13 17:45:00,20.395
"55",2019-08-13 18:00:00,20.285
"56",2019-08-13 18:15:00,19.995
"57",2019-08-13 18:30:00,19.915
"58",2019-08-13 18:45:00,20.18
"59",2019-08-13 19:00:00,19.74
"60",2019-08-13 19:15:00,20.225
"61",2019-08-13 19:30:00,19.79
"62",2019-08-13 19:45:00,19.38
"63",2019-08-13 20:00:00,20.085
"64",2019-08-13 20:15:00,19.775
"65",2019-08-13 20:30:00,20.305
"66",2019-08-13 20:45:00,21.395
"67",2019-08-13 21:00:00,20.775
"68",2019-08-13 21:15:00,19.315
"69",2019-08-13 21:30:00,20.08
"70",2019-08-13 21:45:00,20.235
"71",2019-08-13 22:00:00,20.975
"72",2019-08-13 22:15:00,20.135
"73",2019-08-13 22:30:00,21.23
"74",2019-08-13 22:45:00,21.22
"75",2019-08-13 23:00:00,20.22
"76",2019-08-13 23:15:00,21.565
"77",2019-08-13 23:30:00,21.55
"78",2019-08-13 23:45:00,18.56
"79",2019-08-14 00:00:00,18.395
"80",2019-08-14 00:15:00,19.59
"81",2019-08-14 00:30:00,20.875
"82",2019-08-14 00:45:00,25.21
"83",2019-08-14 01:00:00,19.795
"84",2019-08-14 01:15:00,23.85
"85",2019-08-14 01:30:00,20.565
"86",2019-08-14 01:45:00,18.885
"87",2019-08-14 02:00:00,21.055
"88",2019-08-14 02:15:00,18.705
"89",2019-08-14 02:30:00,21.38
"90",2019-08-14 02:45:00,18.38
"91",2019-08-14 03:00:00,19.56
"92",2019-08-14 03:15:00,22.57
"93",2019-08-14 03:30:00,22.605
"94",2019-08-14 03:45:00,17.265
"95",2019-08-14 04:00:00,19.365
"96",2019-08-14 04:15:00,18.35
"97",2019-08-14 04:30:00,19.23
"98",2019-08-14 04:45:00,16.745
"99",2019-08-14 05:00:00,18.565
"100",2019-08-14 05:15:00,18.755
"101",2019-08-14 05:30:00,16.465
"102",2019-08-14 05:45:00,14.785
"103",2019-08-14 06:00:00,16.335
"104",2019-08-14 06:15:00,17.275
"105",2019-08-14 06:30:00,17.02
"106",2019-08-14 06:45:00,17.22
"107",2019-08-14 07:00:00,17.61
"108",2019-08-14 07:15:00,17.97
"109",2019-08-14 07:30:00,17.275
"110",2019-08-14 07:45:00,16.59
"111",2019-08-14 08:00:00,17.18
"112",2019-08-14 08:15:00,16.92
"113",2019-08-14 08:30:00,17.105
"114",2019-08-14 08:45:00,15.615
