"","valuedatetime","datavalue"
"1",2019-08-12 18:30:00,46.12455
"2",2019-08-12 18:45:00,46.33091
"3",2019-08-12 19:00:00,46.41
"4",2019-08-12 19:15:00,46.54091
"5",2019-08-12 19:30:00,46.54273
"6",2019-08-12 19:45:00,46.66818
"7",2019-08-12 20:00:00,46.55273
"8",2019-08-12 20:15:00,46.65727
"9",2019-08-12 20:30:00,46.60364
"10",2019-08-12 20:45:00,46.75182
"11",2019-08-12 21:00:00,46.74273
"12",2019-08-12 21:15:00,46.77091
"13",2019-08-12 21:30:00,46.94545
"14",2019-08-12 21:45:00,46.92545
"15",2019-08-12 22:00:00,47.00364
"16",2019-08-12 22:15:00,47.25364
"17",2019-08-12 22:30:00,47.32091
"18",2019-08-12 22:45:00,47.39455
"19",2019-08-12 23:00:00,47.40455
"20",2019-08-12 23:15:00,47.42
"21",2019-08-12 23:30:00,47.48
"22",2019-08-12 23:45:00,47.54273
"23",2019-08-13 00:00:00,47.52727
"24",2019-08-13 00:15:00,47.38818
"25",2019-08-13 00:30:00,47.49273
"26",2019-08-13 00:45:00,47.63364
"27",2019-08-13 01:00:00,47.62273
"28",2019-08-13 01:15:00,47.57455
"29",2019-08-13 01:30:00,47.65
"30",2019-08-13 01:45:00,47.62818
"31",2019-08-13 02:00:00,47.57182
"32",2019-08-13 02:15:00,47.48364
"33",2019-08-13 02:30:00,47.35273
"34",2019-08-13 02:45:00,47.54182
"35",2019-08-13 03:00:00,47.74636
"36",2019-08-13 03:15:00,47.62273
"37",2019-08-13 03:30:00,47.53455
"38",2019-08-13 03:45:00,47.39273
"39",2019-08-13 04:00:00,47.36273
"40",2019-08-13 04:15:00,47.16636
"41",2019-08-13 04:30:00,46.80727
"42",2019-08-13 04:45:00,45.96455
"43",2019-08-13 05:00:00,45.26182
"44",2019-08-13 05:15:00,44.53
"45",2019-08-13 05:30:00,44.04273
"46",2019-08-13 05:45:00,43.7
"47",2019-08-13 06:00:00,43.61455
"48",2019-08-13 06:15:00,43.27727
"49",2019-08-13 06:30:00,43.51
"50",2019-08-13 06:45:00,43.85636
"51",2019-08-13 07:00:00,43.79091
