"","valuedatetime","datavalue"
"1",2019-08-15 19:30:00,22.51636
"2",2019-08-15 19:45:00,23.05364
"3",2019-08-15 20:00:00,23.53182
"4",2019-08-15 20:15:00,22.35091
"5",2019-08-15 20:30:00,24.17273
"6",2019-08-15 20:45:00,22.99091
"7",2019-08-15 21:00:00,25.60091
"8",2019-08-15 21:15:00,26.18727
"9",2019-08-15 21:30:00,26.76182
"10",2019-08-15 21:45:00,22.30909
"11",2019-08-15 22:00:00,23.83091
"12",2019-08-15 22:15:00,26.07909
"13",2019-08-15 22:30:00,24.05455
"14",2019-08-15 22:45:00,27.78
"15",2019-08-15 23:00:00,26.42273
"16",2019-08-15 23:15:00,26.40182
"17",2019-08-15 23:30:00,27.10364
"18",2019-08-15 23:45:00,29.46
"19",2019-08-16 00:00:00,30.05
"20",2019-08-16 00:15:00,31.23455
"21",2019-08-16 00:30:00,34.48091
"22",2019-08-16 00:45:00,34.27818
"23",2019-08-16 01:00:00,36.85818
"24",2019-08-16 01:15:00,38.84182
"25",2019-08-16 01:30:00,40.60636
"26",2019-08-16 01:45:00,42.09
"27",2019-08-16 02:00:00,46.86545
"28",2019-08-16 02:15:00,NA
"29",2019-08-16 02:30:00,55.11818
"30",2019-08-16 02:45:00,NA
"31",2019-08-16 03:00:00,NA
"32",2019-08-16 03:15:00,64.79636
"33",2019-08-16 03:30:00,72.08636
"34",2019-08-16 03:45:00,63.12727
"35",2019-08-16 04:00:00,64.70545
"36",2019-08-16 04:15:00,65.57636
"37",2019-08-16 04:30:00,NA
"38",2019-08-16 04:45:00,75.28909
"39",2019-08-16 05:00:00,73.01727
"40",2019-08-16 05:15:00,87.38455
"41",2019-08-16 05:30:00,79.19455
"42",2019-08-16 05:45:00,81.11727
"43",2019-08-16 06:00:00,87.08636
"44",2019-08-16 06:15:00,84.26273
"45",2019-08-16 06:30:00,89.50455
"46",2019-08-16 06:45:00,91.52182
"47",2019-08-16 07:00:00,NA
"48",2019-08-16 07:15:00,91.40727
"49",2019-08-16 07:30:00,91.13818
"50",2019-08-16 07:45:00,92.51364
"51",2019-08-16 08:00:00,86.76091
"52",2019-08-16 08:15:00,NA
"53",2019-08-16 08:30:00,92.77182
"54",2019-08-16 08:45:00,NA
"55",2019-08-16 09:00:00,NA
"56",2019-08-16 09:15:00,94.03909
"57",2019-08-16 09:30:00,NA
"58",2019-08-16 09:45:00,NA
"59",2019-08-16 10:00:00,NA
"60",2019-08-16 10:15:00,NA
"61",2019-08-16 10:30:00,NA
"62",2019-08-16 10:45:00,NA
"63",2019-08-16 11:00:00,NA
"64",2019-08-16 11:15:00,NA
"65",2019-08-16 11:30:00,NA
"66",2019-08-16 11:45:00,NA
"67",2019-08-16 12:00:00,NA
"68",2019-08-16 12:15:00,104.6182
"69",2019-08-16 12:30:00,NA
"70",2019-08-16 12:45:00,NA
"71",2019-08-16 13:00:00,NA
"72",2019-08-16 13:15:00,NA
"73",2019-08-16 13:30:00,NA
"74",2019-08-16 13:45:00,NA
"75",2019-08-16 14:00:00,NA
"76",2019-08-16 14:15:00,NA
"77",2019-08-16 14:30:00,NA
"78",2019-08-16 14:45:00,NA
"79",2019-08-16 15:00:00,NA
"80",2019-08-16 15:15:00,NA
"81",2019-08-16 15:30:00,NA
"82",2019-08-16 15:45:00,87.97091
"83",2019-08-16 16:00:00,83.44636
"84",2019-08-16 16:15:00,83.66818
"85",2019-08-16 16:30:00,80.73455
"86",2019-08-16 16:45:00,84.30182
"87",2019-08-16 17:00:00,80.54636
