"","valuedatetime","datavalue"
"1",2019-10-09 12:30:00,8.713636
"2",2019-10-09 12:45:00,8.777273
"3",2019-10-09 13:00:00,9.129091
"4",2019-10-09 13:15:00,9.036364
"5",2019-10-09 13:30:00,9.010909
"6",2019-10-09 13:45:00,8.931818
"7",2019-10-09 14:00:00,8.844545
"8",2019-10-09 14:15:00,9.092727
"9",2019-10-09 14:30:00,9.097273
"10",2019-10-09 14:45:00,8.922727
"11",2019-10-09 15:00:00,9.517273
"12",2019-10-09 15:15:00,9.97
"13",2019-10-09 15:30:00,9.421818
"14",2019-10-09 15:45:00,9.729091
"15",2019-10-09 16:00:00,9.465455
"16",2019-10-09 16:15:00,9.379091
"17",2019-10-09 16:30:00,9.920909
"18",2019-10-09 16:45:00,9.509091
"19",2019-10-09 17:00:00,9.012727
"20",2019-10-09 17:15:00,9.575455
"21",2019-10-09 17:30:00,9.465455
"22",2019-10-09 17:45:00,9.664545
"23",2019-10-09 18:00:00,9.814545
"24",2019-10-09 18:15:00,9.750909
"25",2019-10-09 18:30:00,9.974545
"26",2019-10-09 18:45:00,9.923636
"27",2019-10-09 19:00:00,10.12545
"28",2019-10-09 19:15:00,9.730909
"29",2019-10-09 19:30:00,10.21636
"30",2019-10-09 19:45:00,9.909091
"31",2019-10-09 20:00:00,9.977273
"32",2019-10-09 20:15:00,10.20545
"33",2019-10-09 20:30:00,9.968182
"34",2019-10-09 20:45:00,10.23727
"35",2019-10-09 21:00:00,10.60091
"36",2019-10-09 21:15:00,10.88636
"37",2019-10-09 21:30:00,10.60182
"38",2019-10-09 21:45:00,10.31636
"39",2019-10-09 22:00:00,10.74182
"40",2019-10-09 22:15:00,10.46364
"41",2019-10-09 22:30:00,10.85182
"42",2019-10-09 22:45:00,10.20273
"43",2019-10-09 23:00:00,10.95182
"44",2019-10-09 23:15:00,10.74182
"45",2019-10-09 23:30:00,11.07182
"46",2019-10-09 23:45:00,11.06545
"47",2019-10-10 00:00:00,11.03455
"48",2019-10-10 00:15:00,10.60545
"49",2019-10-10 00:30:00,10.83273
"50",2019-10-10 00:45:00,10.39909
"51",2019-10-10 01:00:00,11.05455
"52",2019-10-10 01:15:00,10.32
"53",2019-10-10 01:30:00,10.54364
"54",2019-10-10 01:45:00,10.44455
"55",2019-10-10 02:00:00,10.74818
"56",2019-10-10 02:15:00,10.49636
"57",2019-10-10 02:30:00,10.50545
"58",2019-10-10 02:45:00,10.55727
"59",2019-10-10 03:00:00,10.33636
"60",2019-10-10 03:15:00,10.60273
"61",2019-10-10 03:30:00,10.46
"62",2019-10-10 03:45:00,10.02818
"63",2019-10-10 04:00:00,10.25
"64",2019-10-10 04:15:00,10.49909
"65",2019-10-10 04:30:00,10.64818
"66",2019-10-10 04:45:00,10.60273
"67",2019-10-10 05:00:00,10.32182
"68",2019-10-10 05:15:00,10.26636
"69",2019-10-10 05:30:00,10.41636
"70",2019-10-10 05:45:00,10.41818
"71",2019-10-10 06:00:00,10.22273
"72",2019-10-10 06:15:00,10.65909
"73",2019-10-10 06:30:00,10.12909
"74",2019-10-10 06:45:00,10.34364
"75",2019-10-10 07:00:00,10.66273
"76",2019-10-10 07:15:00,10.32727
"77",2019-10-10 07:30:00,10.20182
"78",2019-10-10 07:45:00,10.64909
"79",2019-10-10 08:00:00,10.60091
"80",2019-10-10 08:15:00,10.57727
"81",2019-10-10 08:30:00,10.73273
"82",2019-10-10 08:45:00,10.46545
"83",2019-10-10 09:00:00,11.16273
"84",2019-10-10 09:15:00,10.75455
"85",2019-10-10 09:30:00,11.39091
"86",2019-10-10 09:45:00,11.47364
"87",2019-10-10 10:00:00,11.31091
"88",2019-10-10 10:15:00,11.77273
"89",2019-10-10 10:30:00,11.33364
"90",2019-10-10 10:45:00,11.81727
"91",2019-10-10 11:00:00,10.95091
"92",2019-10-10 11:15:00,12.14818
"93",2019-10-10 11:30:00,11.86818
"94",2019-10-10 11:45:00,12.33091
"95",2019-10-10 12:00:00,12.43818
"96",2019-10-10 12:15:00,13.55909
"97",2019-10-10 12:30:00,12.60545
"98",2019-10-10 12:45:00,13.03455
"99",2019-10-10 13:00:00,12.57818
"100",2019-10-10 13:15:00,13.23545
"101",2019-10-10 13:30:00,13.45091
"102",2019-10-10 13:45:00,13.31727
"103",2019-10-10 14:00:00,13.04909
"104",2019-10-10 14:15:00,13.35182
"105",2019-10-10 14:30:00,13.71909
"106",2019-10-10 14:45:00,13.78636
"107",2019-10-10 15:00:00,15.14818
"108",2019-10-10 15:15:00,13.97455
"109",2019-10-10 15:30:00,13.94909
"110",2019-10-10 15:45:00,13.91727
"111",2019-10-10 16:00:00,16.10727
"112",2019-10-10 16:15:00,14.98273
"113",2019-10-10 16:30:00,14.37818
"114",2019-10-10 16:45:00,14.69091
"115",2019-10-10 17:00:00,15.07545
"116",2019-10-10 17:15:00,14.84545
"117",2019-10-10 17:30:00,15.94818
"118",2019-10-10 17:45:00,16.40545
"119",2019-10-10 18:00:00,15.42636
"120",2019-10-10 18:15:00,16.07
"121",2019-10-10 18:30:00,16.51909
"122",2019-10-10 18:45:00,18.12727
"123",2019-10-10 19:00:00,17.73091
"124",2019-10-10 19:15:00,15.65182
"125",2019-10-10 19:30:00,17.11
"126",2019-10-10 19:45:00,16.26545
"127",2019-10-10 20:00:00,19.17545
"128",2019-10-10 20:15:00,16.83636
"129",2019-10-10 20:30:00,16.68545
"130",2019-10-10 20:45:00,15.97455
"131",2019-10-10 21:00:00,16.58182
"132",2019-10-10 21:15:00,16.32818
"133",2019-10-10 21:30:00,16.06909
"134",2019-10-10 21:45:00,17.14727
"135",2019-10-10 22:00:00,16.98273
"136",2019-10-10 22:15:00,18.48545
"137",2019-10-10 22:30:00,18.71818
"138",2019-10-10 22:45:00,17.76091
"139",2019-10-10 23:00:00,17.92727
"140",2019-10-10 23:15:00,16.66909
"141",2019-10-10 23:30:00,17.32909
"142",2019-10-10 23:45:00,17.40636
"143",2019-10-11 00:00:00,17.22545
"144",2019-10-11 00:15:00,18.94455
"145",2019-10-11 00:30:00,16.18636
"146",2019-10-11 00:45:00,16.08455
"147",2019-10-11 01:00:00,15.18727
"148",2019-10-11 01:15:00,16.29545
"149",2019-10-11 01:30:00,15.93636
"150",2019-10-11 01:45:00,14.35909
"151",2019-10-11 02:00:00,16.01273
"152",2019-10-11 02:15:00,15.31091
"153",2019-10-11 02:30:00,14.55455
"154",2019-10-11 02:45:00,16.34273
"155",2019-10-11 03:00:00,14.83273
"156",2019-10-11 03:15:00,13.68727
"157",2019-10-11 03:30:00,13.71727
"158",2019-10-11 03:45:00,14.49
"159",2019-10-11 04:00:00,13.38
"160",2019-10-11 04:15:00,13.46182
"161",2019-10-11 04:30:00,13.33091
"162",2019-10-11 04:45:00,14.23364
"163",2019-10-11 05:00:00,13.14636
"164",2019-10-11 05:15:00,12.50273
"165",2019-10-11 05:30:00,12.67636
"166",2019-10-11 05:45:00,12.79
"167",2019-10-11 06:00:00,12.67909
"168",2019-10-11 06:15:00,12.88545
"169",2019-10-11 06:30:00,12.35818
"170",2019-10-11 06:45:00,11.89273
"171",2019-10-11 07:00:00,11.90364
"172",2019-10-11 07:15:00,12.38636
"173",2019-10-11 07:30:00,11.83727
"174",2019-10-11 07:45:00,12.73455
"175",2019-10-11 08:00:00,12.47182
"176",2019-10-11 08:15:00,11.66455
"177",2019-10-11 08:30:00,11.94273
"178",2019-10-11 08:45:00,11.68364
"179",2019-10-11 09:00:00,11.88818
"180",2019-10-11 09:15:00,11.96091
"181",2019-10-11 09:30:00,11.62364
"182",2019-10-11 09:45:00,11.18091
"183",2019-10-11 10:00:00,11.63
"184",2019-10-11 10:15:00,10.96455
"185",2019-10-11 10:30:00,11.17455
"186",2019-10-11 10:45:00,11.59182
"187",2019-10-11 11:00:00,10.76545
"188",2019-10-11 11:15:00,11.02455
"189",2019-10-11 11:30:00,11.19091
"190",2019-10-11 11:45:00,11.49636
"191",2019-10-11 12:00:00,11.50727
"192",2019-10-11 12:15:00,11.52455
"193",2019-10-11 12:30:00,12.35545
"194",2019-10-11 12:45:00,12.02909
"195",2019-10-11 13:00:00,11.70636
"196",2019-10-11 13:15:00,11.25545
"197",2019-10-11 13:30:00,11.38545
"198",2019-10-11 13:45:00,10.92182
"199",2019-10-11 14:00:00,11.92545
"200",2019-10-11 14:15:00,10.47455
