"","Site","DateTime","MeanDischarge","day","fDOM.QSU.mn","nitrateuM","SpCond.uScm.mn","Turbidity.FNU.mn"
"1","VAUL",2019-09-29 10:30:00,90.1011829566915,2019-09-29,227.3,37.0475,377.7,6.332
"2","VAUL",2019-09-29 10:45:00,89.9005121705965,2019-09-29,227.2,37.0333333333333,377.8,6.316
"3","VAUL",2019-09-29 11:00:00,90.5025245288817,2019-09-29,227.1,37.0858333333333,378.1,6.226
"4","VAUL",2019-09-29 11:15:00,90.5025245288817,2019-09-29,227.1,37.0991666666667,378.2,6.102
"5","VAUL",2019-09-29 11:30:00,90.5025245288817,2019-09-29,227,37.1516666666667,378.4,6.118
"6","VAUL",2019-09-29 11:45:00,90.9038661010719,2019-09-29,227.1,37.0408333333333,378.7,6.024
"7","VAUL",2019-09-29 12:00:00,91.1045368871669,2019-09-29,227,37.065,378.9,6.018
"8","VAUL",2019-09-29 12:15:00,91.5058784593571,2019-09-29,226.9,37.1691666666667,379.2,6.07
"9","VAUL",2019-09-29 12:30:00,91.7065492454522,2019-09-29,227,37.0966666666667,379.6,6.07
"10","VAUL",2019-09-29 12:45:00,91.5058784593571,2019-09-29,227,37.0758333333333,379.9,5.926
"11","VAUL",2019-09-29 13:00:00,92.1078908176424,2019-09-29,227.1,37.0408333333333,380.1,5.902
"12","VAUL",2019-09-29 13:15:00,92.3085616037374,2019-09-29,227.1,36.9516666666667,380.3,5.884
"13","VAUL",2019-09-29 13:30:00,92.9105739620227,2019-09-29,227.1,36.9675,380.5,5.762
"14","VAUL",2019-09-29 13:45:00,93.1112447481178,2019-09-29,227.2,36.9866666666667,380.7,5.824
"15","VAUL",2019-09-29 14:00:00,93.3119155342128,2019-09-29,227.2,37.0475,380.7,5.81
"16","VAUL",2019-09-29 14:15:00,93.3119155342128,2019-09-29,227.2,36.9925,380.6,5.81
"17","VAUL",2019-09-29 14:30:00,94.3152694646882,2019-09-29,227.2,36.9308333333333,380.6,5.73
"18","VAUL",2019-09-29 14:45:00,94.5159402507833,2019-09-29,227.2,37.0625,380.4,5.632
"19","VAUL",2019-09-29 15:00:00,95.1179526090686,2019-09-29,227.2,37.0658333333333,380.2,5.632
"20","VAUL",2019-09-29 15:15:00,95.3186233951637,2019-09-29,227.2,37.0433333333333,380,5.55
"21","VAUL",2019-09-29 15:30:00,95.7199649673538,2019-09-29,227.2,37.0083333333333,379.6,5.592
"22","VAUL",2019-09-29 15:45:00,95.9206357534489,2019-09-29,227,36.86,379.3,5.702
"23","VAUL",2019-09-29 16:00:00,96.3219773256391,2019-09-30,226.8,36.9216666666667,378.9,5.778
"24","VAUL",2019-09-29 16:15:00,96.9239896839243,2019-09-30,226.4,36.9666666666667,378.6,6.085
"25","VAUL",2019-09-29 16:30:00,97.5260020422096,2019-09-30,225.8,36.9025,378.2,6.354
"26","VAUL",2019-09-29 16:45:00,97.7266728283046,2019-09-30,225.6,36.8516666666667,378.1,6.464
"27","VAUL",2019-09-29 17:00:00,98.1280144004948,2019-09-30,225.6,36.8991666666667,377.9,6.524
"28","VAUL",2019-09-29 17:15:00,98.529355972685,2019-09-30,225.7,36.9608333333333,377.7,6.372
"29","VAUL",2019-09-29 17:30:00,99.1313683309702,2019-09-30,225.9,37.0166666666667,377.6,6.188
"30","VAUL",2019-09-29 17:45:00,98.9306975448751,2019-09-30,226.2,36.8825,377.7,6.104
"31","VAUL",2019-09-29 18:00:00,99.1313683309702,2019-09-30,226.5,37.0025,377.8,5.948
"32","VAUL",2019-09-29 18:15:00,100.134722261446,2019-09-30,226.7,36.9983333333333,377.9,5.932
"33","VAUL",2019-09-29 18:30:00,100.335393047541,2019-09-30,226.8,36.9058333333333,378.1,5.878
"34","VAUL",2019-09-29 18:45:00,100.937405405826,2019-09-30,227,36.9025,378.1,5.72
"35","VAUL",2019-09-29 19:00:00,101.338746978016,2019-09-30,227.2,36.985,378.1,5.528
"36","VAUL",2019-09-29 19:15:00,101.740088550206,2019-09-30,227.3,37.0108333333333,378.2,5.572
"37","VAUL",2019-09-29 19:30:00,102.141430122396,2019-09-30,227.3,37.0183333333333,378.2,5.624
"38","VAUL",2019-09-29 19:45:00,102.743442480682,2019-09-30,227.3,36.9366666666667,378.2,5.66
"39","VAUL",2019-09-29 20:00:00,102.944113266777,2019-09-30,227.3,37.0108333333333,378.2,5.67
"40","VAUL",2019-09-29 20:15:00,103.345454838967,2019-09-30,227.3,36.8825,378.2,5.674
"41","VAUL",2019-09-29 20:30:00,103.746796411157,2019-09-30,227.2,36.8383333333333,378.2,5.786
"42","VAUL",2019-09-29 20:45:00,103.947467197252,2019-09-30,226.9,36.8683333333333,378.1,6.024
"43","VAUL",2019-09-29 21:00:00,104.549479555537,2019-09-30,226.3,36.7475,377.9,6.451
"44","VAUL",2019-09-29 21:15:00,105.352162699918,2019-09-30,225.4,36.6525,377.6,6.971
"45","VAUL",2019-09-29 21:30:00,105.352162699918,2019-09-30,224.8,36.6225,377.5,7.378
"46","VAUL",2019-09-29 21:45:00,105.753504272108,2019-09-30,224.6,36.76,377.3,7.54
"47","VAUL",2019-09-29 22:00:00,106.556187416488,2019-09-30,224.3,36.51,377,7.662
"48","VAUL",2019-09-29 22:15:00,106.756858202583,2019-09-30,224.1,36.6408333333333,376.8,7.64
"49","VAUL",2019-09-29 22:30:00,107.158199774773,2019-09-30,224.3,36.5416666666667,376.5,7.58
"50","VAUL",2019-09-29 22:45:00,107.760212133059,2019-09-30,224.2,36.3558333333333,376.1,7.58
"51","VAUL",2019-09-29 23:00:00,107.358870560869,2019-09-30,223.5,36.4441666666667,375.8,7.909
"52","VAUL",2019-09-29 23:15:00,108.161553705249,2019-09-30,223,36.2808333333333,375.3,8.26
"53","VAUL",2019-09-29 23:30:00,108.763566063534,2019-09-30,222.7,36.3275,374.9,8.44
"54","VAUL",2019-09-29 23:45:00,108.763566063534,2019-09-30,222.7,36.3041666666667,374.7,8.49
"55","VAUL",2019-09-30 00:00:00,108.763566063534,2019-09-30,223.2,36.3541666666667,374.8,7.969
"56","VAUL",2019-09-30 00:15:00,108.964236849629,2019-09-30,224,36.4716666666667,374.8,7.339
"57","VAUL",2019-09-30 00:30:00,109.164907635724,2019-09-30,224.5,36.3808333333333,374.7,6.946
"58","VAUL",2019-09-30 00:45:00,109.365578421819,2019-09-30,224.7,36.2825,374.6,7.032
"59","VAUL",2019-09-30 01:00:00,109.967590780105,2019-09-30,224.7,36.1833333333333,374.5,7.192
"60","VAUL",2019-09-30 01:15:00,109.967590780105,2019-09-30,224.6,36.2591666666667,374.2,7.38
"61","VAUL",2019-09-30 01:30:00,110.770273924485,2019-09-30,224.2,36.1758333333333,373.8,7.758
"62","VAUL",2019-09-30 01:45:00,110.368932352295,2019-09-30,223.8,36.1058333333333,373.4,8.03
"63","VAUL",2019-09-30 02:00:00,110.56960313839,2019-09-30,223.4,36.0733333333333,373.1,8.35
"64","VAUL",2019-09-30 02:15:00,110.770273924485,2019-09-30,223.1,35.9425,372.6,8.6
"65","VAUL",2019-09-30 02:30:00,110.56960313839,2019-09-30,222.7,35.7991666666667,371.8,9.07
"66","VAUL",2019-09-30 02:45:00,110.368932352295,2019-09-30,222.1,35.7433333333333,371.4,9.28
"67","VAUL",2019-09-30 03:00:00,110.368932352295,2019-09-30,221.7,35.8158333333333,370.6,9.67
"68","VAUL",2019-09-30 03:15:00,110.770273924485,2019-09-30,221.3,35.6616666666667,369.5,10.22
"69","VAUL",2019-09-30 03:30:00,110.770273924485,2019-09-30,221.3,35.6425,368.6,10.38
"70","VAUL",2019-09-30 03:45:00,110.97094471058,2019-09-30,221.5,35.6475,367.7,10.4
