"","valuedatetime","datavalue"
"1",2019-10-01 20:30:00,34.1925
"2",2019-10-01 20:45:00,34.1825
"3",2019-10-01 21:00:00,34.1725
"4",2019-10-01 21:15:00,34.015
"5",2019-10-01 21:30:00,34.225
"6",2019-10-01 21:45:00,34.305
"7",2019-10-01 22:00:00,34.2775
"8",2019-10-01 22:15:00,34.2475
"9",2019-10-01 22:30:00,34.1975
"10",2019-10-01 22:45:00,34.245
"11",2019-10-01 23:00:00,34.2
"12",2019-10-01 23:15:00,34.33
"13",2019-10-01 23:30:00,34.3175
"14",2019-10-01 23:45:00,34.325
"15",2019-10-02 00:00:00,34.4075
"16",2019-10-02 00:15:00,34.3975
"17",2019-10-02 00:30:00,34.4675
"18",2019-10-02 00:45:00,34.475
"19",2019-10-02 01:00:00,34.5975
"20",2019-10-02 01:15:00,34.425
"21",2019-10-02 01:30:00,34.435
"22",2019-10-02 01:45:00,34.455
"23",2019-10-02 02:00:00,34.5175
"24",2019-10-02 02:15:00,34.4675
"25",2019-10-02 02:30:00,34.6875
"26",2019-10-02 02:45:00,34.4975
"27",2019-10-02 03:00:00,34.525
"28",2019-10-02 03:15:00,34.52
"29",2019-10-02 03:30:00,34.5575
"30",2019-10-02 03:45:00,34.6375
"31",2019-10-02 04:00:00,34.475
"32",2019-10-02 04:15:00,34.61
"33",2019-10-02 04:30:00,34.6075
"34",2019-10-02 04:45:00,34.585
"35",2019-10-02 05:00:00,34.4925
"36",2019-10-02 05:15:00,34.41
"37",2019-10-02 05:30:00,34.525
"38",2019-10-02 05:45:00,34.4925
"39",2019-10-02 06:00:00,34.4
"40",2019-10-02 06:15:00,34.42
"41",2019-10-02 06:30:00,34.44
"42",2019-10-02 06:45:00,34.6325
"43",2019-10-02 07:00:00,34.3075
"44",2019-10-02 07:15:00,34.345
"45",2019-10-02 07:30:00,34.3575
"46",2019-10-02 07:45:00,34.1575
"47",2019-10-02 08:00:00,34.195
"48",2019-10-02 08:15:00,33.955
"49",2019-10-02 08:30:00,34.1475
"50",2019-10-02 08:45:00,33.945
"51",2019-10-02 09:00:00,33.92
"52",2019-10-02 09:15:00,NA
"53",2019-10-02 09:30:00,NA
"54",2019-10-02 09:45:00,NA
"55",2019-10-02 10:00:00,NA
"56",2019-10-02 10:15:00,NA
"57",2019-10-02 10:30:00,NA
"58",2019-10-02 10:45:00,NA
"59",2019-10-02 11:00:00,NA
"60",2019-10-02 11:15:00,NA
"61",2019-10-02 11:30:00,NA
"62",2019-10-02 11:45:00,NA
"63",2019-10-02 12:00:00,NA
"64",2019-10-02 12:15:00,NA
"65",2019-10-02 12:30:00,NA
"66",2019-10-02 12:45:00,NA
"67",2019-10-02 13:00:00,NA
"68",2019-10-02 13:15:00,NA
"69",2019-10-02 13:30:00,NA
"70",2019-10-02 13:45:00,NA
"71",2019-10-02 14:00:00,NA
"72",2019-10-02 14:15:00,NA
"73",2019-10-02 14:30:00,NA
"74",2019-10-02 14:45:00,NA
"75",2019-10-02 15:00:00,NA
"76",2019-10-02 15:15:00,NA
"77",2019-10-02 15:30:00,NA
"78",2019-10-02 15:45:00,NA
"79",2019-10-02 16:00:00,NA
"80",2019-10-02 16:15:00,NA
"81",2019-10-02 16:30:00,NA
"82",2019-10-02 16:45:00,NA
"83",2019-10-02 17:00:00,NA
"84",2019-10-02 17:15:00,NA
"85",2019-10-02 17:30:00,NA
"86",2019-10-02 17:45:00,NA
"87",2019-10-02 18:00:00,NA
"88",2019-10-02 18:15:00,NA
"89",2019-10-02 18:30:00,NA
"90",2019-10-02 18:45:00,NA
"91",2019-10-02 19:00:00,NA
"92",2019-10-02 19:15:00,NA
"93",2019-10-02 19:30:00,NA
"94",2019-10-02 19:45:00,NA
"95",2019-10-02 20:00:00,NA
"96",2019-10-02 20:15:00,NA
"97",2019-10-02 20:30:00,NA
"98",2019-10-02 20:45:00,NA
"99",2019-10-02 21:00:00,NA
