"","Site","DateTime","Q","day","fDOM.RFU","nitrateuM","SpCond.uScm","Turbidity.FNU","MeanDischarge"
"1","POKE",2020-07-18 08:15:00,665.504700753256,2020-07-18 08:00:00,38.35,25.05625,94.7,21.03,665.504700753256
"2","POKE",2020-07-18 08:30:00,662.671346048126,2020-07-18 08:00:00,38.37,25.05375,94.7,19.99,662.671346048126
"3","POKE",2020-07-18 08:45:00,665.504700753256,2020-07-18 08:00:00,38.45,25.06,94.7,20.16,665.504700753256
"4","POKE",2020-07-18 09:00:00,693.838247804437,2020-07-18 08:00:00,38.57,24.920625,94.7,20.13,693.838247804437
"5","POKE",2020-07-18 09:15:00,713.671730740345,2020-07-18 08:00:00,38.73,24.76,94.7,21.42,713.671730740345
"6","POKE",2020-07-18 09:30:00,727.838504265877,2020-07-18 08:00:00,38.69,24.570625,94.7,20.31,727.838504265877
"7","POKE",2020-07-18 09:45:00,730.671858971007,2020-07-18 08:00:00,38.69,24.3475,94.7,19.3,730.671858971007
"8","POKE",2020-07-18 10:00:00,725.005149560748,2020-07-18 08:00:00,38.65,24.094375,94.7,19.69,725.005149560748
"9","POKE",2020-07-18 10:15:00,733.505213676137,2020-07-18 08:00:00,38.57,24.061875,94.7,19.05,733.505213676137
"10","POKE",2020-07-18 10:30:00,739.171923086396,2020-07-18 08:00:00,38.44,24.07875,94.7,18.11,739.171923086396
"11","POKE",2020-07-18 10:45:00,742.005277791526,2020-07-18 08:00:00,38.29,24.054375,94.7,17.98,742.005277791526
"12","POKE",2020-07-18 11:00:00,747.671987201786,2020-07-18 08:00:00,38.14,23.94,94.7,18.79,747.671987201786
"13","POKE",2020-07-18 11:15:00,767.505470137578,2020-07-18 08:00:00,37.93,23.885,94.7,17.69,767.505470137578
"14","POKE",2020-07-18 11:30:00,761.838760727318,2020-07-18 08:00:00,37.96,23.90125,94.7,19.86,761.838760727318
"15","POKE",2020-07-18 11:45:00,784.50559836824,2020-07-18 08:00:00,37.9,23.840625,94.7,25.45,784.50559836824
"16","POKE",2020-07-18 12:00:00,795.839017188759,2020-07-18 08:00:00,37.71,23.79875,94.6,21.34,795.839017188759
"17","POKE",2020-07-18 12:15:00,801.505726599018,2020-07-18 08:00:00,37.46,23.61625,94.6,20.42,801.505726599018
"18","POKE",2020-07-18 12:30:00,804.339081304148,2020-07-18 08:00:00,37.34,23.531875,94.6,20.46,804.339081304148
"19","POKE",2020-07-18 12:45:00,798.672371893888,2020-07-18 08:00:00,37.56,23.53625,94.6,27.54,798.672371893888
"20","POKE",2020-07-18 13:00:00,810.005790714407,2020-07-18 08:00:00,37.56,23.415625,94.5,27.86,810.005790714407
"21","POKE",2020-07-18 13:15:00,804.339081304148,2020-07-18 08:00:00,37.09,23.373125,94.4,37.29,804.339081304148
"22","POKE",2020-07-18 13:30:00,821.33920953481,2020-07-18 08:00:00,36.55,23.381875,94.4,34.18,821.33920953481
"23","POKE",2020-07-18 13:45:00,824.17256423994,2020-07-18 08:00:00,35.78,23.371875,94.3,26.34,824.17256423994
"24","POKE",2020-07-18 14:00:00,829.839273650199,2020-07-18 08:00:00,35.63,23.4175,94.3,30.54,829.839273650199
"25","POKE",2020-07-18 14:15:00,827.005918945069,2020-07-18 08:00:00,35.63,23.289375,94.3,30.48,827.005918945069
"26","POKE",2020-07-18 14:30:00,832.672628355329,2020-07-18 08:00:00,35.26,23.4975,94.2,34.44,832.672628355329
"27","POKE",2020-07-18 14:45:00,846.839401880978,2020-07-18 08:00:00,34.75,23.485625,94.1,36.3,846.839401880978
"28","POKE",2020-07-18 15:00:00,824.17256423994,2020-07-18 08:00:00,34.27,23.338125,94,37.76,824.17256423994
