"","Site","DateTime","MeanDischarge","poke.fdom.1","fDOM.RFU","poke.no3.1","nitrateuM"
"8811","POKE",2020-09-03 23:15:00,1058.91095434641,"2020-09-03 23:15:00",48.29,"2020-09-03 23:15:00",28.478
"8812","POKE",2020-09-03 23:30:00,1052.22752694308,"2020-09-03 23:30:00",48.1,"2020-09-03 23:30:00",28.4673333333333
"8813","POKE",2020-09-03 23:45:00,1062.70310598268,"2020-09-03 23:45:00",47.95,"2020-09-03 23:45:00",28.4333333333333
"8814","POKE",2020-09-04 00:00:00,1068.57292077522,"2020-09-04 00:00:00",47.96,"2020-09-04 00:00:00",28.4453333333333
"8815","POKE",2020-09-04 00:15:00,1067.75930816447,"2020-09-04 00:15:00",48.1,"2020-09-04 00:15:00",28.4306666666667
"8816","POKE",2020-09-04 00:30:00,1077.7844492693,"2020-09-04 00:30:00",48.19,"2020-09-04 00:30:00",28.4153333333333
"8817","POKE",2020-09-04 00:45:00,1095.48115690541,"2020-09-04 00:45:00",48.27,"2020-09-04 00:45:00",28.3473333333333
"8818","POKE",2020-09-04 01:00:00,1108.1216623598,"2020-09-04 01:00:00",48.36,"2020-09-04 01:00:00",28.354
"8819","POKE",2020-09-04 01:15:00,1120.67490455561,"2020-09-04 01:15:00",48.35,"2020-09-04 01:15:00",28.332
"8820","POKE",2020-09-04 01:30:00,1119.86129194486,"2020-09-04 01:30:00",48.25,"2020-09-04 01:30:00",28.3193333333333
"8821","POKE",2020-09-04 01:45:00,1119.04767933401,"2020-09-04 01:45:00",48.33,"2020-09-04 01:45:00",28.3013333333333
"8822","POKE",2020-09-04 02:00:00,1132.05135946453,"2020-09-04 02:00:00",48.49,"2020-09-04 02:00:00",28.27
"8823","POKE",2020-09-04 02:15:00,1142.52693850407,"2020-09-04 02:15:00",48.58,"2020-09-04 02:15:00",28.2773333333333
"8824","POKE",2020-09-04 02:30:00,1159.68594494695,"2020-09-04 02:30:00",48.48,"2020-09-04 02:30:00",28.2626666666667
"8825","POKE",2020-09-04 02:45:00,1151.73846699815,"2020-09-04 02:45:00",48.47,"2020-09-04 02:45:00",28.216
"8826","POKE",2020-09-04 03:00:00,1163.92853451794,"2020-09-04 03:00:00",48.43,"2020-09-04 03:00:00",28.1866666666667
"8827","POKE",2020-09-04 03:15:00,1171.06239985587,"2020-09-04 03:15:00",48.22,"2020-09-04 03:15:00",28.196
"8828","POKE",2020-09-04 03:30:00,1172.32645040128,"2020-09-04 03:30:00",48.28,"2020-09-04 03:30:00",28.1193333333333
"8829","POKE",2020-09-04 03:45:00,1186.14374314243,"2020-09-04 03:45:00",48.34,"2020-09-04 03:45:00",28.1333333333333
"8830","POKE",2020-09-04 04:00:00,1187.40779368789,"2020-09-04 04:00:00",48.38,"2020-09-04 04:00:00",28.0726666666667
"8831","POKE",2020-09-04 04:15:00,1192.46399586962,"2020-09-04 04:15:00",48.52,"2020-09-04 04:15:00",28.0226666666667
"8832","POKE",2020-09-04 04:30:00,1191.19994532422,"2020-09-04 04:30:00",48.59,"2020-09-04 04:30:00",27.9753333333333
"8833","POKE",2020-09-04 04:45:00,1197.88337272755,"2020-09-04 04:45:00",48.52,"2020-09-04 04:45:00",27.93
