"","Site","DateTime","MeanDischarge","poke.fdom.1","fDOM.RFU","poke.no3.1","nitrateuM"
"1551","POKE",2020-06-20 08:15:00,1228.17568748409,"2020-06-20 08:15:00",78.83,"2020-06-20 08:15:00",26.175
"1552","POKE",2020-06-20 08:30:00,1197.19938830024,"2020-06-20 08:30:00",79.38,"2020-06-20 08:30:00",25.9925
"1553","POKE",2020-06-20 08:45:00,1217.70010844455,"2020-06-20 08:45:00",79.53,"2020-06-20 08:45:00",26.019375
"1554","POKE",2020-06-20 09:00:00,1240.81619293848,"2020-06-20 09:00:00",78.72,"2020-06-20 09:00:00",25.991875
"1555","POKE",2020-06-20 09:15:00,1277.21186898038,"2020-06-20 09:15:00",78.48,"2020-06-20 09:15:00",25.6275
"1556","POKE",2020-06-20 09:30:00,1298.61346499412,"2020-06-20 09:30:00",78.87,"2020-06-20 09:30:00",25.581875
"1557","POKE",2020-06-20 09:45:00,1332.93147787987,"2020-06-20 09:45:00",78.4,"2020-06-20 09:45:00",25.2975
"1558","POKE",2020-06-20 10:00:00,1342.1430063739,"2020-06-20 10:00:00",77.41,"2020-06-20 10:00:00",25.3525
"1559","POKE",2020-06-20 10:15:00,1393.1695877678,"2020-06-20 10:15:00",76.95,"2020-06-20 10:15:00",25.24375
"1560","POKE",2020-06-20 10:30:00,1406.98688050895,"2020-06-20 10:30:00",77.15,"2020-06-20 10:30:00",25.001875
"1561","POKE",2020-06-20 10:45:00,1402.83155419648,"2020-06-20 10:45:00",76.5,"2020-06-20 10:45:00",24.941875
"1562","POKE",2020-06-20 11:00:00,1427.12442597729,"2020-06-20 11:00:00",75.88,"2020-06-20 11:00:00",24.508125
"1563","POKE",2020-06-20 11:15:00,1489.0770243454,"2020-06-20 11:15:00",75.38,"2020-06-20 11:15:00",24.6275
"1564","POKE",2020-06-20 11:30:00,1513.36989612604,"2020-06-20 11:30:00",75.02,"2020-06-20 11:30:00",24.5875
"1565","POKE",2020-06-20 11:45:00,1548.13834694645,"2020-06-20 11:45:00",75.15,"2020-06-20 11:45:00",24.464375
"1566","POKE",2020-06-20 12:00:00,1581.19230928662,"2020-06-20 12:00:00",74.86,"2020-06-20 12:00:00",24.535625
"1567","POKE",2020-06-20 12:15:00,1607.65010748227,"2020-06-20 12:15:00",74.3,"2020-06-20 12:15:00",24.420625
"1568","POKE",2020-06-20 12:30:00,1650.72921092727,"2020-06-20 12:30:00",73.84,"2020-06-20 12:30:00",24.43375
"1569","POKE",2020-06-20 12:45:00,1677.09974586422,"2020-06-20 12:45:00",73.32,"2020-06-20 12:45:00",24.459375
"1570","POKE",2020-06-20 13:00:00,1706.8119945029,"2020-06-20 13:00:00",73.09,"2020-06-20 13:00:00",24.56625
"1571","POKE",2020-06-20 13:15:00,1760.00350231136,"2020-06-20 13:15:00",73.04,"2020-06-20 13:15:00",24.349375
"1572","POKE",2020-06-20 13:30:00,1771.74313189648,"2020-06-20 13:30:00",72,"2020-06-20 13:30:00",24.511875
"1573","POKE",2020-06-20 13:45:00,1809.40285848378,"2020-06-20 13:45:00",71.29,"2020-06-20 13:45:00",24.5075
"1574","POKE",2020-06-20 14:00:00,1836.22383135546,"2020-06-20 14:00:00",70.59,"2020-06-20 14:00:00",24.403125
"1575","POKE",2020-06-20 14:15:00,1854.19645040901,"2020-06-20 14:15:00",69.9,"2020-06-20 14:15:00",24.385
"1576","POKE",2020-06-20 14:30:00,1878.0388842551,"2020-06-20 14:30:00",69.2,"2020-06-20 14:30:00",24.52125
"1577","POKE",2020-06-20 14:45:00,1928.70229097275,"2020-06-20 14:45:00",68.48,"2020-06-20 14:45:00",24.51625
"1578","POKE",2020-06-20 15:00:00,1950.46706166264,"2020-06-20 15:00:00",67.34,"2020-06-20 15:00:00",24.42
"1579","POKE",2020-06-20 15:15:00,1965.54840494931,"2020-06-20 15:15:00",66.33,"2020-06-20 15:15:00",24.535
"1580","POKE",2020-06-20 15:30:00,1977.28803453431,"2020-06-20 15:30:00",64.61,"2020-06-20 15:30:00",24.636875
"1581","POKE",2020-06-20 15:45:00,1993.63342836639,"2020-06-20 15:45:00",63.9,"2020-06-20 15:45:00",24.675625
"1582","POKE",2020-06-20 16:00:00,1999.0528052242,"2020-06-20 16:00:00",63.95,"2020-06-20 16:00:00",24.66875
"1583","POKE",2020-06-20 16:15:00,2009.52838426374,"2020-06-20 16:15:00",62.74,"2020-06-20 16:15:00",24.691875
"1584","POKE",2020-06-20 16:30:00,2006.18667056214,"2020-06-20 16:30:00",57.27,"2020-06-20 16:30:00",24.76125
"1585","POKE",2020-06-20 16:45:00,2002.39451892581,"2020-06-20 16:45:00",56.13,"2020-06-20 16:45:00",24.821875
"1586","POKE",2020-06-20 17:00:00,2003.65856947121,"2020-06-20 17:00:00",54.98,"2020-06-20 17:00:00",24.81875
"1587","POKE",2020-06-20 17:15:00,2012.05648535461,"2020-06-20 17:15:00",50.76,"2020-06-20 17:15:00",24.743125
"1588","POKE",2020-06-20 17:30:00,2013.32053590001,"2020-06-20 17:30:00",48,"2020-06-20 17:30:00",24.866875
"1589","POKE",2020-06-20 17:45:00,1997.42558000272,"2020-06-20 17:45:00",46.45,"2020-06-20 17:45:00",24.86875
"1590","POKE",2020-06-20 18:00:00,1992.00620314485,"2020-06-20 18:00:00",44.04,"2020-06-20 18:00:00",24.82625
"1591","POKE",2020-06-20 18:15:00,1985.68595041765,"2020-06-20 18:15:00",42.16,"2020-06-20 18:15:00",24.811875
"1592","POKE",2020-06-20 18:30:00,1973.94632083271,"2020-06-20 18:30:00",38.81,"2020-06-20 18:30:00",24.86875
"1593","POKE",2020-06-20 18:45:00,1982.34423671605,"2020-06-20 18:45:00",35.73,"2020-06-20 18:45:00",24.69625
"1594","POKE",2020-06-20 19:00:00,1967.71333136404,"2020-06-20 19:00:00",33.94,"2020-06-20 19:00:00",24.735625
"1595","POKE",2020-06-20 19:15:00,1955.97370177909,"2020-06-20 19:15:00",34.37,"2020-06-20 19:15:00",24.78
