"","valuedatetime","datavalue"
"1",2020-08-09 10:45:00,39.1042857142857
"2",2020-08-09 11:00:00,39.0684615384615
"3",2020-08-09 11:15:00,38.9730769230769
"4",2020-08-09 11:30:00,38.8838461538462
"5",2020-08-09 11:45:00,38.895
"6",2020-08-09 12:00:00,38.8207142857143
"7",2020-08-09 12:15:00,38.8621428571429
"8",2020-08-09 12:30:00,38.8735714285714
"9",2020-08-09 12:45:00,38.8407142857143
"10",2020-08-09 13:00:00,38.8371428571429
"11",2020-08-09 13:15:00,38.8621428571429
"12",2020-08-09 13:30:00,38.8771428571429
"13",2020-08-09 13:45:00,38.8735714285714
"14",2020-08-09 14:00:00,38.8528571428571
"15",2020-08-09 14:15:00,38.7971428571429
"16",2020-08-09 14:30:00,38.6835714285714
"17",2020-08-09 14:45:00,38.6142857142857
"18",2020-08-09 15:00:00,38.5271428571429
"19",2020-08-09 15:15:00,38.5064285714286
"20",2020-08-09 15:30:00,38.4335714285714
"21",2020-08-09 15:45:00,38.3335714285714
"22",2020-08-09 16:00:00,38.1435714285714
"23",2020-08-09 16:15:00,37.9978571428571
"24",2020-08-09 16:30:00,37.7778571428571
"25",2020-08-09 16:45:00,37.46
"26",2020-08-09 17:00:00,37.0107142857143
"27",2020-08-09 17:15:00,36.4842857142857
"28",2020-08-09 17:30:00,35.8814285714286
"29",2020-08-09 17:45:00,35.2721428571429
"30",2020-08-09 18:00:00,34.3721428571429
"31",2020-08-09 18:15:00,33.96
"32",2020-08-09 18:30:00,34.402
"33",2020-08-09 18:45:00,35.056
"34",2020-08-09 19:00:00,34.434
"35",2020-08-09 19:15:00,33.716
"36",2020-08-09 19:30:00,33.188
"37",2020-08-09 19:45:00,33.148
"38",2020-08-09 20:00:00,33.016
"39",2020-08-09 20:15:00,32.912
"40",2020-08-09 20:30:00,32.874
"41",2020-08-09 20:45:00,32.982
"42",2020-08-09 21:00:00,33.034
"43",2020-08-09 21:15:00,33.07
"44",2020-08-09 21:30:00,33.022
"45",2020-08-09 21:45:00,33.036
"46",2020-08-09 22:00:00,33.132
"47",2020-08-09 22:15:00,33.088
"48",2020-08-09 22:30:00,33.31
"49",2020-08-09 22:45:00,33.238
"50",2020-08-09 23:00:00,33.436
"51",2020-08-09 23:15:00,33.456
"52",2020-08-09 23:30:00,33.436
"53",2020-08-09 23:45:00,33.404
"54",2020-08-10 00:00:00,33.348
"55",2020-08-10 00:15:00,33.376
"56",2020-08-10 00:30:00,33.31
"57",2020-08-10 00:45:00,33.166
"58",2020-08-10 01:00:00,33.08
"59",2020-08-10 01:15:00,33.146
"60",2020-08-10 01:30:00,33.004
"61",2020-08-10 01:45:00,32.838
"62",2020-08-10 02:00:00,32.764
"63",2020-08-10 02:15:00,32.526
"64",2020-08-10 02:30:00,32.344
"65",2020-08-10 02:45:00,32.276
"66",2020-08-10 03:00:00,32.18
"67",2020-08-10 03:15:00,32.048
"68",2020-08-10 03:30:00,32.5
"69",2020-08-10 03:45:00,33.38
"70",2020-08-10 04:00:00,34.292
"71",2020-08-10 04:15:00,34.946
"72",2020-08-10 04:30:00,36.658
"73",2020-08-10 04:45:00,36.526
"74",2020-08-10 05:00:00,35.786
"75",2020-08-10 05:15:00,35.748
"76",2020-08-10 05:30:00,38.41
"77",2020-08-10 05:45:00,24.626
"78",2020-08-10 06:00:00,24.512
"79",2020-08-10 06:15:00,24.42
"80",2020-08-10 06:30:00,24.38
"81",2020-08-10 06:45:00,24.284
"82",2020-08-10 07:00:00,24.194
"83",2020-08-10 07:15:00,24.168
"84",2020-08-10 07:30:00,24.124
"85",2020-08-10 07:45:00,24.154
"86",2020-08-10 08:00:00,24.138
