"","valuedatetime","datavalue"
"1",2020-06-19 12:46:00,NA
"2",2020-06-19 12:47:00,NA
"3",2020-06-19 12:48:00,NA
"4",2020-06-19 12:49:00,NA
"5",2020-06-19 12:50:00,NA
"6",2020-06-19 12:51:00,NA
"7",2020-06-19 12:52:00,NA
"8",2020-06-19 12:53:00,NA
"9",2020-06-19 12:54:00,NA
"10",2020-06-19 12:55:00,NA
"11",2020-06-19 12:56:00,NA
"12",2020-06-19 12:57:00,NA
"13",2020-06-19 12:58:00,NA
"14",2020-06-19 12:59:00,NA
"15",2020-06-19 13:00:00,NA
"16",2020-06-19 13:01:00,NA
"17",2020-06-19 13:02:00,NA
"18",2020-06-19 13:03:00,NA
"19",2020-06-19 13:04:00,NA
"20",2020-06-19 13:05:00,NA
"21",2020-06-19 13:06:00,NA
"22",2020-06-19 13:07:00,NA
"23",2020-06-19 13:08:00,NA
"24",2020-06-19 13:09:00,NA
"25",2020-06-19 13:10:00,NA
"26",2020-06-19 13:11:00,NA
"27",2020-06-19 13:12:00,NA
"28",2020-06-19 13:13:00,NA
"29",2020-06-19 13:14:00,NA
"30",2020-06-19 13:15:00,NA
"31",2020-06-19 13:16:00,NA
"32",2020-06-19 13:17:00,NA
"33",2020-06-19 13:18:00,NA
"34",2020-06-19 13:19:00,NA
"35",2020-06-19 13:20:00,NA
"36",2020-06-19 13:21:00,NA
"37",2020-06-19 13:22:00,NA
"38",2020-06-19 13:23:00,NA
"39",2020-06-19 13:24:00,NA
"40",2020-06-19 13:25:00,NA
"41",2020-06-19 13:26:00,NA
"42",2020-06-19 13:27:00,NA
"43",2020-06-19 13:28:00,NA
"44",2020-06-19 13:29:00,NA
"45",2020-06-19 13:30:00,NA
"46",2020-06-19 13:31:00,NA
"47",2020-06-19 13:32:00,NA
"48",2020-06-19 13:33:00,NA
"49",2020-06-19 13:34:00,NA
"50",2020-06-19 13:35:00,NA
"51",2020-06-19 13:36:00,NA
"52",2020-06-19 13:37:00,NA
"53",2020-06-19 13:38:00,NA
"54",2020-06-19 13:39:00,NA
"55",2020-06-19 13:40:00,NA
"56",2020-06-19 13:41:00,NA
"57",2020-06-19 13:42:00,NA
"58",2020-06-19 13:43:00,NA
"59",2020-06-19 13:44:00,NA
"60",2020-06-19 13:45:00,NA
"61",2020-06-19 13:46:00,NA
"62",2020-06-19 13:47:00,NA
"63",2020-06-19 13:48:00,NA
"64",2020-06-19 13:49:00,NA
"65",2020-06-19 13:50:00,NA
"66",2020-06-19 13:51:00,NA
"67",2020-06-19 13:52:00,NA
"68",2020-06-19 13:53:00,NA
"69",2020-06-19 13:54:00,NA
"70",2020-06-19 13:55:00,NA
"71",2020-06-19 13:56:00,NA
"72",2020-06-19 13:57:00,NA
"73",2020-06-19 13:58:00,NA
"74",2020-06-19 13:59:00,NA
"75",2020-06-19 14:00:00,NA
"76",2020-06-19 14:01:00,NA
"77",2020-06-19 14:02:00,NA
"78",2020-06-19 14:03:00,NA
"79",2020-06-19 14:04:00,NA
"80",2020-06-19 14:05:00,NA
"81",2020-06-19 14:06:00,NA
"82",2020-06-19 14:07:00,NA
"83",2020-06-19 14:08:00,NA
"84",2020-06-19 14:09:00,NA
"85",2020-06-19 14:10:00,NA
"86",2020-06-19 14:11:00,NA
"87",2020-06-19 14:12:00,NA
"88",2020-06-19 14:13:00,NA
"89",2020-06-19 14:14:00,NA
"90",2020-06-19 14:15:00,NA
"91",2020-06-19 14:16:00,NA
"92",2020-06-19 14:17:00,NA
"93",2020-06-19 14:18:00,NA
"94",2020-06-19 14:19:00,NA
"95",2020-06-19 14:20:00,NA
"96",2020-06-19 14:21:00,NA
"97",2020-06-19 14:22:00,NA
"98",2020-06-19 14:23:00,NA
"99",2020-06-19 14:24:00,NA
"100",2020-06-19 14:25:00,NA
"101",2020-06-19 14:26:00,NA
"102",2020-06-19 14:27:00,NA
"103",2020-06-19 14:28:00,NA
"104",2020-06-19 14:29:00,NA
"105",2020-06-19 14:30:00,NA
"106",2020-06-19 14:31:00,NA
"107",2020-06-19 14:32:00,NA
"108",2020-06-19 14:33:00,NA
"109",2020-06-19 14:34:00,NA
"110",2020-06-19 14:35:00,NA
"111",2020-06-19 14:36:00,NA
"112",2020-06-19 14:37:00,NA
"113",2020-06-19 14:38:00,NA
"114",2020-06-19 14:39:00,NA
"115",2020-06-19 14:40:00,NA
"116",2020-06-19 14:41:00,NA
"117",2020-06-19 14:42:00,NA
"118",2020-06-19 14:43:00,NA
"119",2020-06-19 14:44:00,NA
"120",2020-06-19 14:45:00,NA
"121",2020-06-19 14:46:00,NA
"122",2020-06-19 14:47:00,NA
"123",2020-06-19 14:48:00,NA
"124",2020-06-19 14:49:00,NA
"125",2020-06-19 14:50:00,NA
"126",2020-06-19 14:51:00,NA
"127",2020-06-19 14:52:00,NA
"128",2020-06-19 14:53:00,NA
"129",2020-06-19 14:54:00,NA
"130",2020-06-19 14:55:00,NA
"131",2020-06-19 14:56:00,NA
"132",2020-06-19 14:57:00,NA
"133",2020-06-19 14:58:00,NA
"134",2020-06-19 14:59:00,NA
"135",2020-06-19 15:00:00,NA
"136",2020-06-19 15:01:00,NA
"137",2020-06-19 15:02:00,NA
"138",2020-06-19 15:03:00,NA
"139",2020-06-19 15:04:00,NA
"140",2020-06-19 15:05:00,NA
"141",2020-06-19 15:06:00,NA
"142",2020-06-19 15:07:00,NA
"143",2020-06-19 15:08:00,NA
"144",2020-06-19 15:09:00,NA
"145",2020-06-19 15:10:00,NA
"146",2020-06-19 15:11:00,NA
"147",2020-06-19 15:12:00,NA
"148",2020-06-19 15:13:00,NA
"149",2020-06-19 15:14:00,NA
"150",2020-06-19 15:15:00,NA
"151",2020-06-19 15:16:00,NA
"152",2020-06-19 15:17:00,NA
"153",2020-06-19 15:18:00,NA
"154",2020-06-19 15:19:00,NA
"155",2020-06-19 15:20:00,NA
"156",2020-06-19 15:21:00,NA
"157",2020-06-19 15:22:00,NA
"158",2020-06-19 15:23:00,NA
"159",2020-06-19 15:24:00,NA
"160",2020-06-19 15:25:00,NA
"161",2020-06-19 15:26:00,NA
"162",2020-06-19 15:27:00,NA
"163",2020-06-19 15:28:00,NA
"164",2020-06-19 15:29:00,NA
"165",2020-06-19 15:30:00,NA
"166",2020-06-19 15:31:00,NA
"167",2020-06-19 15:32:00,NA
"168",2020-06-19 15:33:00,NA
"169",2020-06-19 15:34:00,NA
"170",2020-06-19 15:35:00,NA
"171",2020-06-19 15:36:00,NA
"172",2020-06-19 15:37:00,NA
"173",2020-06-19 15:38:00,NA
"174",2020-06-19 15:39:00,NA
