"","valuedatetime","datavalue"
"1",2020-07-16 22:15:00,94.8
"2",2020-07-16 22:30:00,94.8
"3",2020-07-16 22:45:00,94.7
"4",2020-07-16 23:00:00,94.7
"5",2020-07-16 23:15:00,94.7
"6",2020-07-16 23:30:00,94.6
"7",2020-07-16 23:45:00,94.6
"8",2020-07-17 00:00:00,94.6
"9",2020-07-17 00:15:00,94.6
"10",2020-07-17 00:30:00,94.6
"11",2020-07-17 00:45:00,94.7
"12",2020-07-17 01:00:00,94.7
"13",2020-07-17 01:15:00,94.8
"14",2020-07-17 01:30:00,94.9
"15",2020-07-17 01:45:00,95
"16",2020-07-17 02:00:00,95
"17",2020-07-17 02:15:00,95
"18",2020-07-17 02:30:00,95.1
"19",2020-07-17 02:45:00,95.1
"20",2020-07-17 03:00:00,95.1
"21",2020-07-17 03:15:00,95.2
"22",2020-07-17 03:30:00,95.2
"23",2020-07-17 03:45:00,95.2
"24",2020-07-17 04:00:00,95.2
"25",2020-07-17 04:15:00,95.2
"26",2020-07-17 04:30:00,95.2
"27",2020-07-17 04:45:00,95.2
"28",2020-07-17 05:00:00,95.2
"29",2020-07-17 05:15:00,95.2
"30",2020-07-17 05:30:00,95.1
"31",2020-07-17 05:45:00,95.1
"32",2020-07-17 06:00:00,95.2
"33",2020-07-17 06:15:00,95.3
"34",2020-07-17 06:30:00,95.5
"35",2020-07-17 06:45:00,95.6
"36",2020-07-17 07:00:00,95.5
"37",2020-07-17 07:15:00,95.5
"38",2020-07-17 07:30:00,95.5
"39",2020-07-17 07:45:00,95.5
"40",2020-07-17 08:00:00,95.5
"41",2020-07-17 08:15:00,95.5
"42",2020-07-17 08:30:00,95.5
"43",2020-07-17 08:45:00,95.4
"44",2020-07-17 09:00:00,95.3
"45",2020-07-17 09:15:00,95.2
"46",2020-07-17 09:30:00,95.3
"47",2020-07-17 09:45:00,95.4
"48",2020-07-17 10:00:00,95.4
"49",2020-07-17 10:15:00,95.4
"50",2020-07-17 10:30:00,95.4
"51",2020-07-17 10:45:00,95.4
"52",2020-07-17 11:00:00,95.3
"53",2020-07-17 11:15:00,95.3
"54",2020-07-17 11:30:00,95.3
"55",2020-07-17 11:45:00,95.3
"56",2020-07-17 12:00:00,95.2
"57",2020-07-17 12:15:00,95.2
"58",2020-07-17 12:30:00,95.1
"59",2020-07-17 12:45:00,95
"60",2020-07-17 13:00:00,95
"61",2020-07-17 13:15:00,95
"62",2020-07-17 13:30:00,94.9
"63",2020-07-17 13:45:00,94.9
"64",2020-07-17 14:00:00,94.8
"65",2020-07-17 14:15:00,94.8
"66",2020-07-17 14:30:00,94.7
"67",2020-07-17 14:45:00,94.6
"68",2020-07-17 15:00:00,94.6
"69",2020-07-17 15:15:00,94.6
"70",2020-07-17 15:30:00,94.6
"71",2020-07-17 15:45:00,94.5
"72",2020-07-17 16:00:00,94.5
"73",2020-07-17 16:15:00,94.4
"74",2020-07-17 16:30:00,94.4
"75",2020-07-17 16:45:00,94.4
"76",2020-07-17 17:00:00,94.3
"77",2020-07-17 17:15:00,94.2
"78",2020-07-17 17:30:00,94.2
"79",2020-07-17 17:45:00,94.2
"80",2020-07-17 18:00:00,94.1
"81",2020-07-17 18:15:00,94.1
"82",2020-07-17 18:30:00,94.1
"83",2020-07-17 18:45:00,94
"84",2020-07-17 19:00:00,93.9
"85",2020-07-17 19:15:00,93.8
"86",2020-07-17 19:30:00,93.8
"87",2020-07-17 19:45:00,93.7
"88",2020-07-17 20:00:00,93.6
"89",2020-07-17 20:15:00,93.6
"90",2020-07-17 20:30:00,93.6
"91",2020-07-17 20:45:00,93.7
"92",2020-07-17 21:00:00,93.6
"93",2020-07-17 21:15:00,93.6
"94",2020-07-17 21:30:00,93.6
"95",2020-07-17 21:45:00,93.5
"96",2020-07-17 22:00:00,93.5
"97",2020-07-17 22:15:00,93.5
"98",2020-07-17 22:30:00,93.5
"99",2020-07-17 22:45:00,93.5
