"","valuedatetime","datavalue"
"1",2020-06-22 23:15:00,74.38
"2",2020-06-22 23:30:00,74.18
"3",2020-06-22 23:45:00,74.08
"4",2020-06-23 00:00:00,74.16
"5",2020-06-23 00:15:00,74.5
"6",2020-06-23 00:30:00,74.59
"7",2020-06-23 00:45:00,74.3
"8",2020-06-23 01:00:00,74.35
"9",2020-06-23 01:15:00,74.41
"10",2020-06-23 01:30:00,74.22
"11",2020-06-23 01:45:00,73.8
"12",2020-06-23 02:00:00,73.69
"13",2020-06-23 02:15:00,73.58
"14",2020-06-23 02:30:00,73.39
"15",2020-06-23 02:45:00,72.73
"16",2020-06-23 03:00:00,72.1
"17",2020-06-23 03:15:00,72.24
"18",2020-06-23 03:30:00,72.32
"19",2020-06-23 03:45:00,72.07
"20",2020-06-23 04:00:00,72.04
"21",2020-06-23 04:15:00,71.7
"22",2020-06-23 04:30:00,71.43
"23",2020-06-23 04:45:00,71.26
"24",2020-06-23 05:00:00,70.76
"25",2020-06-23 05:15:00,70.42
"26",2020-06-23 05:30:00,70.71
"27",2020-06-23 05:45:00,70.72
"28",2020-06-23 06:00:00,70.61
"29",2020-06-23 06:15:00,70.66
"30",2020-06-23 06:30:00,70.86
"31",2020-06-23 06:45:00,70.85
"32",2020-06-23 07:00:00,70.69
"33",2020-06-23 07:15:00,70.72
"34",2020-06-23 07:30:00,70.82
"35",2020-06-23 07:45:00,70.66
"36",2020-06-23 08:00:00,70.44
"37",2020-06-23 08:15:00,70.21
"38",2020-06-23 08:30:00,69.94
"39",2020-06-23 08:45:00,69.25
"40",2020-06-23 09:00:00,68.95
"41",2020-06-23 09:15:00,69.17
"42",2020-06-23 09:30:00,68.84
"43",2020-06-23 09:45:00,68.2
"44",2020-06-23 10:00:00,68.28
"45",2020-06-23 10:15:00,68.81
"46",2020-06-23 10:30:00,68.55
"47",2020-06-23 10:45:00,67.97
"48",2020-06-23 11:00:00,67.49
"49",2020-06-23 11:15:00,67.19
"50",2020-06-23 11:30:00,67.23
"51",2020-06-23 11:45:00,66.83
"52",2020-06-23 12:00:00,65.85
"53",2020-06-23 12:15:00,65.33
"54",2020-06-23 12:30:00,65.36
"55",2020-06-23 12:45:00,65.55
"56",2020-06-23 13:00:00,65.86
"57",2020-06-23 13:15:00,65.8
"58",2020-06-23 13:30:00,65.31
"59",2020-06-23 13:45:00,64.82
"60",2020-06-23 14:00:00,64.36
"61",2020-06-23 14:15:00,63.8
"62",2020-06-23 14:30:00,63.3
"63",2020-06-23 14:45:00,63.28
"64",2020-06-23 15:00:00,63.39
"65",2020-06-23 15:15:00,63.49
"66",2020-06-23 15:30:00,63.49
"67",2020-06-23 15:45:00,63.81
"68",2020-06-23 16:00:00,63.9
"69",2020-06-23 16:15:00,64.05
"70",2020-06-23 16:30:00,64.23
"71",2020-06-23 16:45:00,64.13
"72",2020-06-23 17:00:00,64.24
"73",2020-06-23 17:15:00,64.32
"74",2020-06-23 17:30:00,64.01
"75",2020-06-23 17:45:00,64.75
"76",2020-06-23 18:00:00,65.34
"77",2020-06-23 18:15:00,65.52
"78",2020-06-23 18:30:00,65.61
"79",2020-06-23 18:45:00,65.94
"80",2020-06-23 19:00:00,66.19
"81",2020-06-23 19:15:00,66.17
"82",2020-06-23 19:30:00,65.98
"83",2020-06-23 19:45:00,66.08
"84",2020-06-23 20:00:00,66.26
"85",2020-06-23 20:15:00,66.17
"86",2020-06-23 20:30:00,66.4
"87",2020-06-23 20:45:00,66.68
"88",2020-06-23 21:00:00,66.81
"89",2020-06-23 21:15:00,67.03
"90",2020-06-23 21:30:00,67.27
"91",2020-06-23 21:45:00,67.1
"92",2020-06-23 22:00:00,67.21
"93",2020-06-23 22:15:00,67.31
"94",2020-06-23 22:30:00,66.84
"95",2020-06-23 22:45:00,67
