"","valuedatetime","datavalue"
"1",2020-06-09 11:15:00,102.9
"2",2020-06-09 11:30:00,102.9
"3",2020-06-09 11:45:00,102.8
"4",2020-06-09 12:00:00,102.8
"5",2020-06-09 12:15:00,102.8
"6",2020-06-09 12:30:00,102.8
"7",2020-06-09 12:45:00,102.8
"8",2020-06-09 13:00:00,102.7
"9",2020-06-09 13:15:00,102.7
"10",2020-06-09 13:30:00,102.7
"11",2020-06-09 13:45:00,102.7
"12",2020-06-09 14:00:00,102.7
"13",2020-06-09 14:15:00,102.7
"14",2020-06-09 14:30:00,102.7
"15",2020-06-09 14:45:00,101.7
"16",2020-06-09 15:00:00,100.4
"17",2020-06-09 15:15:00,98.9
"18",2020-06-09 15:30:00,98.7
"19",2020-06-09 15:45:00,98.9
"20",2020-06-09 16:00:00,98.5
"21",2020-06-09 16:15:00,98.1
"22",2020-06-09 16:30:00,98
"23",2020-06-09 16:45:00,98
"24",2020-06-09 17:00:00,97.3
"25",2020-06-09 17:15:00,97.1
"26",2020-06-09 17:30:00,97.2
"27",2020-06-09 17:45:00,97.3
"28",2020-06-09 18:00:00,97.3
"29",2020-06-09 18:15:00,97.3
"30",2020-06-09 18:30:00,97.4
"31",2020-06-09 18:45:00,97.4
"32",2020-06-09 19:00:00,97.5
"33",2020-06-09 19:15:00,97.6
"34",2020-06-09 19:30:00,97.6
"35",2020-06-09 19:45:00,97.6
"36",2020-06-09 20:00:00,97.6
"37",2020-06-09 20:15:00,97.7
"38",2020-06-09 20:30:00,97.7
"39",2020-06-09 20:45:00,97.7
"40",2020-06-09 21:00:00,97.6
"41",2020-06-09 21:15:00,97.7
"42",2020-06-09 21:30:00,97.6
"43",2020-06-09 21:45:00,97.6
"44",2020-06-09 22:00:00,97.6
"45",2020-06-09 22:15:00,97.4
"46",2020-06-09 22:30:00,97.4
"47",2020-06-09 22:45:00,97.5
"48",2020-06-09 23:00:00,97.5
"49",2020-06-09 23:15:00,97.6
"50",2020-06-09 23:30:00,97.6
"51",2020-06-09 23:45:00,97.6
"52",2020-06-10 00:00:00,97.6
"53",2020-06-10 00:15:00,97.7
"54",2020-06-10 00:30:00,97.7
"55",2020-06-10 00:45:00,97.7
"56",2020-06-10 01:00:00,97.8
"57",2020-06-10 01:15:00,97.8
"58",2020-06-10 01:30:00,97.9
"59",2020-06-10 01:45:00,97.9
"60",2020-06-10 02:00:00,97.9
"61",2020-06-10 02:15:00,97.9
"62",2020-06-10 02:30:00,97.9
"63",2020-06-10 02:45:00,97.9
"64",2020-06-10 03:00:00,98
"65",2020-06-10 03:15:00,97.9
"66",2020-06-10 03:30:00,97.9
"67",2020-06-10 03:45:00,98
"68",2020-06-10 04:00:00,98
"69",2020-06-10 04:15:00,98
"70",2020-06-10 04:30:00,98
"71",2020-06-10 04:45:00,98
"72",2020-06-10 05:00:00,98
"73",2020-06-10 05:15:00,98
"74",2020-06-10 05:30:00,98
"75",2020-06-10 05:45:00,98.1
"76",2020-06-10 06:00:00,98.1
"77",2020-06-10 06:15:00,98.1
"78",2020-06-10 06:30:00,98.1
"79",2020-06-10 06:45:00,98.1
"80",2020-06-10 07:00:00,98.2
"81",2020-06-10 07:15:00,98.2
"82",2020-06-10 07:30:00,98.2
"83",2020-06-10 07:45:00,98.3
"84",2020-06-10 08:00:00,98.3
"85",2020-06-10 08:15:00,98.3
"86",2020-06-10 08:30:00,98.3
"87",2020-06-10 08:45:00,98.4
"88",2020-06-10 09:00:00,98.4
"89",2020-06-10 09:15:00,98.4
"90",2020-06-10 09:30:00,98.4
"91",2020-06-10 09:45:00,98.4
"92",2020-06-10 10:00:00,98.4
"93",2020-06-10 10:15:00,98.4
"94",2020-06-10 10:30:00,98.4
"95",2020-06-10 10:45:00,98.5
