"","Site","DateTime","MeanDischarge","fDOM.RFU","nitrateuM","SpCond.uScm","Turbidity.FNU"
"1","POKE",2020-06-15 01:15:00,498.649063067511,29.45,31.18,99,15.69
"2","POKE",2020-06-15 01:30:00,501.540338834457,29.52,31.1673333333333,99,15.51
"3","POKE",2020-06-15 01:45:00,501.089900899737,29.6,31.1726666666667,99.1,13.61
"4","POKE",2020-06-15 02:00:00,515.720806251629,29.74,31.1506666666667,99.1,13.79
"5","POKE",2020-06-15 02:15:00,510.301429393934,29.93,31.1406666666667,99.1,14.7
"6","POKE",2020-06-15 02:30:00,514.456755706167,30.01,31.1313333333333,99.1,14.84
"7","POKE",2020-06-15 02:45:00,524.481896811107,30,31.1166666666667,99.2,14.75
"8","POKE",2020-06-15 03:00:00,523.668284200365,29.92,31.0786666666667,99.2,14.12
"9","POKE",2020-06-15 03:15:00,535.771088461392,29.99,31.0653333333333,99.2,14.15
"10","POKE",2020-06-15 03:30:00,529.901273668977,30.14,31.0386666666667,99.3,14.85
"11","POKE",2020-06-15 03:45:00,542.004077930003,30.15,31.044,99.3,14.71
"12","POKE",2020-06-15 04:00:00,536.947875748214,30.12,31.0046666666667,99.3,14.51
"13","POKE",2020-06-15 04:15:00,534.419774657406,30.33,30.9473333333333,99.4,14.56
"14","POKE",2020-06-15 04:30:00,531.078060955799,30.42,30.8726666666667,99.4,14.17
"15","POKE",2020-06-15 04:45:00,534.419774657406,30.19,30.8206666666667,99.4,15.12
"16","POKE",2020-06-15 05:00:00,535.233387268207,30.01,30.8226666666667,99.4,15.66
"17","POKE",2020-06-15 05:15:00,544.80809043831,30.01,30.8026666666667,99.4,15.58
"18","POKE",2020-06-15 05:30:00,532.705286177341,30.04,30.7953333333333,99.4,15.23
"19","POKE",2020-06-15 05:45:00,537.674225100433,30,30.7486666666667,99.5,17.54
"20","POKE",2020-06-15 06:00:00,548.149804139917,30.03,30.726,99.5,17.63
"21","POKE",2020-06-15 06:15:00,555.283669477969,29.88,30.6733333333333,99.5,15.56
"22","POKE",2020-06-15 06:30:00,551.128343165561,29.84,30.6246666666667,99.5,16.34
"23","POKE",2020-06-15 06:45:00,555.283669477969,29.59,30.6066666666667,99.5,14.82
"24","POKE",2020-06-15 07:00:00,563.23114742653,29.24,30.5893333333333,99.5,14.45
"25","POKE",2020-06-15 07:15:00,563.23114742653,29.29,30.5413333333333,99.5,16.64
"26","POKE",2020-06-15 07:30:00,573.706726466131,29.35,30.5166666666667,99.5,16.94
"27","POKE",2020-06-15 07:45:00,577.498878102459,29.28,30.496,99.5,15.59
"28","POKE",2020-06-15 08:00:00,568.737787543098,29.41,30.4626666666667,99.5,14.37
"29","POKE",2020-06-15 08:15:00,580.390153869463,29.58,30.4613333333333,99.5,13.07
"30","POKE",2020-06-15 08:30:00,587.524019207398,29.74,30.4253333333333,99.5,13.87
"31","POKE",2020-06-15 08:45:00,602.154924559291,29.71,30.382,99.5,14.2
"32","POKE",2020-06-15 09:00:00,601.341311948549,29.66,30.3446666666667,99.5,14.09
"33","POKE",2020-06-15 09:15:00,610.102402508026,29.6,30.3266666666667,99.6,13.85
"34","POKE",2020-06-15 09:30:00,597.999598246941,29.54,30.2533333333333,99.6,14.1
"35","POKE",2020-06-15 09:45:00,602.60536249401,29.32,30.2193333333333,99.6,14.58
"36","POKE",2020-06-15 10:00:00,613.894554144354,29.08,30.174,99.6,15.44
"37","POKE",2020-06-15 10:15:00,620.577981547569,28.83,30.1406666666667,99.6,14.92
"38","POKE",2020-06-15 10:30:00,605.947076195618,28.67,30.076,99.7,14.68
"39","POKE",2020-06-15 10:45:00,610.102402508026,28.53,30.026,99.7,14.7
"40","POKE",2020-06-15 11:00:00,600.077261403087,28.3,29.934,99.8,14.59
"41","POKE",2020-06-15 11:15:00,610.102402508026,28,29.898,99.8,14.76
"42","POKE",2020-06-15 11:30:00,609.288789897342,27.73,29.9286666666667,99.8,15.38
"43","POKE",2020-06-15 11:45:00,615.158604689816,27.48,29.9093333333333,99.9,15.56
"44","POKE",2020-06-15 12:00:00,631.053560587112,27.32,29.8893333333333,99.9,13.93
"45","POKE",2020-06-15 12:15:00,631.053560587112,27.27,29.8626666666667,99.9,14.15
"46","POKE",2020-06-15 12:30:00,615.158604689816,27.22,29.904,99.9,14.81
"47","POKE",2020-06-15 12:45:00,623.556520573155,27.09,29.9133333333333,100,14.7
"48","POKE",2020-06-15 13:00:00,620.214806871547,26.99,29.9086666666667,100,17.56
"49","POKE",2020-06-15 13:15:00,622.292470027693,26.86,29.8553333333333,100,17.24
"50","POKE",2020-06-15 13:30:00,621.028419482289,26.81,29.894,100,15.04
"51","POKE",2020-06-15 13:45:00,636.47293744504,27.02,29.8866666666667,100,14.37
"52","POKE",2020-06-15 14:00:00,631.053560587112,27.22,29.876,100,14.35
"53","POKE",2020-06-15 14:15:00,619.764368936885,27.3,29.9206666666667,100,13.85
"54","POKE",2020-06-15 14:30:00,615.158604689816,27.32,29.9333333333333,99.9,16.56
"55","POKE",2020-06-15 14:45:00,624.370133183897,27.16,29.9266666666667,99.9,16.32
"56","POKE",2020-06-15 15:00:00,625.6341837293,27.2,29.9666666666667,99.9,14.3
"57","POKE",2020-06-15 15:15:00,624.370133183897,27.43,29.98,99.8,14.4
"58","POKE",2020-06-15 15:30:00,613.08094153367,27.48,29.952,99.8,12.55
"59","POKE",2020-06-15 15:45:00,629.789510041708,27.37,29.922,99.9,13.46
"60","POKE",2020-06-15 16:00:00,611.816890988208,27.35,29.8733333333333,99.9,14.78
"61","POKE",2020-06-15 16:15:00,616.422655235277,27.37,29.8973333333333,99.9,14.08
"62","POKE",2020-06-15 16:30:00,609.739227831946,27.39,29.9193333333333,99.9,14.58
"63","POKE",2020-06-15 16:45:00,601.791749883268,27.4,29.9146666666667,99.9,14.46
"64","POKE",2020-06-15 17:00:00,601.791749883268,27.36,29.9226666666667,99.8,14.29
"65","POKE",2020-06-15 17:15:00,585.896793985856,27.22,29.9386666666667,99.8,16.82
"66","POKE",2020-06-15 17:30:00,521.140183109499,27.12,29.9193333333333,99.8,18.86
"67","POKE",2020-06-15 17:45:00,496.484136652667,27.01,29.986,99.7,18.61
"68","POKE",2020-06-15 18:00:00,495.220086107263,26.97,29.9446666666667,99.6,21.63
"69","POKE",2020-06-15 18:15:00,486.008557613182,26.97,29.9753333333333,99.6,20.24
"70","POKE",2020-06-15 18:30:00,474.719365962781,27.15,29.992,99.5,16.4
"71","POKE",2020-06-15 18:45:00,473.455315417319,27.44,29.9686666666667,99.5,18.04
"72","POKE",2020-06-15 19:00:00,477.610641729843,27.7,29.998,99.4,18.63
"73","POKE",2020-06-15 19:15:00,460.902073221689,27.96,29.9713333333333,99.4,17.66
"74","POKE",2020-06-15 19:30:00,531.078060955799,27.81,30.0453333333333,99.3,24.78
"75","POKE",2020-06-15 19:45:00,522.316970396379,27.52,30.016,99.3,25.15
"76","POKE",2020-06-15 20:00:00,526.922734643274,27.46,30.0346666666667,99.3,19.48
"77","POKE",2020-06-15 20:15:00,522.316970396379,27.82,30.0613333333333,99.3,29.92
"78","POKE",2020-06-15 20:30:00,515.633542993048,27.76,30.06,99.3,32.73
"79","POKE",2020-06-15 20:45:00,509.763728200574,27.49,30.0873333333333,99.3,23.29
"80","POKE",2020-06-15 21:00:00,505.608401888108,27.36,30.0993333333333,99.3,23.1
"81","POKE",2020-06-15 21:15:00,509.763728200574,27.99,30.068,99.3,22.33
"82","POKE",2020-06-15 21:30:00,514.369492447644,28.55,30.0773333333333,99.3,22.22
"83","POKE",2020-06-15 21:45:00,517.711206149368,28.53,30.0533333333333,99.2,29.68
"84","POKE",2020-06-15 22:00:00,512.29182929144,28.06,30.0353333333333,99.2,28.85
"85","POKE",2020-06-15 22:15:00,499.738587095751,27.61,29.99,99.2,27.82
"86","POKE",2020-06-15 22:30:00,503.080300797243,27.94,29.9986666666667,99.2,26.51
"87","POKE",2020-06-15 22:45:00,503.080300797243,28.31,29.9893333333333,99.2,25.83
"88","POKE",2020-06-15 23:00:00,493.05515969242,28.21,29.95,99.2,35.77
"89","POKE",2020-06-15 23:15:00,498.474536550289,28.34,29.9313333333333,99.2,32.09
"90","POKE",2020-06-15 23:30:00,497.210486004886,28.46,29.93,99.2,22.95
"91","POKE",2020-06-15 23:45:00,490.527058601554,28.61,29.9273333333333,99.2,21.69
"92","POKE",2020-06-16 00:00:00,493.868772303278,28.83,29.874,99.2,24.29
"93","POKE",2020-06-16 00:15:00,487.99895751063,28.82,29.888,99.2,23.54
"94","POKE",2020-06-16 00:30:00,495.946435459424,28.75,29.8686666666667,99.2,23.84
"95","POKE",2020-06-16 00:45:00,489.263008056092,28.83,29.852,99.3,22.67
"96","POKE",2020-06-16 01:00:00,490.07662066695,29.19,29.8146666666667,99.3,21.21
"97","POKE",2020-06-16 01:15:00,485.470856419764,29.56,29.786,99.3,24.24
"98","POKE",2020-06-16 01:30:00,486.284469030623,29.43,-5.74733333333333,99.3,24.64
"99","POKE",2020-06-16 01:30:00,486.284469030623,29.43,-5.74733333333333,99.3,24.64
"100","POKE",2020-06-16 01:45:00,480.865092172753,29.27,-6.042,99.3,23.55
"101","POKE",2020-06-16 02:00:00,473.368052158796,29.22,-6.08266666666667,99.3,34.97
"102","POKE",2020-06-16 02:15:00,482.129142718157,29.17,-5.95933333333333,99.3,35.53
"103","POKE",2020-06-16 02:30:00,460.814809962991,29.45,-6.008,99.4,26.97
"104","POKE",2020-06-16 02:45:00,472.104001613334,29.56,-6.30466666666667,99.4,21.02
"105","POKE",2020-06-16 03:00:00,477.523378471145,29.8,NA,99.4,20.02
"106","POKE",2020-06-16 03:15:00,464.156523664598,30.25,-5.402,99.4,22.58
"107","POKE",2020-06-16 03:30:00,468.311849977006,30.21,29.288,99.5,32.17
"108","POKE",2020-06-16 03:45:00,480.865092172753,30.03,29.2346666666667,99.5,30.28
"109","POKE",2020-06-16 04:00:00,472.917614223959,29.96,29.2373333333333,99.5,23.93
"110","POKE",2020-06-16 04:15:00,477.072940536425,30.21,29.2126666666667,99.5,18.32
"111","POKE",2020-06-16 04:30:00,470.83995106793,30.34,29.188,99.6,16.86
"112","POKE",2020-06-16 04:45:00,480.865092172753,30.47,29.146,99.6,18.42
"113","POKE",2020-06-16 05:00:00,470.83995106793,30.85,29.1206666666667,99.6,17.84
"114","POKE",2020-06-16 05:15:00,465.420574210002,30.83,29.1133333333333,99.6,19.55
"115","POKE",2020-06-16 05:30:00,464.156523664598,30.59,29.0506666666667,99.6,18.78
"116","POKE",2020-06-16 05:45:00,478.787429016549,30.64,29.0413333333333,99.6,17.22
"117","POKE",2020-06-16 06:00:00,470.83995106793,30.95,29.0206666666667,99.6,26.74
"118","POKE",2020-06-16 06:15:00,475.445715314825,30.99,28.9806666666667,99.6,26.15
"119","POKE",2020-06-16 06:30:00,465.420574210002,30.92,28.956,99.6,21.97
"120","POKE",2020-06-16 06:45:00,475.896153249661,30.7,28.9366666666667,99.6,20.82
