"","Site","DateTime","Q","day","fDOM.RFU","nitrateuM","SpCond.uScm","Turbidity.FNU","MeanDischarge"
"1","POKE",2020-06-29 10:15:00,691.004893099307,2020-06-29 08:00:00,36.91,29.876,87.6,31.16,691.004893099307
"2","POKE",2020-06-29 10:30:00,693.838247804437,2020-06-29 08:00:00,36.68,29.85,87.5,24.18,693.838247804437
"3","POKE",2020-06-29 10:45:00,685.338183689048,2020-06-29 08:00:00,36.87,29.9073333333333,87.5,20.53,685.338183689048
"4","POKE",2020-06-29 11:00:00,676.838119573775,2020-06-29 08:00:00,36.92,29.8833333333333,87.5,20.5,676.838119573775
"5","POKE",2020-06-29 11:15:00,682.504828983918,2020-06-29 08:00:00,37.04,29.8733333333333,87.5,30.84,682.504828983918
"6","POKE",2020-06-29 11:30:00,682.504828983918,2020-06-29 08:00:00,36.74,29.8846666666667,87.5,29.1,682.504828983918
"7","POKE",2020-06-29 11:45:00,682.504828983918,2020-06-29 08:00:00,36.77,29.8786666666667,87.5,25.38,682.504828983918
"8","POKE",2020-06-29 12:00:00,685.338183689048,2020-06-29 08:00:00,37,29.82,87.5,25.18,685.338183689048
"9","POKE",2020-06-29 12:15:00,679.671474278904,2020-06-29 08:00:00,37.03,29.9006666666667,87.5,25.55,679.671474278904
"10","POKE",2020-06-29 12:30:00,691.004893099307,2020-06-29 08:00:00,36.59,29.8593333333333,87.5,26.14,691.004893099307
"11","POKE",2020-06-29 12:45:00,685.338183689048,2020-06-29 08:00:00,36.38,29.834,87.5,29.82,685.338183689048
"12","POKE",2020-06-29 13:00:00,693.838247804437,2020-06-29 08:00:00,36.46,29.908,87.1,27,693.838247804437
"13","POKE",2020-06-29 13:15:00,688.171538394177,2020-06-29 08:00:00,36.47,29.9166666666667,86.9,21.99,688.171538394177
"14","POKE",2020-06-29 13:30:00,688.171538394177,2020-06-29 08:00:00,36.6,29.9026666666667,86.8,20.61,688.171538394177
"15","POKE",2020-06-29 13:45:00,688.171538394177,2020-06-29 08:00:00,36.79,29.9413333333333,86.8,20.4,688.171538394177
"16","POKE",2020-06-29 14:00:00,691.004893099307,2020-06-29 08:00:00,36.93,29.914,86.8,20.44,691.004893099307
"17","POKE",2020-06-29 14:15:00,691.004893099307,2020-06-29 08:00:00,36.73,29.976,86.7,19.86,691.004893099307
"18","POKE",2020-06-29 14:30:00,688.171538394177,2020-06-29 08:00:00,36.31,29.9606666666667,86.7,22.22,688.171538394177
"19","POKE",2020-06-29 14:45:00,702.338311919826,2020-06-29 08:00:00,36.03,30.0473333333333,86.7,23.58,702.338311919826
