"","DateTime","Site","Discharge","NO3","fDOM","SpCond","Turb","day"
"1",2021-08-27 03:00:00,"CARI",187.13,35.9,93.37,61.71,2.37,2021-08-27
"2",2021-08-27 03:15:00,"CARI",197.06,35.9,92.08,61.68,2.13,2021-08-27
"3",2021-08-27 03:30:00,"CARI",197.13,35.8,92.59,61.77,1.9,2021-08-27
"4",2021-08-27 03:45:00,"CARI",187.06,35.9,92.76,61.77,1.84,2021-08-27
"5",2021-08-27 04:00:00,"CARI",197.49,35.8,92.74,61.76,1.64,2021-08-27
"6",2021-08-27 04:15:00,"CARI",201.74,35.8,92.22,61.81,1.67,2021-08-27
"7",2021-08-27 04:30:00,"CARI",204.89,35.7,92.2,61.79,1.47,2021-08-27
"8",2021-08-27 04:45:00,"CARI",198.74,35.7,92.9,61.77,1.59,2021-08-27
"9",2021-08-27 05:00:00,"CARI",206.19,35.7,92.76,61.8,1.58,2021-08-27
"10",2021-08-27 05:15:00,"CARI",206.54,35.6,92.71,61.79,1.72,2021-08-27
"11",2021-08-27 05:30:00,"CARI",202.84,35.6,92.5,61.76,1.84,2021-08-27
"12",2021-08-27 05:45:00,"CARI",206.75,35.5,92.73,61.76,1.56,2021-08-27
"13",2021-08-27 06:00:00,"CARI",212.72,35.4,92.89,61.71,1.76,2021-08-27
"14",2021-08-27 06:15:00,"CARI",218.52,35.3,93.2,61.69,2.02,2021-08-27
"15",2021-08-27 06:30:00,"CARI",215.59,35.3,93.33,61.64,1.82,2021-08-27
"16",2021-08-27 06:45:00,"CARI",219.25,35.2,93.57,61.55,2.05,2021-08-27
"17",2021-08-27 07:00:00,"CARI",217.74,35,94.04,61.49,2.63,2021-08-27
"18",2021-08-27 07:15:00,"CARI",226.73,35,94.22,61.4,1.91,2021-08-27
"19",2021-08-27 07:30:00,"CARI",234.94,34.9,95.09,61.23,1.83,2021-08-27
"20",2021-08-27 07:45:00,"CARI",236.17,34.8,95.73,61.15,2.54,2021-08-27
"21",2021-08-27 08:00:00,"CARI",250.71,34.6,95.99,60.92,2.77,2021-08-27
"22",2021-08-27 08:15:00,"CARI",238.94,34.5,98.68,60.71,3.28,2021-08-27
"23",2021-08-27 08:30:00,"CARI",260.06,34.4,97.89,60.49,3.53,2021-08-27
"24",2021-08-27 08:45:00,"CARI",266.3,34.2,99.48,60.24,2.64,2021-08-27
"25",2021-08-27 09:00:00,"CARI",256.83,34,100.94,60.02,2.87,2021-08-27
"26",2021-08-27 09:15:00,"CARI",281.15,33.9,102.25,59.79,3.15,2021-08-27
"27",2021-08-27 09:30:00,"CARI",281.39,33.8,103.73,59.52,2.91,2021-08-27
"28",2021-08-27 09:45:00,"CARI",286.69,33.7,105.05,59.24,3.88,2021-08-27
"29",2021-08-27 10:00:00,"CARI",283.9,33.5,106.63,58.95,3.11,2021-08-27
"30",2021-08-27 10:15:00,"CARI",298.11,33.3,108.06,58.7,3.68,2021-08-27
"31",2021-08-27 10:30:00,"CARI",299.05,33.2,109.54,58.41,4.94,2021-08-27
"32",2021-08-27 10:45:00,"CARI",303.49,33.1,110.3,58.08,4.14,2021-08-27
"33",2021-08-27 11:00:00,"CARI",304.03,33,111.31,57.86,3.99,2021-08-27
"34",2021-08-27 11:15:00,"CARI",316.01,32.8,113.21,57.58,4.41,2021-08-27
"35",2021-08-27 11:30:00,"CARI",322.78,32.7,114.58,57.25,4.47,2021-08-27
"36",2021-08-27 11:45:00,"CARI",335.35,32.7,115.59,56.98,5.19,2021-08-27
"37",2021-08-27 12:00:00,"CARI",341.19,32.5,116.75,56.6,4.15,2021-08-27
"38",2021-08-27 12:15:00,"CARI",333.1,32.4,118.01,56.52,4.99,2021-08-27
"39",2021-08-27 12:30:00,"CARI",345.17,32.3,116.9,56.23,4.72,2021-08-27
"40",2021-08-27 12:45:00,"CARI",344.9,32.3,106.3,55.93,6.92,2021-08-27
"41",2021-08-27 13:00:00,"CARI",341.29,32.2,104.14,55.77,4.14,2021-08-27
"42",2021-08-27 13:15:00,"CARI",346.44,32.1,107.72,55.52,3.98,2021-08-27
"43",2021-08-27 13:30:00,"CARI",340.48,32.1,111.92,55.31,4.47,2021-08-27
"44",2021-08-27 13:45:00,"CARI",344.92,32.1,123.17,55.18,3.75,2021-08-27
"45",2021-08-27 14:00:00,"CARI",346.87,32.1,121.42,54.91,4.82,2021-08-27
"46",2021-08-27 14:15:00,"CARI",349.6,32,124.2,54.84,3.59,2021-08-27
"47",2021-08-27 14:30:00,"CARI",345.87,32,122.23,54.68,3.65,2021-08-27
"48",2021-08-27 14:45:00,"CARI",356.2,31.9,117.72,54.57,3.19,2021-08-27
"49",2021-08-27 15:00:00,"CARI",348.94,31.9,117.41,54.45,3.44,2021-08-27
"50",2021-08-27 15:15:00,"CARI",355.51,31.9,117.84,54.38,2.98,2021-08-27
"51",2021-08-27 15:30:00,"CARI",343.11,31.9,116.71,54.33,3.13,2021-08-27
"52",2021-08-27 15:45:00,"CARI",354.57,31.8,110.83,54.26,2.97,2021-08-27
"53",2021-08-27 16:00:00,"CARI",356,31.9,106.82,54.16,3.26,2021-08-27
"54",2021-08-27 16:15:00,"CARI",345.62,31.9,110.17,53.62,2.88,2021-08-27
"55",2021-08-27 16:30:00,"CARI",358.02,32,106.31,54.07,3.54,2021-08-27
"56",2021-08-27 16:45:00,"CARI",342.71,32,107.62,54.03,2.8,2021-08-27
"57",2021-08-27 17:00:00,"CARI",341.51,31.8,105.47,54.01,2.86,2021-08-27
"58",2021-08-27 17:15:00,"CARI",349.23,31.9,101.57,53.95,2.97,2021-08-27
"59",2021-08-27 17:30:00,"CARI",329.92,31.9,104.24,53.92,2.78,2021-08-27
"60",2021-08-27 17:45:00,"CARI",352.61,31.9,105.92,53.91,3.18,2021-08-27
"61",2021-08-27 18:00:00,"CARI",351.1,32,106.95,53.88,5.01,2021-08-27
"62",2021-08-27 18:15:00,"CARI",347.98,32,105.48,53.92,2.85,2021-08-27
"63",2021-08-27 18:30:00,"CARI",345.57,31.9,103.62,53.95,2.64,2021-08-27
"64",2021-08-27 18:45:00,"CARI",353.38,31.9,109.62,53.93,2.7,2021-08-27
"65",2021-08-27 19:00:00,"CARI",355.42,31.9,111.46,53.91,2.74,2021-08-27
"66",2021-08-27 19:15:00,"CARI",336.43,32,94.18,53.94,2.66,2021-08-27
"67",2021-08-27 19:30:00,"CARI",331.52,32.1,108.52,53.89,3.61,2021-08-27
"68",2021-08-27 19:45:00,"CARI",332.11,32.2,105.44,53.93,2.76,2021-08-27
"69",2021-08-27 20:00:00,"CARI",343.51,32.1,101.79,53.94,2.66,2021-08-27
"70",2021-08-27 20:15:00,"CARI",336.99,32.1,100.77,53.89,2.68,2021-08-27
"71",2021-08-27 20:30:00,"CARI",342.37,32.2,103.8,53.92,2.64,2021-08-27
"72",2021-08-27 20:45:00,"CARI",336.99,32.2,103.56,53.94,2.69,2021-08-27
"73",2021-08-27 21:00:00,"CARI",327.39,32.3,101.88,53.91,2.51,2021-08-27
"74",2021-08-27 21:15:00,"CARI",339.2,32.3,101.58,53.97,2.47,2021-08-27
"75",2021-08-27 21:30:00,"CARI",331,32.3,97.22,53.94,2.75,2021-08-27
"76",2021-08-27 21:45:00,"CARI",338.03,32.4,96.66,53.97,2.72,2021-08-27
"77",2021-08-27 22:00:00,"CARI",325.39,32.4,110.79,53.98,2.43,2021-08-27
"78",2021-08-27 22:15:00,"CARI",321.77,32.4,79.88,54.05,2.23,2021-08-27
"79",2021-08-27 22:30:00,"CARI",334.81,32.5,79.92,54.11,2.46,2021-08-27
"80",2021-08-27 22:45:00,"CARI",328.9,32.6,93.97,53.92,2.65,2021-08-27
"81",2021-08-27 23:00:00,"CARI",323.44,32.6,60.97,54.11,2.38,2021-08-27
"82",2021-08-27 23:15:00,"CARI",323.98,32.6,48.64,54.18,2.32,2021-08-27
"83",2021-08-27 23:30:00,"CARI",325.47,32.7,79.45,54.18,2.34,2021-08-27
"84",2021-08-27 23:45:00,"CARI",323.51,32.8,51.92,54.08,2.53,2021-08-27
"85",2021-08-28 00:00:00,"CARI",312.4,32.8,32.4,54.26,2.42,2021-08-28
"86",2021-08-28 00:15:00,"CARI",310.36,32.9,29.08,54.27,2.19,2021-08-28
"87",2021-08-28 00:30:00,"CARI",312.05,32.9,30.76,54.38,2.49,2021-08-28
"88",2021-08-28 00:45:00,"CARI",306.01,32.9,42.15,54.38,2.41,2021-08-28
"89",2021-08-28 01:00:00,"CARI",307.02,33,28.51,54.53,2.2,2021-08-28
"90",2021-08-28 01:15:00,"CARI",311.55,33,28.91,54.58,2.37,2021-08-28
"91",2021-08-28 01:30:00,"CARI",314.64,33.1,31.08,54.59,2.65,2021-08-28
"92",2021-08-28 01:45:00,"CARI",306.29,33.2,23.95,54.48,2.72,2021-08-28
"93",2021-08-28 02:00:00,"CARI",304.55,33.2,26.69,54.67,2.38,2021-08-28
"94",2021-08-28 02:15:00,"CARI",310.38,33.5,27.53,54.72,2.34,2021-08-28
"95",2021-08-28 02:30:00,"CARI",310.96,33.3,26.21,54.72,2.28,2021-08-28
"96",2021-08-28 02:45:00,"CARI",298.42,33.3,122.23,54.77,2.34,2021-08-28
"97",2021-08-28 03:00:00,"CARI",301.58,33.4,28.11,54.84,2.15,2021-08-28
"98",2021-08-28 03:15:00,"CARI",296.34,33.5,27.36,54.9,2.6,2021-08-28
"99",2021-08-28 03:30:00,"CARI",294.23,33.4,27.5,54.94,2.34,2021-08-28
"100",2021-08-28 03:45:00,"CARI",307.23,33.7,27.25,54.96,2.4,2021-08-28
"101",2021-08-28 04:00:00,"CARI",289.72,33.6,27.51,55.02,2.28,2021-08-28
"102",2021-08-28 04:15:00,"CARI",293.76,33.6,29.06,55.07,2.34,2021-08-28
"103",2021-08-28 04:30:00,"CARI",293.35,33.7,29.05,55.1,2.3,2021-08-28
"104",2021-08-28 04:45:00,"CARI",294.57,33.7,46.22,55.12,2.03,2021-08-28
"105",2021-08-28 05:00:00,"CARI",299.29,33.8,27.38,55.16,2.31,2021-08-28
"106",2021-08-28 05:15:00,"CARI",298.5,33.8,29.46,55.24,2.19,2021-08-28
"107",2021-08-28 05:30:00,"CARI",288.83,33.9,37.03,55.25,2.13,2021-08-28
"108",2021-08-28 05:45:00,"CARI",274.3,33.9,40.46,55.31,2.69,2021-08-28
"109",2021-08-28 06:00:00,"CARI",281.28,34,61.8,55.36,2.17,2021-08-28
"110",2021-08-28 06:15:00,"CARI",282.43,34,78.85,55.37,2.19,2021-08-28
"111",2021-08-28 06:30:00,"CARI",280.67,34.1,118.18,55.42,2.18,2021-08-28
"112",2021-08-28 06:45:00,"CARI",273.59,34.2,115.84,55.5,2.29,2021-08-28
"113",2021-08-28 07:00:00,"CARI",274.64,34.1,117.98,55.51,2.17,2021-08-28
"114",2021-08-28 07:15:00,"CARI",273.34,34.2,52.5,55.57,2.15,2021-08-28
"115",2021-08-28 07:30:00,"CARI",276.89,34.3,78.87,55.57,2.36,2021-08-28
"116",2021-08-28 07:45:00,"CARI",282.33,34.4,117.79,55.61,2.03,2021-08-28
"117",2021-08-28 08:00:00,"CARI",277.14,34.4,117.84,55.65,1.95,2021-08-28
"118",2021-08-28 08:15:00,"CARI",265.61,34.4,117.85,55.71,2.06,2021-08-28
"119",2021-08-28 08:30:00,"CARI",265.29,34.4,117.81,55.7,2.23,2021-08-28
"120",2021-08-28 08:45:00,"CARI",270.79,34.4,117.6,55.72,2.07,2021-08-28
"121",2021-08-28 09:00:00,"CARI",265.19,34.4,85.51,55.75,1.95,2021-08-28
"122",2021-08-28 09:15:00,"CARI",267.81,34.4,117.57,55.81,2.26,2021-08-28
"123",2021-08-28 09:30:00,"CARI",260.15,34.6,117.47,55.8,2.37,2021-08-28
"124",2021-08-28 09:45:00,"CARI",267.81,34.5,117.21,55.82,2.13,2021-08-28
"125",2021-08-28 10:00:00,"CARI",268.79,34.5,117.01,55.84,2.07,2021-08-28
"126",2021-08-28 10:15:00,"CARI",269.34,34.5,116.78,55.84,2.46,2021-08-28
"127",2021-08-28 10:30:00,"CARI",265.36,34.6,116.66,55.87,2.85,2021-08-28
"128",2021-08-28 10:45:00,"CARI",272.47,34.6,44.65,55.92,2.23,2021-08-28
"129",2021-08-28 11:00:00,"CARI",261.27,34.7,47.79,55.92,1.8,2021-08-28
"130",2021-08-28 11:15:00,"CARI",263.72,34.6,116.05,55.95,2.09,2021-08-28
"131",2021-08-28 11:30:00,"CARI",266.51,34.7,115.81,55.98,2.29,2021-08-28
"132",2021-08-28 11:45:00,"CARI",269.78,34.7,115.58,55.99,2.21,2021-08-28
"133",2021-08-28 12:00:00,"CARI",252.8,34.7,115.27,56.02,2.08,2021-08-28
"134",2021-08-28 12:15:00,"CARI",251.5,34.7,115.12,56.03,1.76,2021-08-28
"135",2021-08-28 12:30:00,"CARI",261.96,34.7,114.95,56.06,1.8,2021-08-28
"136",2021-08-28 12:45:00,"CARI",253.67,34.8,114.76,56.11,2.25,2021-08-28
"137",2021-08-28 13:00:00,"CARI",263.08,34.8,114.54,56.11,4.21,2021-08-28
"138",2021-08-28 13:15:00,"CARI",252.67,34.8,114.31,56.12,1.7,2021-08-28
"139",2021-08-28 13:30:00,"CARI",255.56,34.8,114.08,56.12,2.08,2021-08-28
"140",2021-08-28 13:45:00,"CARI",252.61,34.8,113.64,56.2,1.5,2021-08-28
