"","DateTime","Site","Discharge","fDOM","NO3","SpCond","Turb","day"
"1",2021-06-01 20:46:00,"CARI",23.01,36.31,NA,86.96,4.76,2021-06-01
"2",2021-06-01 20:47:00,"CARI",22.68,36.25,NA,86.96,5.14,2021-06-01
"3",2021-06-01 20:48:00,"CARI",22.16,36.24,NA,86.96,5.14,2021-06-01
"4",2021-06-01 20:49:00,"CARI",22.68,36.4,NA,86.88,4.72,2021-06-01
"5",2021-06-01 20:50:00,"CARI",22.67,36.27,NA,86.86,4.95,2021-06-01
"6",2021-06-01 20:51:00,"CARI",22.25,36.23,NA,86.86,5.03,2021-06-01
"7",2021-06-01 20:52:00,"CARI",22.67,36.21,NA,86.84,5,2021-06-01
"8",2021-06-01 20:53:00,"CARI",23.05,36.2,NA,86.84,5,2021-06-01
"9",2021-06-01 20:54:00,"CARI",23.21,36.36,NA,86.84,6.16,2021-06-01
"10",2021-06-01 20:55:00,"CARI",23.06,36.2,NA,86.83,5.48,2021-06-01
"11",2021-06-01 20:56:00,"CARI",23.11,36.23,NA,86.84,5.75,2021-06-01
"12",2021-06-01 20:57:00,"CARI",22.67,36.24,NA,86.82,5.2,2021-06-01
"13",2021-06-01 20:58:00,"CARI",23.18,36.24,NA,86.82,5.2,2021-06-01
"14",2021-06-01 20:59:00,"CARI",22.91,36.4,NA,86.77,5.08,2021-06-01
"15",2021-06-01 21:00:00,"CARI",22.33,36.35,31.1,86.75,5.4,2021-06-01
"16",2021-06-01 21:01:00,"CARI",23.59,35.67,NA,86.77,5.31,2021-06-01
"17",2021-06-01 21:02:00,"CARI",23.18,36.04,NA,86.76,5.58,2021-06-01
"18",2021-06-01 21:03:00,"CARI",24.7,36.04,NA,86.76,5.58,2021-06-01
"19",2021-06-01 21:04:00,"CARI",24.12,36.42,NA,86.73,6.52,2021-06-01
"20",2021-06-01 21:05:00,"CARI",24.42,36.36,NA,86.71,6.68,2021-06-01
"21",2021-06-01 21:06:00,"CARI",24.83,36.29,NA,86.74,6.83,2021-06-01
"22",2021-06-01 21:07:00,"CARI",24.31,36.3,NA,86.71,6.64,2021-06-01
"23",2021-06-01 21:08:00,"CARI",23.3,36.3,NA,86.71,6.64,2021-06-01
"24",2021-06-01 21:09:00,"CARI",22.91,36.44,NA,86.68,6.31,2021-06-01
"25",2021-06-01 21:10:00,"CARI",23.77,36.34,NA,86.69,6.39,2021-06-01
"26",2021-06-01 21:11:00,"CARI",24.95,36.33,NA,86.73,6.25,2021-06-01
"27",2021-06-01 21:12:00,"CARI",23.7,36.34,NA,86.72,5.38,2021-06-01
"28",2021-06-01 21:13:00,"CARI",23.51,36.34,NA,86.72,5.38,2021-06-01
"29",2021-06-01 21:14:00,"CARI",23.96,36.53,NA,86.74,5.28,2021-06-01
"30",2021-06-01 21:15:00,"CARI",24.08,36.44,31.2,86.76,4.83,2021-06-01
"31",2021-06-01 21:16:00,"CARI",24.08,36.44,NA,86.82,4.72,2021-06-01
"32",2021-06-01 21:17:00,"CARI",23.78,36.38,NA,86.83,4.91,2021-06-01
