"","valuedatetime","datavalue"
"1",2021-07-27 17:46:00,1.67
"2",2021-07-27 17:47:00,1.68
"3",2021-07-27 17:48:00,1.77
"4",2021-07-27 17:49:00,1.77
"5",2021-07-27 17:50:00,1.87
"6",2021-07-27 17:51:00,1.81
"7",2021-07-27 17:52:00,2.01
"8",2021-07-27 17:53:00,1.88
"9",2021-07-27 17:54:00,1.88
"10",2021-07-27 17:55:00,2.22
"11",2021-07-27 17:56:00,1.8
"12",2021-07-27 17:57:00,1.8
"13",2021-07-27 17:58:00,1.9
"14",2021-07-27 17:59:00,1.9
"15",2021-07-27 18:00:00,2.02
"16",2021-07-27 18:01:00,1.86
"17",2021-07-27 18:02:00,2.01
"18",2021-07-27 18:03:00,1.89
"19",2021-07-27 18:04:00,1.89
"20",2021-07-27 18:05:00,1.96
"21",2021-07-27 18:06:00,1.87
"22",2021-07-27 18:07:00,1.88
"23",2021-07-27 18:08:00,1.97
"24",2021-07-27 18:09:00,1.97
"25",2021-07-27 18:10:00,2.47
"26",2021-07-27 18:11:00,2.73
"27",2021-07-27 18:12:00,2.82
"28",2021-07-27 18:13:00,2.36
"29",2021-07-27 18:14:00,2.36
"30",2021-07-27 18:15:00,2.22
"31",2021-07-27 18:16:00,2.16
"32",2021-07-27 18:17:00,2.33
"33",2021-07-27 18:18:00,2.1
"34",2021-07-27 18:19:00,2.1
"35",2021-07-27 18:20:00,2
"36",2021-07-27 18:21:00,1.91
"37",2021-07-27 18:22:00,1.91
"38",2021-07-27 18:23:00,1.92
"39",2021-07-27 18:24:00,1.92
"40",2021-07-27 18:25:00,1.88
"41",2021-07-27 18:26:00,1.87
"42",2021-07-27 18:27:00,1.86
"43",2021-07-27 18:28:00,1.88
"44",2021-07-27 18:29:00,1.88
"45",2021-07-27 18:30:00,1.75
"46",2021-07-27 18:31:00,1.74
"47",2021-07-27 18:32:00,1.8
"48",2021-07-27 18:33:00,1.83
"49",2021-07-27 18:34:00,1.83
"50",2021-07-27 18:35:00,1.77
"51",2021-07-27 18:36:00,2.05
"52",2021-07-27 18:37:00,2
"53",2021-07-27 18:38:00,1.9
"54",2021-07-27 18:39:00,1.9
"55",2021-07-27 18:40:00,2.31
"56",2021-07-27 18:41:00,2.03
"57",2021-07-27 18:42:00,2.3
"58",2021-07-27 18:43:00,2.19
"59",2021-07-27 18:44:00,2.19
"60",2021-07-27 18:45:00,2.11
"61",2021-07-27 18:46:00,2.11
"62",2021-07-27 18:47:00,2.09
"63",2021-07-27 18:48:00,2.13
"64",2021-07-27 18:49:00,2.13
"65",2021-07-27 18:50:00,2
"66",2021-07-27 18:51:00,1.99
"67",2021-07-27 18:52:00,1.99
"68",2021-07-27 18:53:00,2.12
"69",2021-07-27 18:54:00,2.12
"70",2021-07-27 18:55:00,2.19
"71",2021-07-27 18:56:00,2.21
"72",2021-07-27 18:57:00,2.1
"73",2021-07-27 18:58:00,2.11
"74",2021-07-27 18:59:00,2.11
"75",2021-07-27 19:00:00,2.22
"76",2021-07-27 19:01:00,2.31
"77",2021-07-27 19:02:00,2.3
"78",2021-07-27 19:03:00,2.18
"79",2021-07-27 19:04:00,2.18
"80",2021-07-27 19:05:00,2.25
"81",2021-07-27 19:06:00,2.27
"82",2021-07-27 19:07:00,2.25
"83",2021-07-27 19:08:00,2.11
"84",2021-07-27 19:09:00,2.11
"85",2021-07-27 19:10:00,2.04
"86",2021-07-27 19:11:00,1.98
"87",2021-07-27 19:12:00,2
"88",2021-07-27 19:13:00,1.97
"89",2021-07-27 19:14:00,1.97
"90",2021-07-27 19:15:00,2
"91",2021-07-27 19:16:00,2.21
"92",2021-07-27 19:17:00,2.11
"93",2021-07-27 19:18:00,2.28
"94",2021-07-27 19:19:00,2.28
"95",2021-07-27 19:20:00,2.37
"96",2021-07-27 19:21:00,2.46
"97",2021-07-27 19:22:00,2.4
"98",2021-07-27 19:23:00,2.47
"99",2021-07-27 19:24:00,2.47
"100",2021-07-27 19:25:00,2.65
"101",2021-07-27 19:26:00,2.52
"102",2021-07-27 19:27:00,2.73
"103",2021-07-27 19:28:00,2.59
"104",2021-07-27 19:29:00,2.59
"105",2021-07-27 19:30:00,2.38
"106",2021-07-27 19:31:00,2.28
"107",2021-07-27 19:32:00,2.37
"108",2021-07-27 19:33:00,2.36
"109",2021-07-27 19:34:00,2.36
"110",2021-07-27 19:35:00,2.14
"111",2021-07-27 19:36:00,2.11
"112",2021-07-27 19:37:00,2.13
"113",2021-07-27 19:38:00,2.16
"114",2021-07-27 19:39:00,2.16
"115",2021-07-27 19:40:00,2.25
"116",2021-07-27 19:41:00,2.17
"117",2021-07-27 19:42:00,2.13
"118",2021-07-27 19:43:00,2.05
"119",2021-07-27 19:44:00,2.05
"120",2021-07-27 19:45:00,1.98
"121",2021-07-27 19:46:00,2.13
"122",2021-07-27 19:47:00,1.9
"123",2021-07-27 19:48:00,1.82
"124",2021-07-27 19:49:00,1.82
"125",2021-07-27 19:50:00,1.89
"126",2021-07-27 19:51:00,1.89
"127",2021-07-27 19:52:00,1.82
"128",2021-07-27 19:53:00,1.82
"129",2021-07-27 19:54:00,1.82
"130",2021-07-27 19:55:00,1.74
"131",2021-07-27 19:56:00,1.8
"132",2021-07-27 19:57:00,1.88
"133",2021-07-27 19:58:00,1.72
"134",2021-07-27 19:59:00,1.72
"135",2021-07-27 20:00:00,1.7
"136",2021-07-27 20:01:00,1.78
"137",2021-07-27 20:02:00,2.01
"138",2021-07-27 20:03:00,1.89
"139",2021-07-27 20:04:00,1.89
"140",2021-07-27 20:05:00,1.94
"141",2021-07-27 20:06:00,1.91
"142",2021-07-27 20:07:00,1.85
"143",2021-07-27 20:08:00,1.87
"144",2021-07-27 20:09:00,1.87
"145",2021-07-27 20:10:00,2.05
"146",2021-07-27 20:11:00,1.85
"147",2021-07-27 20:12:00,1.81
"148",2021-07-27 20:13:00,1.86
"149",2021-07-27 20:14:00,1.86
"150",2021-07-27 20:15:00,1.94
"151",2021-07-27 20:16:00,1.82
"152",2021-07-27 20:17:00,1.88
"153",2021-07-27 20:18:00,1.83
"154",2021-07-27 20:19:00,1.83
"155",2021-07-27 20:20:00,1.92
"156",2021-07-27 20:21:00,1.82
"157",2021-07-27 20:22:00,1.78
"158",2021-07-27 20:23:00,1.78
"159",2021-07-27 20:24:00,1.78
"160",2021-07-27 20:25:00,1.91
"161",2021-07-27 20:26:00,1.94
"162",2021-07-27 20:27:00,1.95
"163",2021-07-27 20:28:00,1.93
"164",2021-07-27 20:29:00,1.93
"165",2021-07-27 20:30:00,2.04
"166",2021-07-27 20:31:00,2.24
"167",2021-07-27 20:32:00,2.08
"168",2021-07-27 20:33:00,2.03
"169",2021-07-27 20:34:00,2.03
"170",2021-07-27 20:35:00,2.05
"171",2021-07-27 20:36:00,1.92
"172",2021-07-27 20:37:00,2.1
"173",2021-07-27 20:38:00,1.99
"174",2021-07-27 20:39:00,1.99
"175",2021-07-27 20:40:00,1.92
"176",2021-07-27 20:41:00,1.85
"177",2021-07-27 20:42:00,1.84
"178",2021-07-27 20:43:00,1.84
"179",2021-07-27 20:44:00,1.84
"180",2021-07-27 20:45:00,1.8
"181",2021-07-27 20:46:00,1.87
"182",2021-07-27 20:47:00,1.98
"183",2021-07-27 20:48:00,2.06
"184",2021-07-27 20:49:00,2.06
"185",2021-07-27 20:50:00,1.9
"186",2021-07-27 20:51:00,2.02
"187",2021-07-27 20:52:00,2.08
"188",2021-07-27 20:53:00,1.87
"189",2021-07-27 20:54:00,1.87
"190",2021-07-27 20:55:00,1.74
"191",2021-07-27 20:56:00,1.9
"192",2021-07-27 20:57:00,1.91
"193",2021-07-27 20:58:00,2.01
