"","valuedatetime","datavalue"
"16052",2021-08-05 22:35:00,NA
"16053",2021-08-05 22:40:00,NA
"16054",2021-08-05 22:45:00,25.6283333333333
"16055",2021-08-05 22:50:00,NA
"16056",2021-08-05 22:55:00,NA
"16057",2021-08-05 23:00:00,48.914
"16058",2021-08-05 23:05:00,NA
"16059",2021-08-05 23:10:00,NA
"16060",2021-08-05 23:15:00,29.9383333333333
"16061",2021-08-05 23:20:00,NA
"16062",2021-08-05 23:25:00,NA
"16063",2021-08-05 23:30:00,28.324
"16064",2021-08-05 23:35:00,NA
"16065",2021-08-05 23:40:00,NA
"16066",2021-08-05 23:45:00,28.13
"16067",2021-08-05 23:50:00,NA
"16068",2021-08-05 23:55:00,NA
"16069",2021-08-06 00:00:00,23.158
"16070",2021-08-06 00:05:00,NA
"16071",2021-08-06 00:10:00,NA
"16072",2021-08-06 00:15:00,34.9083333333333
"16073",2021-08-06 00:20:00,NA
"16074",2021-08-06 00:25:00,NA
"16075",2021-08-06 00:30:00,32.192
"16076",2021-08-06 00:35:00,NA
"16077",2021-08-06 00:40:00,NA
"16078",2021-08-06 00:45:00,34.8983333333333
"16079",2021-08-06 00:50:00,NA
"16080",2021-08-06 00:55:00,NA
"16081",2021-08-06 01:00:00,26.6
"16082",2021-08-06 01:05:00,NA
"16083",2021-08-06 01:10:00,NA
"16084",2021-08-06 01:15:00,38.545
"16085",2021-08-06 01:20:00,NA
"16086",2021-08-06 01:25:00,NA
"16087",2021-08-06 01:30:00,35.292
"16088",2021-08-06 01:35:00,NA
"16089",2021-08-06 01:40:00,NA
"16090",2021-08-06 01:45:00,46.8983333333333
"16091",2021-08-06 01:50:00,NA
"16092",2021-08-06 01:55:00,NA
"16093",2021-08-06 02:00:00,30.672
"16094",2021-08-06 02:05:00,NA
"16095",2021-08-06 02:10:00,NA
"16096",2021-08-06 02:15:00,51.945
"16097",2021-08-06 02:20:00,NA
"16098",2021-08-06 02:25:00,NA
"16099",2021-08-06 02:30:00,25.34
"16100",2021-08-06 02:35:00,NA
"16101",2021-08-06 02:40:00,NA
"16102",2021-08-06 02:45:00,39.2783333333333
"16103",2021-08-06 02:50:00,NA
"16104",2021-08-06 02:55:00,NA
"16105",2021-08-06 03:00:00,34.546
"16106",2021-08-06 03:05:00,NA
"16107",2021-08-06 03:10:00,NA
"16108",2021-08-06 03:15:00,29.9733333333333
"16109",2021-08-06 03:20:00,NA
"16110",2021-08-06 03:25:00,NA
"16111",2021-08-06 03:30:00,49.352
"16112",2021-08-06 03:35:00,NA
"16113",2021-08-06 03:40:00,NA
"16114",2021-08-06 03:45:00,22.7133333333333
"16115",2021-08-06 03:50:00,NA
"16116",2021-08-06 03:55:00,NA
"16117",2021-08-06 04:00:00,68.382
"16118",2021-08-06 04:05:00,NA
"16119",2021-08-06 04:10:00,NA
"16120",2021-08-06 04:15:00,27.6616666666667
"16121",2021-08-06 04:20:00,NA
"16122",2021-08-06 04:25:00,NA
"16123",2021-08-06 04:30:00,26.536
"16124",2021-08-06 04:35:00,NA
"16125",2021-08-06 04:40:00,NA
"16126",2021-08-06 04:45:00,45.6616666666667
"16127",2021-08-06 04:50:00,NA
"16128",2021-08-06 04:55:00,NA
"16129",2021-08-06 05:00:00,34.81
"16130",2021-08-06 05:05:00,NA
"16131",2021-08-06 05:10:00,NA
"16132",2021-08-06 05:15:00,33.265
"16133",2021-08-06 05:20:00,NA
"16134",2021-08-06 05:25:00,NA
"16135",2021-08-06 05:30:00,28.528
"16136",2021-08-06 05:35:00,NA
"16137",2021-08-06 05:40:00,NA
"16138",2021-08-06 05:45:00,28.1466666666667
"16139",2021-08-06 05:50:00,NA
"16140",2021-08-06 05:55:00,NA
"16141",2021-08-06 06:00:00,27.772
"16142",2021-08-06 06:05:00,NA
"16143",2021-08-06 06:10:00,NA
"16144",2021-08-06 06:15:00,38.835
"16145",2021-08-06 06:20:00,NA
"16146",2021-08-06 06:25:00,NA
"16147",2021-08-06 06:30:00,30.65
"16148",2021-08-06 06:35:00,NA
"16149",2021-08-06 06:40:00,NA
"16150",2021-08-06 06:45:00,35.2483333333333
"16151",2021-08-06 06:50:00,NA
"16152",2021-08-06 06:55:00,NA
"16153",2021-08-06 07:00:00,29.942
"16154",2021-08-06 07:05:00,NA
"16155",2021-08-06 07:10:00,NA
"16156",2021-08-06 07:15:00,19.8283333333333
"16157",2021-08-06 07:20:00,NA
"16158",2021-08-06 07:25:00,NA
"16159",2021-08-06 07:30:00,30.33
"16160",2021-08-06 07:35:00,NA
"16161",2021-08-06 07:40:00,NA
"16162",2021-08-06 07:45:00,43.8616666666667
"16163",2021-08-06 07:50:00,NA
"16164",2021-08-06 07:55:00,NA
"16165",2021-08-06 08:00:00,31.16
"16166",2021-08-06 08:05:00,NA
"16167",2021-08-06 08:10:00,NA
"16168",2021-08-06 08:15:00,36.2266666666667
"16169",2021-08-06 08:20:00,NA
"16170",2021-08-06 08:25:00,NA
"16171",2021-08-06 08:30:00,33.072
"16172",2021-08-06 08:35:00,NA
"16173",2021-08-06 08:40:00,NA
"16174",2021-08-06 08:45:00,51.0366666666667
"16175",2021-08-06 08:50:00,NA
"16176",2021-08-06 08:55:00,NA
"16177",2021-08-06 09:00:00,37.392
"16178",2021-08-06 09:05:00,NA
"16179",2021-08-06 09:10:00,NA
"16180",2021-08-06 09:15:00,47.1283333333333
"16181",2021-08-06 09:20:00,NA
"16182",2021-08-06 09:25:00,NA
"16183",2021-08-06 09:30:00,20.156
"16184",2021-08-06 09:35:00,NA
"16185",2021-08-06 09:40:00,NA
"16186",2021-08-06 09:45:00,29.8633333333333
