"","valuedatetime","datavalue"
"1",2021-08-23 12:46:00,NA
"2",2021-08-23 12:47:00,NA
"3",2021-08-23 12:48:00,NA
"4",2021-08-23 12:49:00,NA
"5",2021-08-23 12:50:00,NA
"6",2021-08-23 12:51:00,NA
"7",2021-08-23 12:52:00,NA
"8",2021-08-23 12:53:00,NA
"9",2021-08-23 12:54:00,NA
"10",2021-08-23 12:55:00,NA
"11",2021-08-23 12:56:00,NA
"12",2021-08-23 12:57:00,NA
"13",2021-08-23 12:58:00,NA
"14",2021-08-23 12:59:00,NA
"15",2021-08-23 13:00:00,37.1
"16",2021-08-23 13:01:00,NA
"17",2021-08-23 13:02:00,NA
"18",2021-08-23 13:03:00,NA
"19",2021-08-23 13:04:00,NA
"20",2021-08-23 13:05:00,NA
"21",2021-08-23 13:06:00,NA
"22",2021-08-23 13:07:00,NA
"23",2021-08-23 13:08:00,NA
"24",2021-08-23 13:09:00,NA
"25",2021-08-23 13:10:00,NA
"26",2021-08-23 13:11:00,NA
"27",2021-08-23 13:12:00,NA
"28",2021-08-23 13:13:00,NA
"29",2021-08-23 13:14:00,NA
"30",2021-08-23 13:15:00,37
"31",2021-08-23 13:16:00,NA
"32",2021-08-23 13:17:00,NA
"33",2021-08-23 13:18:00,NA
"34",2021-08-23 13:19:00,NA
"35",2021-08-23 13:20:00,NA
"36",2021-08-23 13:21:00,NA
"37",2021-08-23 13:22:00,NA
"38",2021-08-23 13:23:00,NA
"39",2021-08-23 13:24:00,NA
"40",2021-08-23 13:25:00,NA
"41",2021-08-23 13:26:00,NA
"42",2021-08-23 13:27:00,NA
"43",2021-08-23 13:28:00,NA
"44",2021-08-23 13:29:00,NA
"45",2021-08-23 13:30:00,37
"46",2021-08-23 13:31:00,NA
"47",2021-08-23 13:32:00,NA
"48",2021-08-23 13:33:00,NA
"49",2021-08-23 13:34:00,NA
"50",2021-08-23 13:35:00,NA
"51",2021-08-23 13:36:00,NA
"52",2021-08-23 13:37:00,NA
"53",2021-08-23 13:38:00,NA
"54",2021-08-23 13:39:00,NA
"55",2021-08-23 13:40:00,NA
"56",2021-08-23 13:41:00,NA
"57",2021-08-23 13:42:00,NA
"58",2021-08-23 13:43:00,NA
"59",2021-08-23 13:44:00,NA
"60",2021-08-23 13:45:00,36.9
"61",2021-08-23 13:46:00,NA
"62",2021-08-23 13:47:00,NA
"63",2021-08-23 13:48:00,NA
"64",2021-08-23 13:49:00,NA
"65",2021-08-23 13:50:00,NA
"66",2021-08-23 13:51:00,NA
"67",2021-08-23 13:52:00,NA
"68",2021-08-23 13:53:00,NA
"69",2021-08-23 13:54:00,NA
"70",2021-08-23 13:55:00,NA
"71",2021-08-23 13:56:00,NA
"72",2021-08-23 13:57:00,NA
"73",2021-08-23 13:58:00,NA
"74",2021-08-23 13:59:00,NA
"75",2021-08-23 14:00:00,37
"76",2021-08-23 14:01:00,NA
"77",2021-08-23 14:02:00,NA
"78",2021-08-23 14:03:00,NA
"79",2021-08-23 14:04:00,NA
"80",2021-08-23 14:05:00,NA
"81",2021-08-23 14:06:00,NA
"82",2021-08-23 14:07:00,NA
"83",2021-08-23 14:08:00,NA
"84",2021-08-23 14:09:00,NA
"85",2021-08-23 14:10:00,NA
"86",2021-08-23 14:11:00,NA
"87",2021-08-23 14:12:00,NA
"88",2021-08-23 14:13:00,NA
"89",2021-08-23 14:14:00,NA
"90",2021-08-23 14:15:00,36.9
"91",2021-08-23 14:16:00,NA
"92",2021-08-23 14:17:00,NA
"93",2021-08-23 14:18:00,NA
"94",2021-08-23 14:19:00,NA
"95",2021-08-23 14:20:00,NA
"96",2021-08-23 14:21:00,NA
"97",2021-08-23 14:22:00,NA
"98",2021-08-23 14:23:00,NA
"99",2021-08-23 14:24:00,NA
"100",2021-08-23 14:25:00,NA
"101",2021-08-23 14:26:00,NA
"102",2021-08-23 14:27:00,NA
"103",2021-08-23 14:28:00,NA
"104",2021-08-23 14:29:00,NA
"105",2021-08-23 14:30:00,37
"106",2021-08-23 14:31:00,NA
"107",2021-08-23 14:32:00,NA
"108",2021-08-23 14:33:00,NA
"109",2021-08-23 14:34:00,NA
"110",2021-08-23 14:35:00,NA
"111",2021-08-23 14:36:00,NA
"112",2021-08-23 14:37:00,NA
"113",2021-08-23 14:38:00,NA
"114",2021-08-23 14:39:00,NA
"115",2021-08-23 14:40:00,NA
"116",2021-08-23 14:41:00,NA
"117",2021-08-23 14:42:00,NA
"118",2021-08-23 14:43:00,NA
"119",2021-08-23 14:44:00,NA
"120",2021-08-23 14:45:00,36.8
"121",2021-08-23 14:46:00,NA
"122",2021-08-23 14:47:00,NA
"123",2021-08-23 14:48:00,NA
"124",2021-08-23 14:49:00,NA
"125",2021-08-23 14:50:00,NA
"126",2021-08-23 14:51:00,NA
"127",2021-08-23 14:52:00,NA
"128",2021-08-23 14:53:00,NA
"129",2021-08-23 14:54:00,NA
"130",2021-08-23 14:55:00,NA
"131",2021-08-23 14:56:00,NA
"132",2021-08-23 14:57:00,NA
"133",2021-08-23 14:58:00,NA
"134",2021-08-23 14:59:00,NA
"135",2021-08-23 15:00:00,36.8
"136",2021-08-23 15:01:00,NA
"137",2021-08-23 15:02:00,NA
"138",2021-08-23 15:03:00,NA
"139",2021-08-23 15:04:00,NA
"140",2021-08-23 15:05:00,NA
"141",2021-08-23 15:06:00,NA
"142",2021-08-23 15:07:00,NA
"143",2021-08-23 15:08:00,NA
"144",2021-08-23 15:09:00,NA
"145",2021-08-23 15:10:00,NA
"146",2021-08-23 15:11:00,NA
"147",2021-08-23 15:12:00,NA
