,valuedatetime,datavalue
1,8/17/21 1:35,NA
2,8/17/21 1:40,NA
3,8/17/21 1:45,19.77909091
4,8/17/21 1:50,NA
5,8/17/21 1:55,NA
6,8/17/21 2:00,19.95181818
7,8/17/21 2:05,NA
8,8/17/21 2:10,NA
9,8/17/21 2:15,19.89272727
10,8/17/21 2:20,NA
11,8/17/21 2:25,NA
12,8/17/21 2:30,19.92727273
13,8/17/21 2:35,NA
14,8/17/21 2:40,NA
15,8/17/21 2:45,19.79454545
16,8/17/21 2:50,NA
17,8/17/21 2:55,NA
18,8/17/21 3:00,19.89727273
19,8/17/21 3:05,NA
20,8/17/21 3:10,NA
21,8/17/21 3:15,19.89272727
22,8/17/21 3:20,NA
23,8/17/21 3:25,NA
24,8/17/21 3:30,19.79818182
25,8/17/21 3:35,NA
26,8/17/21 3:40,NA
27,8/17/21 3:45,19.87272727
28,8/17/21 3:50,NA
29,8/17/21 3:55,NA
30,8/17/21 4:00,19.91
31,8/17/21 4:05,NA
32,8/17/21 4:10,NA
33,8/17/21 4:15,19.84454545
34,8/17/21 4:20,NA
35,8/17/21 4:25,NA
36,8/17/21 4:30,19.95090909
37,8/17/21 4:35,NA
38,8/17/21 4:40,NA
39,8/17/21 4:45,19.91
40,8/17/21 4:50,NA
41,8/17/21 4:55,NA
42,8/17/21 5:00,19.86
43,8/17/21 5:05,NA
44,8/17/21 5:10,NA
45,8/17/21 5:15,19.90090909
46,8/17/21 5:20,NA
47,8/17/21 5:25,NA
48,8/17/21 5:30,19.84181818
49,8/17/21 5:35,NA
50,8/17/21 5:40,NA
51,8/17/21 5:45,20.02818182
52,8/17/21 5:50,NA
53,8/17/21 5:55,NA
54,8/17/21 6:00,20.02363636
55,8/17/21 6:05,NA
56,8/17/21 6:10,NA
57,8/17/21 6:15,19.95181818
58,8/17/21 6:20,NA
59,8/17/21 6:25,NA
60,8/17/21 6:30,19.97
61,8/17/21 6:35,NA
62,8/17/21 6:40,NA
63,8/17/21 6:45,19.8975
64,8/17/21 6:50,NA
65,8/17/21 6:55,NA
66,8/17/21 7:00,20.04818182
67,8/17/21 7:05,NA
68,8/17/21 7:10,NA
69,8/17/21 7:15,19.925
70,8/17/21 7:20,NA
71,8/17/21 7:25,NA
72,8/17/21 7:30,20.0225
73,8/17/21 7:35,NA
74,8/17/21 7:40,NA
75,8/17/21 7:45,20.0275
76,8/17/21 7:50,NA
77,8/17/21 7:55,NA
78,8/17/21 8:00,19.9775
79,8/17/21 8:05,NA
80,8/17/21 8:10,NA
81,8/17/21 8:15,20.0675
82,8/17/21 8:20,NA
83,8/17/21 8:25,NA
84,8/17/21 8:30,20.0825
85,8/17/21 8:35,NA
86,8/17/21 8:40,NA
87,8/17/21 8:45,20.1
88,8/17/21 8:50,NA
89,8/17/21 8:55,NA
90,8/17/21 9:00,20.0825
91,8/17/21 9:05,NA
92,8/17/21 9:10,NA
93,8/17/21 9:15,20.2275
94,8/17/21 9:20,NA
95,8/17/21 9:25,NA
96,8/17/21 9:30,20.1475
97,8/17/21 9:35,NA
98,8/17/21 9:40,NA
99,8/17/21 9:45,20.3
100,8/17/21 9:50,NA
101,8/17/21 9:55,NA
102,8/17/21 10:00,20.445
103,8/17/21 10:05,NA
104,8/17/21 10:10,NA
105,8/17/21 10:15,20.375
106,8/17/21 10:20,NA
107,8/17/21 10:25,NA
108,8/17/21 10:30,20.4625
109,8/17/21 10:35,NA
110,8/17/21 10:40,NA
111,8/17/21 10:45,20.37
112,8/17/21 10:50,NA
113,8/17/21 10:55,NA
114,8/17/21 11:00,20.4075
115,8/17/21 11:05,NA
116,8/17/21 11:10,NA
117,8/17/21 11:15,20.4925
118,8/17/21 11:20,NA
119,8/17/21 11:25,NA
120,8/17/21 11:30,20.4825
121,8/17/21 11:35,NA
122,8/17/21 11:40,NA
123,8/17/21 11:45,20.58
124,8/17/21 11:50,NA
125,8/17/21 11:55,NA
126,8/17/21 12:00,20.5325
127,8/17/21 12:05,NA
128,8/17/21 12:10,NA
129,8/17/21 12:15,20.56
130,8/17/21 12:20,NA
131,8/17/21 12:25,NA
132,8/17/21 12:30,20.7775
133,8/17/21 12:35,NA
134,8/17/21 12:40,NA
135,8/17/21 12:45,20.78
136,8/17/21 12:50,NA
137,8/17/21 12:55,NA
138,8/17/21 13:00,20.77
139,8/17/21 13:05,NA
140,8/17/21 13:10,NA
141,8/17/21 13:15,20.7825
142,8/17/21 13:20,NA
143,8/17/21 13:25,NA
144,8/17/21 13:30,20.88
145,8/17/21 13:35,NA
146,8/17/21 13:40,NA
147,8/17/21 13:45,20.9125
148,8/17/21 13:50,NA
149,8/17/21 13:55,NA
150,8/17/21 14:00,20.9825
151,8/17/21 14:05,NA
152,8/17/21 14:10,NA
153,8/17/21 14:15,20.995
154,8/17/21 14:20,NA
155,8/17/21 14:25,NA
156,8/17/21 14:30,21.0725
157,8/17/21 14:35,NA
158,8/17/21 14:40,NA
159,8/17/21 14:45,20.975
160,8/17/21 14:50,NA
161,8/17/21 14:55,NA
162,8/17/21 15:00,21.045
163,8/17/21 15:05,NA
164,8/17/21 15:10,NA
165,8/17/21 15:15,21.0675
166,8/17/21 15:20,NA
167,8/17/21 15:25,NA
168,8/17/21 15:30,21.16
169,8/17/21 15:35,NA
170,8/17/21 15:40,NA
171,8/17/21 15:45,21.04
172,8/17/21 15:50,NA
173,8/17/21 15:55,NA
174,8/17/21 16:00,21.1775
175,8/17/21 16:05,NA
176,8/17/21 16:10,NA
177,8/17/21 16:15,21.17
178,8/17/21 16:20,NA
179,8/17/21 16:25,NA
180,8/17/21 16:30,21.14
181,8/17/21 16:35,NA
182,8/17/21 16:40,NA
183,8/17/21 16:45,21.11
184,8/17/21 16:50,NA
185,8/17/21 16:55,NA
186,8/17/21 17:00,21.2425
187,8/17/21 17:05,NA
188,8/17/21 17:10,NA
189,8/17/21 17:15,21.0625
190,8/17/21 17:20,NA
191,8/17/21 17:25,NA
192,8/17/21 17:30,21.1775
193,8/17/21 17:35,NA
194,8/17/21 17:40,NA
195,8/17/21 17:45,21.1425
196,8/17/21 17:50,NA
197,8/17/21 17:55,NA
198,8/17/21 18:00,21.18
199,8/17/21 18:05,NA
200,8/17/21 18:10,NA
201,8/17/21 18:15,21.2525
202,8/17/21 18:20,NA
203,8/17/21 18:25,NA
204,8/17/21 18:30,21.2775
205,8/17/21 18:35,NA
206,8/17/21 18:40,NA
207,8/17/21 18:45,21.2525
208,8/17/21 18:50,NA
209,8/17/21 18:55,NA
210,8/17/21 19:00,21.1675
211,8/17/21 19:05,NA
212,8/17/21 19:10,NA
213,8/17/21 19:15,21.2425
214,8/17/21 19:20,NA
215,8/17/21 19:25,NA
216,8/17/21 19:30,21.215
217,8/17/21 19:35,NA
218,8/17/21 19:40,NA
219,8/17/21 19:45,21.1725
220,8/17/21 19:50,NA
221,8/17/21 19:55,NA
222,8/17/21 20:00,21.1525
223,8/17/21 20:05,NA
224,8/17/21 20:10,NA
225,8/17/21 20:15,21.19
226,8/17/21 20:20,NA
227,8/17/21 20:25,NA
228,8/17/21 20:30,21.2475
229,8/17/21 20:35,NA
230,8/17/21 20:40,NA
231,8/17/21 20:45,21.2175
232,8/17/21 20:50,NA
233,8/17/21 20:55,NA
234,8/17/21 21:00,21.1675
235,8/17/21 21:05,NA
236,8/17/21 21:10,NA
237,8/17/21 21:15,21.26
238,8/17/21 21:20,NA
239,8/17/21 21:25,NA
240,8/17/21 21:30,21.25
241,8/17/21 21:35,NA
242,8/17/21 21:40,NA
243,8/17/21 21:45,21.175
244,8/17/21 21:50,NA
245,8/17/21 21:55,NA
246,8/17/21 22:00,21.17
247,8/17/21 22:05,NA
248,8/17/21 22:10,NA
249,8/17/21 22:15,21.2025
250,8/17/21 22:20,NA
251,8/17/21 22:25,NA
252,8/17/21 22:30,21.2025
253,8/17/21 22:35,NA
254,8/17/21 22:40,NA
255,8/17/21 22:45,21.2075
256,8/17/21 22:50,NA
257,8/17/21 22:55,NA
258,8/17/21 23:00,21.2
259,8/17/21 23:05,NA
260,8/17/21 23:10,NA
261,8/17/21 23:15,21.195
262,8/17/21 23:20,NA
263,8/17/21 23:25,NA
264,8/17/21 23:30,21.3125
265,8/17/21 23:35,NA
266,8/17/21 23:40,NA
267,8/17/21 23:45,21.288
268,8/17/21 23:50,NA
269,8/17/21 23:55,NA
270,8/18/21 0:00,21.3575
271,8/18/21 0:05,NA
272,8/18/21 0:10,NA
273,8/18/21 0:15,21.2625
274,8/18/21 0:20,NA
275,8/18/21 0:25,NA
276,8/18/21 0:30,21.31727273
277,8/18/21 0:35,NA
278,8/18/21 0:40,NA
279,8/18/21 0:45,21.40181818
280,8/18/21 0:50,NA
281,8/18/21 0:55,NA
282,8/18/21 1:00,21.29
283,8/18/21 1:05,NA
284,8/18/21 1:10,NA
285,8/18/21 1:15,21.28363636
286,8/18/21 1:20,NA
287,8/18/21 1:25,NA
288,8/18/21 1:30,21.30727273
289,8/18/21 1:35,NA
290,8/18/21 1:40,NA
291,8/18/21 1:45,21.41727273
292,8/18/21 1:50,NA
293,8/18/21 1:55,NA
294,8/18/21 2:00,21.33454545
295,8/18/21 2:05,NA
296,8/18/21 2:10,NA
297,8/18/21 2:15,21.29090909
298,8/18/21 2:20,NA
299,8/18/21 2:25,NA
300,8/18/21 2:30,21.35454545
301,8/18/21 2:35,NA
302,8/18/21 2:40,NA
303,8/18/21 2:45,21.36636364
304,8/18/21 2:50,NA
305,8/18/21 2:55,NA
306,8/18/21 3:00,21.43636364
307,8/18/21 3:05,NA
308,8/18/21 3:10,NA
309,8/18/21 3:15,21.44090909
310,8/18/21 3:20,NA
311,8/18/21 3:25,NA
312,8/18/21 3:30,21.34181818
313,8/18/21 3:35,NA
314,8/18/21 3:40,NA
315,8/18/21 3:45,21.47090909
316,8/18/21 3:50,NA
317,8/18/21 3:55,NA
318,8/18/21 4:00,21.37454545
319,8/18/21 4:05,NA
320,8/18/21 4:10,NA
321,8/18/21 4:15,21.46090909
322,8/18/21 4:20,NA
323,8/18/21 4:25,NA
324,8/18/21 4:30,21.57727273
325,8/18/21 4:35,NA
326,8/18/21 4:40,NA
327,8/18/21 4:45,21.44454545
328,8/18/21 4:50,NA
329,8/18/21 4:55,NA
330,8/18/21 5:00,21.53272727
331,8/18/21 5:05,NA
332,8/18/21 5:10,NA
333,8/18/21 5:15,21.45363636
334,8/18/21 5:20,NA
335,8/18/21 5:25,NA
336,8/18/21 5:30,21.52363636
337,8/18/21 5:35,NA
338,8/18/21 5:40,NA
339,8/18/21 5:45,21.53363636
340,8/18/21 5:50,NA
341,8/18/21 5:55,NA
342,8/18/21 6:00,21.51181818
343,8/18/21 6:05,NA
344,8/18/21 6:10,NA
345,8/18/21 6:15,21.43363636
346,8/18/21 6:20,NA
347,8/18/21 6:25,NA
348,8/18/21 6:30,21.51818182
349,8/18/21 6:35,NA
350,8/18/21 6:40,NA
351,8/18/21 6:45,21.48909091
352,8/18/21 6:50,NA
353,8/18/21 6:55,NA
354,8/18/21 7:00,21.53727273
355,8/18/21 7:05,NA
356,8/18/21 7:10,NA
357,8/18/21 7:15,21.56909091
358,8/18/21 7:20,NA
359,8/18/21 7:25,NA
360,8/18/21 7:30,21.55090909
361,8/18/21 7:35,NA
362,8/18/21 7:40,NA
363,8/18/21 7:45,21.42727273
364,8/18/21 7:50,NA
365,8/18/21 7:55,NA
366,8/18/21 8:00,21.57909091
367,8/18/21 8:05,NA
368,8/18/21 8:10,NA
369,8/18/21 8:15,21.44727273
370,8/18/21 8:20,NA
371,8/18/21 8:25,NA
372,8/18/21 8:30,21.57636364
373,8/18/21 8:35,NA
374,8/18/21 8:40,NA
375,8/18/21 8:45,21.45727273
376,8/18/21 8:50,NA
377,8/18/21 8:55,NA
378,8/18/21 9:00,21.54545455
379,8/18/21 9:05,NA
380,8/18/21 9:10,NA
381,8/18/21 9:15,21.59181818
382,8/18/21 9:20,NA
383,8/18/21 9:25,NA
384,8/18/21 9:30,21.52
385,8/18/21 9:35,NA
386,8/18/21 9:40,NA
387,8/18/21 9:45,21.62181818
388,8/18/21 9:50,NA
389,8/18/21 9:55,NA
390,8/18/21 10:00,21.61454545
391,8/18/21 10:05,NA
392,8/18/21 10:10,NA
393,8/18/21 10:15,21.61636364
394,8/18/21 10:20,NA
395,8/18/21 10:25,NA
396,8/18/21 10:30,21.50818182
397,8/18/21 10:35,NA
398,8/18/21 10:40,NA
399,8/18/21 10:45,21.68727273
400,8/18/21 10:50,NA
401,8/18/21 10:55,NA
402,8/18/21 11:00,21.68
403,8/18/21 11:05,NA
404,8/18/21 11:10,NA
405,8/18/21 11:15,21.67181818
406,8/18/21 11:20,NA
407,8/18/21 11:25,NA
408,8/18/21 11:30,21.72545455
409,8/18/21 11:35,NA
410,8/18/21 11:40,NA
411,8/18/21 11:45,21.73090909
412,8/18/21 11:50,NA
413,8/18/21 11:55,NA
414,8/18/21 12:00,21.75090909
415,8/18/21 12:05,NA
416,8/18/21 12:10,NA
417,8/18/21 12:15,21.72545455
418,8/18/21 12:20,NA
419,8/18/21 12:25,NA
420,8/18/21 12:30,21.83
421,8/18/21 12:35,NA
422,8/18/21 12:40,NA
423,8/18/21 12:45,21.76454545
424,8/18/21 12:50,NA
425,8/18/21 12:55,NA
426,8/18/21 13:00,21.73
427,8/18/21 13:05,NA
428,8/18/21 13:10,NA
429,8/18/21 13:15,21.74272727
430,8/18/21 13:20,NA
431,8/18/21 13:25,NA
432,8/18/21 13:30,21.75909091
433,8/18/21 13:35,NA
434,8/18/21 13:40,NA
435,8/18/21 13:45,21.78818182
436,8/18/21 13:50,NA
437,8/18/21 13:55,NA
438,8/18/21 14:00,21.83090909
439,8/18/21 14:05,NA
440,8/18/21 14:10,NA
441,8/18/21 14:15,21.80727273
442,8/18/21 14:20,NA
443,8/18/21 14:25,NA
444,8/18/21 14:30,21.89363636
445,8/18/21 14:35,NA
446,8/18/21 14:40,NA
447,8/18/21 14:45,21.86818182
448,8/18/21 14:50,NA
449,8/18/21 14:55,NA
450,8/18/21 15:00,21.87909091
451,8/18/21 15:05,NA
452,8/18/21 15:10,NA
453,8/18/21 15:15,21.94363636
454,8/18/21 15:20,NA
455,8/18/21 15:25,NA
456,8/18/21 15:30,21.93727273
457,8/18/21 15:35,NA
458,8/18/21 15:40,NA
459,8/18/21 15:45,21.85545455
460,8/18/21 15:50,NA
461,8/18/21 15:55,NA
462,8/18/21 16:00,21.92363636
463,8/18/21 16:05,NA
464,8/18/21 16:10,NA
465,8/18/21 16:15,21.93363636
466,8/18/21 16:20,NA
467,8/18/21 16:25,NA
468,8/18/21 16:30,21.96272727
469,8/18/21 16:35,NA
470,8/18/21 16:40,NA
471,8/18/21 16:45,22.00272727
472,8/18/21 16:50,NA
473,8/18/21 16:55,NA
474,8/18/21 17:00,22.02
475,8/18/21 17:05,NA
476,8/18/21 17:10,NA
477,8/18/21 17:15,22.07272727
478,8/18/21 17:20,NA
479,8/18/21 17:25,NA
480,8/18/21 17:30,22.06090909
481,8/18/21 17:35,NA
482,8/18/21 17:40,NA
483,8/18/21 17:45,22.12090909
484,8/18/21 17:50,NA
485,8/18/21 17:55,NA
486,8/18/21 18:00,22.14909091
487,8/18/21 18:05,NA
488,8/18/21 18:10,NA
489,8/18/21 18:15,22.17727273
490,8/18/21 18:20,NA
491,8/18/21 18:25,NA
492,8/18/21 18:30,22.20818182
493,8/18/21 18:35,NA
494,8/18/21 18:40,NA
495,8/18/21 18:45,22.28818182
496,8/18/21 18:50,NA
497,8/18/21 18:55,NA
