"","valuedatetime","datavalue"
"1",2021-08-25 22:35:00,NA
"2",2021-08-25 22:40:00,NA
"3",2021-08-25 22:45:00,109.3
"4",2021-08-25 22:50:00,NA
"5",2021-08-25 22:55:00,NA
"6",2021-08-25 23:00:00,109.28
"7",2021-08-25 23:05:00,NA
"8",2021-08-25 23:10:00,NA
"9",2021-08-25 23:15:00,109.266666666667
"10",2021-08-25 23:20:00,NA
"11",2021-08-25 23:25:00,NA
"12",2021-08-25 23:30:00,109.18
"13",2021-08-25 23:35:00,NA
"14",2021-08-25 23:40:00,NA
"15",2021-08-25 23:45:00,108.983333333333
"16",2021-08-25 23:50:00,NA
"17",2021-08-25 23:55:00,NA
"18",2021-08-26 00:00:00,108.84
"19",2021-08-26 00:05:00,NA
"20",2021-08-26 00:10:00,NA
"21",2021-08-26 00:15:00,108.583333333333
"22",2021-08-26 00:20:00,NA
"23",2021-08-26 00:25:00,NA
"24",2021-08-26 00:30:00,108.44
"25",2021-08-26 00:35:00,NA
"26",2021-08-26 00:40:00,NA
"27",2021-08-26 00:45:00,108.383333333333
"28",2021-08-26 00:50:00,NA
"29",2021-08-26 00:55:00,NA
"30",2021-08-26 01:00:00,108.28
"31",2021-08-26 01:05:00,NA
"32",2021-08-26 01:10:00,NA
"33",2021-08-26 01:15:00,108.1
"34",2021-08-26 01:20:00,NA
"35",2021-08-26 01:25:00,NA
"36",2021-08-26 01:30:00,108
"37",2021-08-26 01:35:00,NA
"38",2021-08-26 01:40:00,NA
"39",2021-08-26 01:45:00,107.966666666667
"40",2021-08-26 01:50:00,NA
"41",2021-08-26 01:55:00,NA
"42",2021-08-26 02:00:00,107.9
"43",2021-08-26 02:05:00,NA
"44",2021-08-26 02:10:00,NA
"45",2021-08-26 02:15:00,107.8
"46",2021-08-26 02:20:00,NA
"47",2021-08-26 02:25:00,NA
"48",2021-08-26 02:30:00,107.7
"49",2021-08-26 02:35:00,NA
"50",2021-08-26 02:40:00,NA
"51",2021-08-26 02:45:00,107.583333333333
"52",2021-08-26 02:50:00,NA
"53",2021-08-26 02:55:00,NA
"54",2021-08-26 03:00:00,107.5
"55",2021-08-26 03:05:00,NA
"56",2021-08-26 03:10:00,NA
"57",2021-08-26 03:15:00,107.466666666667
"58",2021-08-26 03:20:00,NA
"59",2021-08-26 03:25:00,NA
"60",2021-08-26 03:30:00,107.4
"61",2021-08-26 03:35:00,NA
"62",2021-08-26 03:40:00,NA
"63",2021-08-26 03:45:00,107.383333333333
"64",2021-08-26 03:50:00,NA
"65",2021-08-26 03:55:00,NA
"66",2021-08-26 04:00:00,107.3
"67",2021-08-26 04:05:00,NA
"68",2021-08-26 04:10:00,NA
"69",2021-08-26 04:15:00,107.266666666667
"70",2021-08-26 04:20:00,NA
"71",2021-08-26 04:25:00,NA
"72",2021-08-26 04:30:00,107.28
"73",2021-08-26 04:35:00,NA
"74",2021-08-26 04:40:00,NA
"75",2021-08-26 04:45:00,107.233333333333
"76",2021-08-26 04:50:00,NA
"77",2021-08-26 04:55:00,NA
"78",2021-08-26 05:00:00,107.2
"79",2021-08-26 05:05:00,NA
"80",2021-08-26 05:10:00,NA
"81",2021-08-26 05:15:00,107.116666666667
